Round,Pick,Player,Pos,School,Year,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season,speed_score,explosive_score,agility_score
1,3,Abdul Carter,DE,Penn State,2025,75,252,4.5,,,127.0,,,23.0,39.5,19.0,12.0,23.5,9.0,,,
1,11,Mykel Williams,DE,Georgia,2025,77,260,4.73,35.5,,125.0,,,14.0,20.0,7.0,5.0,8.5,3.0,,,
1,17,Shemar Stewart,DE,Texas A&M,2025,77,267,4.59,40.0,,131.0,,,4.5,11.0,17.0,1.5,5.5,7.0,,,
1,26,James Pearce Jr.,DE,Tennessee,2025,77,245,4.47,31.0,,123.0,,,19.0,29.0,26.0,7.5,13.0,10.0,,,
2,44,Donovan Ezeiruaku,DE,Boston College,2025,74,248,4.62,35.5,,119.0,6.94,4.19,24.0,40.5,25.0,13.5,18.5,14.0,,,
2,45,J.T. Tuimoloau,DE,Ohio State,2025,76,265,4.62,35.5,,119.0,,,24.0,44.0,16.0,12.5,21.5,5.0,,,
2,51,Nic Scourton,DE,Texas A&M,2025,75,257,4.59,,,,,,,,,,,,,,
2,52,Oluwafemi Oladejo,DE,UCLA,2025,75,259,4.7,36.5,,120.0,,,4.5,15.5,6.0,4.5,13.5,6.0,,,
2,59,Mike Green,DE,Marshall,2025,75,251,4.57,,28.0,,6.85,4.25,,,,,,,,,
3,66,Ashton Gillotte,DE,Louisville,2025,74,264,4.63,36.5,,120.0,,,25.0,36.0,20.0,4.5,10.0,10.0,,,
3,72,Landon Jackson,DE,Arkansas,2025,78,264,4.68,40.5,,129.0,7.13,,16.5,26.5,13.0,6.5,9.5,9.0,,,
3,77,Princely Umanmielen,DE,Ole Miss,2025,76,244,4.72,38.0,,126.0,,7.33,10.5,13.5,13.0,10.5,13.5,13.0,,,
3,78,Jordan Burch,DE,Oregon,2025,76,279,4.67,35.0,,,,,11.5,18.5,9.0,8.5,11.0,4.0,,,
4,124,Barryn Sorrell,DE,Texas,2025,75,256,4.68,34.0,,28.0,7.06,4.36,14.0,24.0,27.0,5.5,10.5,12.0,,,
