Round,Pick,Player,Pos,School,Year,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season,speed_score,explosive_score,agility_score
1,15,Laiatu Latu,DE,UCLA,2024,77.0,259.0,4.64,32.0,,116.0,,,22.5,32.5,15.0,12.0,20.5,10.0,,,
1,17,Dallas Turner,DE,Alabama,2024,74.0,247.0,4.47,40.5,,127.0,,,23.5,33.5,26.0,11.0,15.5,13.0,,,
1,19,Jared Verse,DE,Florida State,2024,76.0,254.0,4.58,35.0,,127.0,,,17.0,27.5,10.0,8.5,12.0,7.0,,,
1,21,Demeioun Robinson,DE,Penn State,2024,75.0,254.0,4.48,34.5,,128.0,,,9.5,17.5,7.0,4.0,7.5,5.0,,,
2,56,Marshawn Kneeland,DE,Western Michigan,2024,75.0,267.0,4.75,35.5,,119.0,,,14.0,29.0,16.0,4.5,7.5,8.0,,,
2,57,Chris Braswell,DE,Alabama,2024,75.0,251.0,4.6,33.5,,115.0,,,11.0,16.0,13.0,8.0,10.5,5.0,,,
3,74,Bralen Trice,DE,Washington,2024,75.5,245.0,4.72,,,,,,17.5,28.0,18.0,6.5,11.0,15.0,,,
3,76,Jonah Elliss,DE,Utah,2024,74.0,248.0,,,,,,,15.5,22.5,4.0,11.5,15.5,3.0,,,
3,94,Jalyx Hunt,DE,Houston Christian,2024,76.0,252.0,4.64,37.5,,128.0,,,1.0,3.0,1.0,0.0,2.0,0.0,,,
5,138,Xavier Thomas,DE,Clemson,2024,74.0,244.0,4.62,32.5,,120.0,,,17.0,31.0,34.0,3.0,4.0,10.0,,,
5,144,Austin Booker,DE,Kansas,2024,76.5,240.0,4.79,32.5,,120.0,,,8.0,12.0,0.0,8.0,12.0,0.0,,,
5,154,Brennan Jackson,DE,Washington State,2024,76.0,264.0,4.69,33.5,,114.0,,,19.5,34.0,20.0,8.0,12.0,9.0,,,
5,158,Mohamed Kamara,DE,Colorado State,2024,73.0,248.0,4.57,34.5,,123.0,,,29.0,44.0,25.0,12.0,16.0,10.0,,,
5,168,Javon Solomon,DE,Troy,2024,73.0,246.0,4.72,37.0,,119.0,,,32.5,48.5,14.0,15.5,17.0,5.0,,,
6,214,Cedric Johnson,DE,Mississippi,2024,75.0,260.0,4.63,38.0,,122.0,,,19.0,22.0,25.0,5.5,6.5,12.0,,,
7,222,Javontae Jean-Baptiste,DE,Notre Dame,2024,77.0,239.0,4.66,34.5,,127.0,,,5.0,9.5,8.0,5.0,9.5,8.0,,,
7,234,Jonah Laulu,DE,Oklahoma,2024,,,,,,,,,2.5,8.0,5.0,1.0,2.5,3.0,,,
7,238,Solomon Byrd,DE,USC,2024,75.0,255.0,,,,,,,8.5,15.0,3.0,4.5,7.5,2.0,,,
