Round,Pick,Player,Pos,School,Year,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season,speed_score,explosive_score,agility_score
1,5,Mason Graham,DT,Michigan,2025,75.0,296.0,4.97,31,,105.5,,,9.0,18.0,6.0,3.5,7.0,3.0,,,
1,13,Kenneth Grant,DT,Michigan,2025,75.0,331.0,5.11,,,,,,5.5,10.5,8.0,3.0,6.5,3.0,,,
1,16,Walter Nolen,DT,Ole Miss,2025,76.0,296.0,4.95,,,,,,5.5,13.0,4.0,5.5,13.0,4.0,,,
1,21,Derrick Harmon,DT,Oregon,2025,76.0,313.0,4.95,,,,,,5.0,10.5,10.0,5.0,10.5,10.0,,,
1,28,Tyleik Williams,DT,Ohio State,2025,75.0,334.0,5.11,29,,,,4.59,11.5,27.0,4.0,2.5,8.0,1.0,,,
2,41,T.J. Sanders,DT,South Carolina,2025,76.0,297.0,4.95,31.5,,112,7.7,4.67,16.0,48.5,26.0,4.0,7.0,6.0,,,
2,43,Alfred Collins,DT,Texas,2025,77.0,332.0,,26,,96,,,7.5,18.0,11.0,1.0,5.5,1.0,,,
3,62,Shemar Turner,DT,Texas A&M,2025,75.0,290.0,4.8,27.5,,,,,13.0,31.5,25.0,1.5,5.5,7.0,,,
3,63,Omarr Norman-Lott,DT,Tennessee,2025,74.0,291.0,5.15,31.5,,113,,,9.5,10.0,4.0,4.0,4.0,3.0,,,
3,65,Darius Alexander,DT,Toledo,2025,76.0,305.0,4.95,31.5,,111.0,7.6,,8.5,21.0,9.0,3.5,7.5,2.0,,,
3,71,Vernon Broughton,DT,Texas,2025,77.0,311.0,,,,,,,6.5,11.0,10.0,4.0,4.5,5.0,,,
