Player,Year,School,arm_length_inches
Jalen Bracey,2024,FIU,
Kahtero Summers,2024,Rhode Island,
DJ England-Chisolm,2024,M. Tennessee St.,
Trey Dixon,2024,UNC Pembroke,
James Mautino,2024,Aurora,
Al'Vonte Woodard,2024,Sam Houston St.,
Aaron Bedgood,2024,Liberty,
Jovohn Tucker,2024,Lake Erie,
Thomas Coates,2024,Wis.-Whitewater,
Jermaine Braddock,2024,Portland State,
Malik Rodgers,2024,Alcorn State,
Jaelin Campbell,2024,Incarnate Word,
Damoriea Vick,2024,SE Missouri State,
Christian Da-Silva,2024,Elon,
Fralon Warren,2024,Fort Valley State,
Dewaylon Ingram,2024,Northern State,
Andre Hunt,2024,Jackson State,
Kalen Noseff,2024,Incarnate Word,
Jalen Knox,2024,Ole Miss,
Jaaron Hayek,2024,Villanova,
Emery Simmons,2024,Utah,
Dhel Duncan-Busby,2024,Bemidji State,
Cameron Colangelo,2024,Western Colorado,
Justin Brown,2024,Frostburg State,
Dawson Snyder,2024,St. Francis (Pa.),
Dior Scott,2024,East Central (Okla.),
Jacob Smith,2024,Miss. College,
Anthony Queeley,2024,Georgia Southern,
Caleb McMillan,2024,Marshall,
Jaylen Johnson,2024,East Carolina,
DJ Powell,2024,Duquesne,
Christian Richmond,2024,Central Arkansas,
Kaylon Horton,2024,North Texas,
Keyshawn Jones,2024,Southwestern,
Collin Wilson,2024,Washburn,
Monterio Hunt,2024,Alcorn State,
Corintheus Edmonds,2024,Fort Valley State,
Dominic Gicinto,2024,UNLV,
Edwin Reed,2024,Mount Union,
Isaac Foster,2024,Kennesaw State,
Tajon Vassar,2024,Bentley,
Deondre Lester,2024,Lenoir-Rhyne,
Jordan Bonner,2024,Elon,
Talik Keaton,2024,Marshall,
Isaac Ross,2024,UMass,
Erik Pizarro,2024,Kansas State,
Chandler Smith,2024,Samford,
Quentin Sanders,2024,North Greenville,
Jalen Preston,2024,Texas A&M,
Jsi Hatfield,2024,East Carolina,
Jasiah Provillon,2024,Campbell,
Jourdan Townsend,2024,Delaware,
David Florence,2024,North Alabama,
AJ Harris,2024,North Park (Ill.),
Darfnell Gouin,2024,Sioux Falls,
Kenny Brewer,2024,Central Michigan,
Said Sidibe,2024,Virginia Union,
Craig Burt,2024,Western Kentucky,
Emery Bryant,2024,Point,
Geordon Pollard,2024,Miles,
Trey Madsen,2024,Aurora,
Justin Pringle,2024,St. Xavier,
Jarrod Barnes,2024,Central Arkansas,
Heron Maurisseau,2024,New Hampshire,
Doug Washington,2024,Limestone,
Peter Osman,2024,SW Minnesota St.,
George McCorley,2024,Jackson State,
Lance Babb,2024,UC Davis,
Darian Oxendine,2024,Florida A&M,
Christopher Brown,2024,Miles,
Davion Johnson,2024,C. Connecticut St.,
Corey Gammage,2024,UCF,
Rickie Johnson,2024,Utah Tech,
Cooper Sullivan,2024,Wabash (Ind.),
Derek Lockhart,2024,Indiana (Pa.),
Gregory Clayton,2024,LSU,
Darius Stokes,2024,Baldwin Wallace,
KJ Franklin,2024,West Florida,
Andre Jones,2024,Southwestern,
Terrell Gardner,2024,Alabama A&M,
Navarie Solomon,2024,Reinhardt,
Matthew Golden,2025,Texas,30.62
Emeka Egbuka,2025,Ohio State,31.5
Tetairoa McMillan,2025,Arizona,31.5
Luther Burden III,2025,Missouri,31.25
Elic Ayomanor,2025,Stanford,32.38
Jayden Higgins,2025,Iowa State,33.12
Tre Harris,2025,Mississippi,31.88
Jack Bech,2025,TCU,31.5
Jalen Royals,2025,Utah State,30.12
Jaylin Noel,2025,Iowa State,29.5
Tez Johnson,2025,Oregon,29.38
Savion Williams,2025,TCU,32.5
Tai Felton,2025,Maryland,30.0
Pat Bryant,2025,Illinois,31.12
Kyle Williams,2025,Washington State,30.0
Ricky White III,2025,UNLV,31.75
Kaden Prather,2025,Maryland,31.88
Jimmy Horn Jr.,2025,Colorado,30.38
KeAndre Lambert-Smith,2025,Auburn,32.62
Jaylin Lane,2025,Virginia Tech,31.75
Chimere Dike,2025,Florida,32.12
Isaac TeSlaa,2025,Arkansas,31.12
Arian Smith,2025,Georgia,31.25
Dont'e Thornton Jr.,2025,Tennessee,32.12
Dominic Lovett,2025,Georgia,31.38
Konata Mumpfield,2025,Pittsburgh,29.38
LaJohntay Wester,2025,Colorado,29.75
Jordan Watkins,2025,Mississippi,29.38
Aaron Anderson,2026,LSU,29.75
Vinny Anthony II,2026,Wisconsin,31.38
Chris Bell,2026,Louisville,32.25
Dillon Bell,2026,Georgia,30.25
Skyler Bell,2026,UConn,31.88
Malik Benson,2026,Oregon,31.88
Germie Bernard,2026,Alabama,30.38
Denzel Boston,2026,Washington,32.0
Zachariah Branch,2026,Georgia,29.38
Chris Brazzell II,2026,Tennessee,32.38
Barion Brown,2026,LSU,31.5
Deion Burks,2026,Oklahoma,29.38
Jeff Caldwell,2026,Cincinnati,32.62
Josh Cameron,2026,Baylor,33.12
Kevin Coleman Jr,2026,Missouri,30.0
KC Concepcion,2026,Texas A&M,30.25
Omar Cooper Jr,2026,Indiana,30.25
CJ Daniels,2026,Miami,31.75
Caleb Douglas,2026,Texas Tech,32.5
Malachi Fields,2026,Notre Dame,32.12
Emmanuel Henderson Jr,2026,Kansas,31.0
Chris Hilton Jr,2026,LSU,32.0
Jordan Hudson,2026,SMU,31.12
Ted Hurst,2026,Georgia State,32.62
Caullin Lacy,2026,Louisville,29.38
Bryce Lance,2026,North Dakota State,32.12
Ja'kobi Lane,2026,USC,32.62
Kendrick Law,2026,Kentucky,31.12
Makai Lemon,2026,USC,30.5
Eric McAlister,2026,TCU,32.62
Donaven McCulley,2026,Michigan,32.62
Eric Rivers,2026,Georgia Tech,30.5
Chase Roberts,2026,BYU,31.75
Elijah Sarratt,2026,Indiana,31.25
De'Zhaun Stribling,2026,Mississippi,31.62
J. Michael Sturdivant,2026,Florida,32.88
Carnell Tate,2026,Ohio State,31.75
Zavion Thomas,2026,LSU,30.5
Brenen Thompson,2026,Mississippi State,29.38
Jordyn Tyson,2026,Arizona State,30.25
Reggie Virgil,2026,Texas Tech,31.25
Harrison Wallace III,2026,Mississippi,32.12
Jalen Walthall,2026,Incarnate Ward,31.25
Kaden Wetjen,2026,Iowa,29.62
Antonio Williams,2026,Clemson,30.75
Colbie Young,2026,Georgia,31.88
