Player,Year,School,arm_length_inches
Vederian Lowe,2022,Illinois,35.38
Abraham Lucas,2022,Washington St.,33.88
Max Mitchell,2022,Louisiana,33.5
Thayer Munford,2022,Ohio St.,35.12
Evan Neal,2022,Alabama,34.0
Trevor Penning,2022,Northern Iowa,34.25
Nicholas Petit-Frere,2022,Ohio St.,33.62
Bernhard Raimann,2022,Central Michigan,32.88
Dare Rosenthal,2022,Kentucky,33.5
Andrew Rupcich,2022,Culver-Stockton College,32.88
Tyler Smith,2022,Tulsa,34.0
Andrew Stueber,2022,Michigan,34.12
Luke Tenuta,2022,Virginia Tech,32.88
Matt Waletzko,2022,North Dakota,36.12
Rasheed Walker,2022,Penn St.,33.62
Nick Zakelj,2022,Fordham,32.5
Malaesala Aumavae-Laulu,2023,Oregon,34.5
Matthew Bergeron,2023,Syracuse,33.75
Braeden Daniels,2023,Utah,33.0
Jaelyn Duncan,2023,Maryland,33.0
Blake Freeland,2023,BYU,33.88
Connor Galvin,2023,Baylor,32.38
Richard Gouraige,2023,Florida,34.0
Anton Harrison,2023,Oklahoma,34.12
Ryan Hayes,2023,Michigan,32.5
Mark Evans II,2023,University of Arkansas at Pine Bluff,32.38
Broderick Jones,2023,Georgia,34.75
Dawand Jones,2023,Ohio St.,36.38
Earl Bostick Jr.,2023,Kansas,34.12
Paris Johnson Jr.,2023,Ohio St.,36.12
Cody Mauch,2023,North Dakota St.,32.38
Warren McClendon,2023,Georgia,34.5
Wanya Morris,2023,Oklahoma,35.12
John Ojukwu,2023,Boise St.,34.0
Asim Richards,2023,North Carolina,34.0
Peter Skoronski,2023,Northwestern,32.25
Tyler Steen,2023,Alabama,32.75
Dalton Wagner,2023,Arkansas,34.38
Carter Warren,2023,Pittsburgh,35.38
Darnell Wright,2023,Tennessee,33.75
Joe Alt,2024,NOTRE DAME,34.25
J.C. Latham,2024,ALABAMA,35.12
Olumuyiwa Fashanu,2024,PENN STATE,34.0
Troy Fautanu,2024,WASHINGTON,34.5
Taliese Fuaga,2024,OREGON ST,33.12
Amarius Mims,2024,GEORGIA,36.12
Patrick Paul,2024,HOUSTON,36.25
Kiran Amegadjie,2024,YALE,36.12
Kingsley Suamataia,2024,BYU,34.25
Roger Rosengarten,2024,WASHINGTON,33.5
Tyler Guyton,2024,OKLAHOMA,34.12
Delmar Glaze,2024,MARYLAND,34.88
Blake Fisher,2024,NOTRE DAME,34.38
Caedan Wallace,2024,PENN STATE,34.0
Dominick Puni,2024,KANSAS,33.38
Brandon Coleman,2024,TCU,34.0
Walter Rouse,2024,OKLAHOMA,35.12
Javon Foster,2024,MISSOURI,34.62
Christian Jones,2024,TEXAS,33.5
K.T. Leveston,2024,KANSAS ST,34.38
Nathan Thomas,2024,LA LAFAYET,33.75
Tylan Grable,2024,UCF,33.62
Josiah Ezirim,2024,Eastern Kentucky,33.75
Sataoa Laumea,2024,UTAH,32.88
Matt Goncalves,2024,PITTSBURGH,33.25
Travis Glover,2024,GA STATE,
Mike Jerrell,2024,Findlay,
LaDarius Henderson,2024,MICHIGAN,35.0
Will Campbell,2025,LSU,32.62
Armand Membou,2025,Missouri,33.5
Kelvin Banks Jr,2025,Texas,33.5
Josh Simmons,2025,Ohio State,33.0
Josh Conerly Jr,2025,Oregon,33.5
Marcus Mbow,2025,Purdue,32.0
Aireontae Ersery,2025,Minnesota,33.12
Jonah Savaiinaea,2025,Arizona,33.88
Cameron Williams,2025,Texas,34.5
Charles Grant,2025,William & Mary,
Emery Jones Jr.,2025,LSU,34.25
Ajani Cornelius,2025,Oregon,33.5
Chase Lundt,2025,Connecticut,32.62
Jack Nelson,2025,Wisconsin,33.5
John Williams,2025,Cincinnati,33.88
Carson Vinson,2025,Alabama A&M,34.5
Branson Taylor,2025,Pittsburgh,32.75
Myles Hinton,2025,Michigan,34.12
Francis Mauigoa,2026,Miami,
Spencer Fano,2026,Utah,
Kadyn Proctor,2026,Alabama,
Caleb Lomu,2026,Utah,
Monroe Freeling,2026,Georgia,
Caleb Tiernan,2026,Northwestern,
Blake Miller,2026,Clemson,
Isaiah World,2026,Nevada,
Max Iheanachor,2026,Arizona State,
Drew Shelton,2026,Penn State,
Austin Barber,2026,Florida,
Markel Bell,2026,Miami,
Jude Bowry,2026,Boston College,
J.C. Davis,2026,New Mexico,
Kage Casey,2026,Boise State,
Keagen Trost,2026,Indiana State,
Aamil Wagner,2026,Notre Dame,
Isaiah Jatta,2026,Colorado,
Trey Zuhn III,2026,Texas A&M,
Alan Herron,2026,Maryland,
Nolan Rucci,2026,Wisconsin,
Tristan Leigh,2026,Clemson,
Fernando Carmona,2026,San Jose State,
Riley Mahlman,2026,Wisconsin,
