Player,Year,School,arm_length_inches
Cody Barton,2019,Utah,31.88
Ben Burr-Kirven,2019,Washington,31.88
Devin Bush,2019,Michigan,32.0
Blake Cashman,2019,Minnesota,30.12
Te'von Coney,2019,Notre Dame,32.88
Ryan Connelly,2019,Wisconsin,30.88
Deshaun Davis,2019,Auburn,31.25
Tyrel Dodson,2019,Texas A&M,31.75
T.J. Edwards,2019,Wisconsin,31.25
Emeke Egbule,2019,Houston,33.0
Joe Giles-Harris,2019,Duke,31.25
Andrew Van ginkel,2019,Wisconsin,32.5
Dre Greenlaw,2019,Arkansas,32.25
Nate Hall,2019,Northwestern,32.25
Terez Hall,2019,Missouri,33.5
Terrill Hanks,2019,New Mexico State,33.5
Chase Hansen,2019,Utah,30.5
Gary Johnson,2019,Texas,31.25
Jordan Jones,2019,Kentucky,31.75
Kendall Joseph,2019,Clemson,31.62
Vosean Joseph,2019,Florida,31.38
Tre Lamar,2019,Clemson,32.25
Bobby Okereke,2019,Stanford,34.5
Germaine Pratt,2019,North Carolina State,31.62
Cameron Smith,2019,USC,32.38
Ty Summers,2019,TCU,31.5
Sione Takitaki,2019,BYU,32.0
Jahlani Tavai,2019,Hawaii,31.88
Drue Tranquill,2019,Notre Dame,31.5
Devin White,2019,LSU,32.12
Mack Wilson,2019,Alabama,32.38
Joe Bachie,2020,Michigan State,31.62
Markus Bailey,2020,Purdue,31.5
Zack Baun,2020,Wisconsin,32.75
Francis Bernard,2020,Utah,31.88
Daniel Bituli,2020,Tennessee,34.38
Shaun Bradley,2020,Temple,31.75
Jordyn Brooks,2020,Texas Tech,
Cameron Brown,2020,Penn State,34.0
K'Lavon Chaisson,2020,LSU,32.25
Nick Coe,2020,Auburn,33.75
Carter Coughlin,2020,Minnesota,31.38
Akeem Davis-Gaither,2020,Appalachian State,31.12
Michael Divinity,2020,LSU,33.62
Troy Dye,2020,Oregon,32.25
Tipa Galeai,2020,Utah State,33.62
Cale Garrett,2020,Missouri,31.25
Scoota Harris,2020,Arkansas,31.38
Malik Harrison,2020,Ohio State,32.75
Khaleke Hudson,2020,Michigan,29.38
Anfernee Jennings,2020,Alabama,32.88
Clay Johnston,2020,Baylor,30.5
Willie Gay Jr.,2020,Mississippi State,32.62
Azur Kamara,2020,Kansas,35.25
Terrell Lewis,2020,Alabama,33.88
Jordan Mack,2020,Virginia,31.25
Kamal Martin,2020,Minnesota,34.0
Kenneth Murray,2020,Oklahoma,32.75
Dante Olson,2020,Montana,32.38
Jacob Phillips,2020,LSU,32.38
Michael Pinckney,2020,Miami,32.38
Shaquille Quarterman,2020,Miami,31.62
