Player,Year,School,arm_length_inches
Derrick Barnes,2021,Purdue,33.38
Earnest Brown,2021,Northwestern,34.5
Jonathon Cooper,2021,Ohio St.,32.12
Victor Dimukeje,2021,Duke,33.12
Wyatt Hubert,2021,Kansas St.,31.0
Tarron Jackson,2021,Coastal Carolina,33.25
Mustafa Johnson,2021,Colorado,32.12
Patrick Johnson,2021,Tulane,32.0
Zeandae Johnson,2021,California,33.12
Malcolm Koonce,2021,Buffalo,33.38
Isaiahh Loudermilk,2021,Wisconsin,32.62
Romeo McKnight,2021,Charlotte,31.5
Jayson Oweh,2021,Penn St.,34.5
Ronnie Perkins,2021,Oklahoma,32.88
Chris Rumph,2021,Duke,33.75
Cameron Sample,2021,Tulane,33.38
Thomas Schaffer,2021,Stanford,
Shaka Toney,2021,Penn St.,33.0
Devon Wharton,2021,Western Kentucky,
Christopher Allen,2022,Alabama,33.0
Amaré Barno,2022,Virginia Tech,34.0
Nik Bonitto,2022,Oklahoma,32.5
Zachary Carter,2022,Florida,33.5
Micheal Clemons,2022,Texas A&M,34.88
Arnold Ebiketie,2022,Penn St.,34.12
Kingsley Enagbare,2022,South Carolina,34.75
Jeffrey Gunter,2022,Coastal Carolina,33.0
Logan Hall,2022,Houston,32.75
Aidan Hutchinson,2022,Michigan,32.12
Jermaine Johnson II,2022,Florida St.,34.0
Drake Jackson,2022,USC,31.12
Tyree Johnson,2022,Texas A&M,30.88
George Karlaftis,2022,Purdue,32.62
Boye Mafe,2022,Minnesota,32.62
DeAngelo Malone,2022,Western Kentucky,33.12
David Ojabo,2022,Michigan,33.5
Esezi Otomewo,2022,Minnesota,34.5
Joshua Paschal,2022,Kentucky,
Dominique Robinson,2022,Miami (Ohio),33.25
Myjai Sanders,2022,Cincinnati,32.62
Tyreke Smith,2022,Ohio St.,33.25
Myron Tagovailoa-Amosa,2022,Notre Dame,32.62
Kayvon Thibodeaux,2022,Oregon,33.12
Cameron Thomas,2022,San Diego St.,32.5
Isaiah Thomas,2022,Oklahoma,33.25
Travon Walker,2022,Georgia,35.5
Tre Williams,2022,Arkansas,33.75
Sam Williams,2022,Mississippi,33.12
Alex Wright,2022,Alabama-Birmingham,34.0
Adetomiwa Adebawore,2023,Northwestern,33.88
MJ Anderson,2023,Iowa St.,33.75
Felix Anudike-Uzomah,2023,Kansas St.,33.5
Habakkuk Baldonado,2023,Pittsburgh,33.0
Robert Beal,2023,Georgia,
Brenton Cox,2023,Florida,
YaYa Diaby,2023,Louisville,33.88
Ikenna Enechukwu,2023,Rice,33.62
Isaiah Foskey,2023,Notre Dame,34.0
Ali Gaye,2023,LSU,34.25
Derick Hall,2023,Auburn,34.5
Nick Hampton,2023,Appalachian St.,33.62
Zach Harrison,2023,Ohio St.,36.25
KJ Henry,2023,Clemson,33.0
Nick Herbig,2023,Wisconsin,31.25
Dylan Horton,2023,TCU,33.12
Andre Carter II,2023,Army,33.38
Thomas Incoom,2023,Central Michigan,33.25
Will McDonald IV,2023,Iowa St.,34.88
DJ Johnson,2023,Oregon,33.25
Andre Jones Jr.,2023,Louisiana,34.25
Viliami Fehoko Jr.,2023,San Jose St.,
Will Anderson Jr.,2023,Alabama,33.88
Tyler Lacy,2023,Oklahoma St.,33.25
Isaiah Land,2023,Florida A&M,32.5
Eku Leota,2023,Auburn,33.5
Ochaun Mathis,2023,Nebraska,35.25
Isaiah McGuire,2023,Missouri,33.88
Mike Morris,2023,Michigan,33.5
Caleb Murphy,2023,Ferris St.,32.75
Myles Murphy,2023,Clemson,33.75
Lukas Van Ness,2023,Iowa,34.0
BJ Ojulari,2023,LSU,34.25
Lonnie Phelps,2023,Kansas,
Jose Ramirez,2023,Eastern Michigan,32.75
Tavius Robinson,2023,Mississippi,33.75
Nolan Smith,2023,Georgia,32.62
Noah Taylor,2023,North Carolina,32.62
Tuli Tuipulotu,2023,USC,32.25
Tyrus Wheat,2023,Mississippi St.,32.88
Keion White,2023,Georgia Tech,34.0
Tyree Wilson,2023,Texas Tech,35.62
Colby Wooden,2023,Auburn,33.75
Byron Young,2023,Tennessee,34.38
Laiatu Latu,2024,UCLA,32.62
Dallas Turner,2024,Alabama,34.38
Jared Verse,2024,Florida State,33.5
Demeioun Robinson,2024,Penn State,
Marshawn Kneeland,2024,Western Michigan,34.5
Chris Braswell,2024,Alabama,33.25
Bralen Trice,2024,Washington,32.5
Jonah Elliss,2024,Utah,33.0
Jalyx Hunt,2024,Houston Christian,34.38
Xavier Thomas,2024,Clemson,32.88
Austin Booker,2024,Kansas,33.88
Brennan Jackson,2024,Washington State,32.75
Mohamed Kamara,2024,Colorado State,32.38
Javon Solomon,2024,Troy,33.88
Cedric Johnson,2024,Mississippi,33.5
Javontae Jean-Baptiste,2024,Notre Dame,33.75
Jonah Laulu,2024,Oklahoma,
Solomon Byrd,2024,USC,33.62
Abdul Carter,2025,Penn State,
Mykel Williams,2025,Georgia,34.38
Shemar Stewart,2025,Texas A&M,34.12
James Pearce Jr.,2025,Tennessee,32.75
Donovan Ezeiruaku,2025,Boston College,34.0
J.T. Tuimoloau,2025,Ohio State,33.75
Nic Scourton,2025,Texas A&M,33.0
Oluwafemi Oladejo,2025,UCLA,33.38
Mike Green,2025,Marshall,
Ashton Gillotte,2025,Louisville,31.88
Landon Jackson,2025,Arkansas,33.25
Princely Umanmielen,2025,Ole Miss,33.88
Jordan Burch,2025,Oregon,33.0
Barryn Sorrell,2025,Texas,32.25
Rueben Bain Jr.,2026,Miami,
Arvell Reese,2026,Ohio State,
T.J. Parker,2026,Clemson,
Keldric Faulk,2026,Auburn,
David Bailey,2026,Texas Tech,
Cashius Howell,2026,Texas A&M,
Romello Height,2026,Texas Tech,
R Mason Thomas,2026,Oklahoma,
Joshua Josephs,2026,Tennessee,
Matayo Uiagalelei,2026,Oregon,
Gabe Jacas,2026,Illinois,
Anthony Lucas,2026,USC,
Derrick Moore,2026,Michigan,
Zion Young,2026,Missouri,
Mikail Kamara,2026,Indiana,
Jaishawn Barham,2026,Michigan,
Tyreak Sapp,2026,Florida,
Boubacar Traore,2026,Notre Dame,
Akheem Mesidor,2026,Miami,
Dani Dennis-Sutton,2026,Penn State,
Anto Saka,2026,Northwestern,
Kenyatta Jackson Jr.,2026,Ohio State,
Trey Moore,2026,Texas,
Clev Lubin,2026,Louisville,
Malachi Lawrence,2026,UCF,
Will Heldt,2026,Clemson,
George Gumbs Jr.,2026,Florida,
Suntarine Perkins,2026,Ole Miss,
Max Llewellyn,2026,Iowa,
TJ Guy,2026,Michigan,
Vincent Anthony Jr.,2026,Duke,
Patrick Payton,2026,LSU,
Eric O'Neill,2026,Rutgers,
John Henry Daley,2026,Utah,
Ben Bell,2026,Virginia Tech,
