Player,Year,School,arm_length_inches
Daniel Thomas,2020,Auburn,32.38
K'Von Wallace,2020,Clemson,31.0
Joshuah Bledsoe,2021,Missouri,30.75
Brady Breeze,2021,Oregon,30.5
Eric Burrell,2021,Wisconsin,
Seth Cottengim,2021,Arkansas St.,
Shaun Crawford,2021,Notre Dame,
Darrick Forrest,2021,Cincinnati,32.0
Tyree Gillespie,2021,Missouri,31.25
Jevon Holland,2021,Oregon,31.5
Talanoa Hufanga,2021,USC,32.0
Trevon Moehrig,2021,TCU,30.62
Nick Pickett,2021,Oregon,32.75
Jacoby Stevens,2021,LSU,31.75
Evan Tyler,2021,Boise St.,
Lamont Wade,2021,Penn St.,29.88
Ar'Darius Washington,2021,TCU,29.25
James Wiggins,2021,Cincinnati,29.0
Tycen Anderson,2022,Toledo,33.0
Markquese Bell,2022,Florida A&M,32.38
Dane Belton,2022,Iowa,31.0
Bubba Bolden,2022,Miami,31.38
Jaquan Brisker,2022,Penn St.,31.75
Percy Butler,2022,Louisiana,31.62
Lewis Cine,2022,Georgia,32.25
Qwynnterrio Cole,2022,Louisville,31.88
Bryan Cook,2022,Cincinnati,31.88
Yusuf Corker,2022,Kentucky,31.0
Nick Cross,2022,Maryland,31.5
Kyle Hamilton,2022,Notre Dame,33.0
Kolby Harvell-Peel,2022,Oklahoma St.,31.12
Daxton Hill,2022,Michigan,32.25
Verone McKinley III,2022,Oregon,30.62
Kerby Joseph,2022,Illinois,33.0
Quentin Lake,2022,UCLA,31.25
Smoke Monday,2022,Auburn,32.5
Leon O'Neal,2022,Texas A&M,
Jalen Pitre,2022,Baylor,30.62
Juanyeh Thomas,2022,Georgia Tech,32.38
Delarrin Turner-Yell,2022,Oklahoma,31.75
JT Woods,2022,Baylor,32.38
Javon Bullard,2024,Georgia,30.75
Jaden Hicks,2024,Washington State,31.5
Tyler Nubin,2024,Minnesota,32.0
Cole Bishop,2024,Utah,29.75
Malik Mustapha,2024,Wake Forest,30.12
Kitan Oladapo,2024,Oregon State,32.38
Tykee Smith,2024,Georgia,31.62
Calen Bullock,2024,USC,32.5
Kamren Kinchens,2024,Miami,31.25
Jaylin Simpson,2024,Auburn,32.38
Dadrion Taylor-Demerson,2024,Texas Tech,30.88
James Williams,2024,Miami,
Trey Taylor,2024,Air Force,
Evan Williams,2024,Oregon,30.12
Daijahn Anthony,2024,Mississippi,32.5
Dominique Hampton,2024,Washington,33.25
Sione Vaki,2024,Utah,29.12
Jaylen Key,2024,Alabama,32.25
Jaylon Carlies,2024,Missouri,64.25
Patrick McMorris,2024,Cal,31.88
Sanoussi Kane,2024,Purdue,
Nick Emmanwori,2025,South Carolina,32.5
Malaki Starks,2025,Georgia,31.62
Xavier Watts,2025,Notre Dame,31.5
Andrew Mukuba,2025,Texas,30.0
Kevin Winston Jr.,2025,Penn State,32.5
Lathan Ransom,2025,Ohio State,30.5
Billy Bowman Jr.,2025,Oklahoma,28.5
Jonas Sanker,2025,Virginia,32.25
Malachi Moore,2025,Alabama,29.62
Jaylen Reed,2025,Penn State,30.38
Hunter Wohler,2025,Wisconsin,30.62
Craig Woodson,2025,California,30.5
Kitan Crawford,2025,Nevada,31.0
Dante Trader Jr.,2025,Maryland,31.25
Rayuan Lane III,2025,Navy,30.25
Marques Sigle,2025,Kansas State,30.75
R.J. Mickens,2025,Clemson,32.25
Caleb Downs,2026,Alabama,
Dillon Thieneman,2026,Purdue,
Emmanuel McNeil-Warren,2026,Toledo,
Michael Taaffe,2026,Texas,
A.J. Haulcy,2026,New Mexico,
Kamari Ramsey,2026,UCLA,
Zakee Wheatley,2026,Penn State,
Genesis Smith,2026,Arizona,
Bishop Fitzgerald,2026,North Carolina State,
Jalon Kilgore,2026,South Carolina,
Jakobe Thomas,2026,Middle Tennessee,
Jalen Stroman,2026,Virginia Tech,
Xavier Nwankpa,2026,Iowa,
Bud Clark,2026,TCU,
Isaiah Nwokobia,2026,SMU,
Robert Spears-Jennings,2026,Oklahoma,
Peyton Bowen,2026,Oklahoma,
Isaac Smith,2026,Mississippi State,
Ahmaad Moses,2026,SMU,
Jalen Catalon,2026,Arkansas,
