Overall Rank,Pick Taken,Name,School,Pos,Pos Rank,Round Grade,Grade,Difference From Consensus,Difference From PFF
326,UDFA,Elijah Chatman,SMU,IDL,IDL25,PFA,4.10,Not in Consensus,Not on PFF Board
273,UDFA,Michael Wiley,Arizona,RB,RB17,PFA,4.10,14,Not on PFF Board
328,190,Dylan McMahon,NC STATE,C,C11,PFA,4.10,-135,-79
329,UDFA,Rocky Lombardi,Northern Illinois,QB,QB19,PFA,4.09,Not in Consensus,Not on PFF Board
330,91,Ty'Ron Hopper,Missouri,LB,LB26,PFA,4.09,-171,-139
331,UDFA,Juilius Woods,East Carolina,SAF,SAF31,PFA,4.09,Not in Consensus,Not on PFF Board
332,246,Devin Culp,WASHINGTON,TE,TE19,PFA,4.09,-67,Not on PFF Board
333,UDFA,A.J. Woods,Pittsburgh,CB,CB45,PFA,4.08,23,-58
334,UDFA,Jadon Janke,South Dakota State,WR,WR44,PFA,4.07,293,Not on PFF Board
335,UDFA,Storm Duck,Louisville,CB,CB46,PFA,4.07,1,Not on PFF Board
312,186,Jase McClellan,Alabama,RB,RB21,PFA,4.06,-79,-104
337,UDFA,Myles Murphy,North Carolina,IDL,IDL26,PFA,4.04,-63,-125
338,UDFA,Tyler Harrell,Miami,WR,WR45,PFA,4.04,228,Not on PFF Board
339,UDFA,Demani Richardson,Texas A&M,SAF,SAF32,PFA,4.04,-77,-24
340,UDFA,Johnny Dixon,Penn State,CB,CB47,PFA,4.01,-152,-148
341,UDFA,Lorenzo Thompson,Rhode Island,OT,OT43,PFA,4.00,82,Not on PFF Board
342,UDFA,Ben Nikkel,Iowa State,SAF,SAF33,PFA,4.00,Not in Consensus,Not on PFF Board
343,UDFA,Beanie Bishop Jr.,West Virginia,CB,CB48,UDFA,4.00,-33,Not on PFF Board
344,215,Jarrett Kingston,USC,OG,OG17,UDFA,3.99,-50,Not on PFF Board
345,UDFA,Ryan Cooper,Oregon State,CB,CB49,UDFA,3.99,-6,Not on PFF Board
346,UDFA,Bradley Ashmore,VANDERBILT,RT,OT44,UDFA,3.99,Not in Consensus,Not on PFF Board
347,UDFA,Jack Plummer,Louisville,QB,QB20,UDFA,3.97,0,-69
348,197,Zion Logue,Georgia,IDL,IDL27,UDFA,3.96,-41,-65
349,UDFA,Carlton Johnson,Fresno State,CB,CB50,UDFA,3.96,-118,Not on PFF Board
350,UDFA,Ro Torrence,Arizona State,CB,CB51,UDFA,3.96,-72,Not on PFF Board
351,UDFA,X'Zauvea Gadlin,Liberty,OG,OG18,UDFA,3.95,-13,-40
314,UDFA,Jaden Shirden,Monmouth,RB,RB22,UDFA,3.95,-24,-155
353,187,Casey Washington,Illinois,WR,WR46,UDFA,3.92,-8,-127
354,UDFA,Tyler Owens,Texas Tech,SAF,SAF34,UDFA,3.92,-66,-131
355,UDFA,Pheldarius Payne,Virginia Tech,IDL,IDL28,UDFA,3.91,Not in Consensus,Not on PFF Board
356,UDFA,Andre Sam,LSU,SAF,SAF35,UDFA,3.90,-53,Not on PFF Board
357,UDFA,Quinten Arello,Dartmouth,SAF,SAF36,UDFA,3.89,Not in Consensus,Not on PFF Board
358,UDFA,Keni-H Lovely,Western Michigan,CB,CB52,UDFA,3.89,Not in Consensus,Not on PFF Board
359,UDFA,Cam Grandy,ILL STATE,TE,TE20,UDFA,3.89,243,Not on PFF Board
360,230,Michael Jurgens,Wake Forest,OG,OG19,UDFA,3.88,74,Not on PFF Board
361,UDFA,Ron Stone Jr.,Washington State,EDGE,EDGE33,UDFA,3.88,-29,Not on PFF Board
362,UDFA,Bucky Williams,Appalachian State,OG,OG20,UDFA,3.87,Not in Consensus,Not on PFF Board
363,UDFA,Lincoln Sefcik,S ALABAMA,TE,TE21,UDFA,3.86,Not in Consensus,Not on PFF Board
364,198,Patrick McMorris,Cal,SAF,SAF37,UDFA,3.86,Not in Consensus,Not on PFF Board
365,UDFA,Akeem Dent,Florida State,SAF,SAF38,UDFA,3.84,-19,Not on PFF Board
366,UDFA,Tyrek Funderburk,Appalachian St.,CB,CB53,UDFA,3.84,Not in Consensus,Not on PFF Board
367,UDFA,Charles Turner III,LSU,C,C12,UDFA,3.81,-139,Not on PFF Board
368,UDFA,Alfahiym Walcott,Arkansas,SAF,SAF39,UDFA,3.80,Not in Consensus,Not on PFF Board
369,UDFA,Quinten Johnson,Michigan,SAF,SAF40,UDFA,3.79,Not in Consensus,Not on PFF Board
370,UDFA,Kingsley Eguakun,Florida,C,C13,UDFA,3.77,-113,-72
371,UDFA,Doug Nester,W VIRGINIA,RT,OT45,UDFA,3.76,42,Not on PFF Board
372,UDFA,Austin Reed,Western Kentucky,QB,QB21,UDFA,3.76,-95,-135
373,UDFA,Aaron Casey,Indiana,LB,LB27,UDFA,3.75,-82,-67
374,UDFA,Garrett Shrader,Syracuse,QB,QB22,UDFA,3.75,Not in Consensus,Not on PFF Board
628,UDFA,Cody Schrader,Missouri,RB,RB37,UDFA,3.75,-402,-452
376,UDFA,David White,Western Carolina,WR,WR47,UDFA,3.74,40,Not on PFF Board
377,UDFA,Cam Goode,Michigan,IDL,IDL29,UDFA,3.72,Not in Consensus,Not on PFF Board
378,UDFA,Ty James,Mercer,WR,WR48,UDFA,3.72,122,Not on PFF Board
379,UDFA,Winston Reid,Weber State,LB,LB28,UDFA,3.71,Not in Consensus,Not on PFF Board
380,188,Jamal Hill,Ole Miss,LB,LB29,UDFA,3.71,111,Not on PFF Board
381,218,Devin Leary,Kentucky,QB,QB23,UDFA,3.70,-106,-131
382,UDFA,Zion Tupuola-Fetui,Washington,EDGE,EDGE34,UDFA,3.70,-163,-112
396,UDFA,Dell Pettus,Troy,SAF,SAF41,UDFA,3.69,96,Not on PFF Board
383,UDFA,Casey Rogers,Oregon,IDL,IDL30,UDFA,3.69,199,Not on PFF Board
384,UDFA,Isaiah Wooden,Southern Utah,WR,WR49,UDFA,3.69,Not in Consensus,Not on PFF Board
375,205,Jawhar Jordan,Louisville,RB,RB28,UDFA,3.69,-161,-59
386,UDFA,Tayvion Robinson,Kentucky,WR,WR50,UDFA,3.68,-4,-200
387,235,Devaughn Vele,Utah,WR,WR51,UDFA,3.68,-33,Not on PFF Board
388,UDFA,Sam Schnee,Northern Iowa,WR,WR52,UDFA,3.66,Not in Consensus,Not on PFF Board
389,243,Jowon Briggs,Cincinnati,IDL,IDL31,UDFA,3.66,-74,-170
390,UDFA,Hayden Hatten,Idaho,WR,WR53,UDFA,3.64,-11,-90
391,UDFA,Parker McKinney,Eastern Kentucky,QB,QB24,UDFA,3.63,Not in Consensus,Not on PFF Board
392,UDFA,Beau Corrales,Texas State,WR,WR54,UDFA,3.62,Not in Consensus,Not on PFF Board
393,UDFA,Drake Stoops,Oklahoma,WR,WR55,UDFA,3.61,-82,Not on PFF Board
394,UDFA,Kameron Johnson,Barton College,WR,WR56,UDFA,3.61,Not in Consensus,Not on PFF Board
395,UDFA,Cole Beck,Virginia Tech,WR,WR57,UDFA,3.59,Not in Consensus,Not on PFF Board
397,UDFA,John Huggins,Jackson State,SAF,SAF42,UDFA,3.58,Not in Consensus,Not on PFF Board
400,UDFA,Shawn Preston Jr.,Mississippi State,SAF,SAF43,UDFA,3.58,Not in Consensus,Not on PFF Board
398,UDFA,Chevan Cordeiro,San Jose State,QB,QB25,UDFA,3.57,Not in Consensus,Not on PFF Board
399,UDFA,Wayne Ruby,Mount Union,WR,WR58,UDFA,3.56,219,Not on PFF Board
419,UDFA,Steve Stephens IV,Oregon,SAF,SAF44,UDFA,3.55,Not in Consensus,Not on PFF Board
401,UDFA,Leon Johnson,Oklahoma State,WR,WR59,UDFA,3.52,Not in Consensus,Not on PFF Board
402,UDFA,Billy Bowens,Boise State,WR,WR60,UDFA,3.51,Not in Consensus,Not on PFF Board
403,UDFA,Jeremy Moussa,Florida A&M,QB,QB26,UDFA,3.51,171,Not on PFF Board
404,UDFA,Willis Patrick,TCU,OG,OG21,UDFA,3.50,-40,Not on PFF Board
405,UDFA,Darrell Simpson,TULSA,RT,OT46,UDFA,3.50,Not in Consensus,Not on PFF Board
406,195,Ryan Watts,Texas,CB,CB54,UDFA,3.50,-177,-164
407,UDFA,Bryce Oliver,Youngstown State,WR,WR61,UDFA,3.48,Not in Consensus,Not on PFF Board
408,UDFA,David Martin-Robinson,TEMPLE,TE,TE22,UDFA,3.47,7,Not on PFF Board
409,UDFA,Ajou Ajou,Garden City,WR,WR62,UDFA,3.45,Not in Consensus,Not on PFF Board
410,UDFA,Davius Richard,NC Central,QB,QB27,UDFA,3.45,Not in Consensus,Not on PFF Board
411,UDFA,Willie Roberts,Louisiana Tech,CB,CB55,UDFA,3.44,-17,-130
413,UDFA,Caleb Chapman,Incarnate Word,WR,WR63,UDFA,3.43,Not in Consensus,Not on PFF Board
414,UDFA,Brennan Armstrong,North Carolina State,QB,QB28,UDFA,3.42,110,Not on PFF Board
415,UDFA,Tanner Knue,Eastern Michigan,WR,WR64,UDFA,3.42,Not in Consensus,Not on PFF Board
416,UDFA,Trevor Williams,Sam Houston State,LB,LB30,UDFA,3.41,Not in Consensus,Not on PFF Board
417,UDFA,Zach Heins,South Dakota St,TE,TE23,UDFA,3.41,-51,Not on PFF Board
418,UDFA,Sam Wiglusz,Ohio,WR,WR65,UDFA,3.41,202,Not on PFF Board
420,UDFA,Tywan Francis,Temple,SAF,SAF45,UDFA,3.41,Not in Consensus,Not on PFF Board
456,250,Sanoussi Kane,Purdue,SAF,SAF46,UDFA,3.40,Not in Consensus,Not on PFF Board
421,UDFA,Devon Garrison,Pittsburg State,TE,TE24,UDFA,3.40,Not in Consensus,Not on PFF Board
422,UDFA,Cameron Wire,TULANE,LT,OT47,UDFA,3.39,-15,Not on PFF Board
423,256,Nick Gargiulo,South Carolina,C,C14,UDFA,3.38,-122,-130
489,UDFA,Miyan Williams*,Ohio State,RB,RB32,UDFA,3.38,-139,-224
425,UDFA,Gunner Britton,Auburn,OG,OG22,UDFA,3.38,160,Not on PFF Board
426,UDFA,Dakota Caton,Indiana State,WR,WR66,UDFA,3.38,Not in Consensus,Not on PFF Board
427,UDFA,Kedon Slovis,BYU,QB,QB29,UDFA,3.37,-123,-143
428,UDFA,Praise Olatoke,Nigeria (Intl.),WR,WR67,UDFA,3.36,Not in Consensus,Not on PFF Board
429,UDFA,Marcus Riley,Florida A&M,WR,WR68,UDFA,3.35,Not in Consensus,Not on PFF Board
430,UDFA,Jeremy Flax,KENTUCKY,RT,OT48,UDFA,3.33,-130,Not on PFF Board
588,167,Keilan Robinson,Texas,RB,RB35,UDFA,3.32,-230,Not on PFF Board
432,UDFA,Jackson Sirmon,California,LB,LB31,UDFA,3.31,-178,Not on PFF Board
433,UDFA,Norell Pollard,Virginia Tech,IDL,IDL32,UDFA,3.31,Not in Consensus,Not on PFF Board
434,UDFA,B.J. Turner,North Carolina A&T,LB,LB32,UDFA,3.29,Not in Consensus,Not on PFF Board
435,UDFA,Dre Tucker,Monmouth,WR,WR69,UDFA,3.29,Not in Consensus,Not on PFF Board
436,UDFA,Levelle Bailey,Fresno State,LB,LB33,UDFA,3.29,-40,Not on PFF Board
437,UDFA,Omar Speights,LSU,LB,LB34,UDFA,3.29,-109,-125
438,UDFA,Dev Holmes,New Haven,WR,WR70,UDFA,3.28,Not in Consensus,Not on PFF Board
439,UDFA,Joe Andreessen,Buffalo,LB,LB35,UDFA,3.27,155,Not on PFF Board
440,UDFA,Alex Johnson,UCLA,CB,CB56,UDFA,3.27,-66,Not on PFF Board
441,UDFA,Treyton Welch,WYOMING,TE,TE25,UDFA,3.26,Not in Consensus,Not on PFF Board
442,UDFA,Ahmarean Brown,South Carolina,WR,WR71,UDFA,3.26,Not in Consensus,Not on PFF Board
443,UDFA,Andrew Raym,Oklahoma,C,C15,UDFA,3.23,-203,-157
444,UDFA,Brandon Dorlus,Oregon,EDGE,EDGE35,UDFA,3.23,-367,-379
445,UDFA,Taki Taimani,Oregon,IDL,IDL33,UDFA,3.23,Not in Consensus,Not on PFF Board
446,UDFA,Colton Adams,Alabama State,LB,LB36,UDFA,3.22,Not in Consensus,Not on PFF Board
447,UDFA,Theo Day,Northern Iowa,QB,QB30,UDFA,3.21,Not in Consensus,Not on PFF Board
448,UDFA,Brian Holloway,Texas State,LB,LB37,UDFA,3.21,Not in Consensus,Not on PFF Board
449,UDFA,Geoffrey Cantin-Arku,Memphis,LB,LB38,UDFA,3.20,33,Not on PFF Board
450,UDFA,Red Wilson,North Dakota,WR,WR72,UDFA,3.19,Not in Consensus,Not on PFF Board
451,UDFA,Jordan Kerley,SMU,WR,WR73,UDFA,3.18,Not in Consensus,Not on PFF Board
452,UDFA,Micheal Mason,Coastal Carolina,IDL,IDL34,UDFA,3.15,Not in Consensus,Not on PFF Board
453,UDFA,Gage Porter,Southern Nazarene,QB,QB31,UDFA,3.15,Not in Consensus,Not on PFF Board
454,UDFA,Ovie Oghoufo,LSU,EDGE,EDGE36,UDFA,3.15,-30,Not on PFF Board
455,UDFA,Dalton Tucker,Marshall,OG,OG23,UDFA,3.15,Not in Consensus,Not on PFF Board
458,UDFA,Jordan Toles,Morgan State,SAF,SAF47,UDFA,3.14,-12,Not on PFF Board
457,UDFA,Thomas Yassmin,UTAH,TE,TE26,UDFA,3.14,-58,Not on PFF Board
498,UDFA,Robert Kennedy,North Carolina State,SAF,SAF48,UDFA,3.13,Not in Consensus,Not on PFF Board
459,UDFA,Jason Johnson,UCF,LB,LB39,UDFA,3.13,Not in Consensus,Not on PFF Board
460,UDFA,Nick Jackson,Iowa,LB,LB40,UDFA,3.13,Not in Consensus,Not on PFF Board
461,UDFA,Ramel Keyton,Tennessee,WR,WR74,UDFA,3.13,Not in Consensus,Not on PFF Board
462,UDFA,Smoke Harris,Louisiana Tech,WR,WR75,UDFA,3.12,Not in Consensus,Not on PFF Board
463,UDFA,Jai Roe,Long Island,CB,CB57,UDFA,3.12,Not in Consensus,Not on PFF Board
464,UDFA,Morice Norris Jr.,Fresno State,CB,CB58,UDFA,3.11,Not in Consensus,Not on PFF Board
465,UDFA,Darius Hodges,Tulane,EDGE,EDGE37,UDFA,3.10,Not in Consensus,Not on PFF Board
466,UDFA,Tim Patrick,Southern Utah,WR,WR76,UDFA,3.09,Not in Consensus,Not on PFF Board
467,UDFA,Jackson Mitchell,UConn,LB,LB41,UDFA,3.09,-66,Not on PFF Board
468,UDFA,Thomas Harper,Notre Dame,CB,CB59,UDFA,3.08,-39,Not on PFF Board
469,UDFA,David Ugwoegbu,Houston,EDGE,EDGE38,UDFA,3.08,-151,-203
470,UDFA,Connor Finucane,ARMY,RT,OT49,UDFA,3.08,Not in Consensus,Not on PFF Board
471,UDFA,Duke Clemens,UCLA,C,C16,UDFA,3.08,-35,Not on PFF Board
472,UDFA,Zach McCarron-Mathis,North Dakota St.,WR,WR77,UDFA,3.07,Not in Consensus,Not on PFF Board
473,UDFA,Myles Jones,Duke,CB,CB60,UDFA,3.05,-132,Not on PFF Board
474,UDFA,Isaiah Major,Florida A&M,LB,LB42,UDFA,3.05,28,Not on PFF Board
475,UDFA,Noah Frith,Liberty,WR,WR78,UDFA,3.05,Not in Consensus,Not on PFF Board
476,UDFA,Marshel Martin,Sacramento St.,TE,TE27,UDFA,3.05,Not in Consensus,Not on PFF Board
477,UDFA,Quentin Wilfawn,South Alabama,EDGE,EDGE39,UDFA,3.04,Not in Consensus,Not on PFF Board
478,UDFA,Trent Pennix,NC STATE,TE,TE28,UDFA,3.04,-81,Not on PFF Board
479,UDFA,Isaac Rex,BYU,TE,TE29,UDFA,3.03,-154,-174
480,UDFA,Davon Ferguson,Bowling Green,CB,CB61,UDFA,3.03,92,Not on PFF Board
481,UDFA,Sidney Walker,Buffalo,C,C17,UDFA,3.02,Not in Consensus,Not on PFF Board
482,UDFA,CJ Hardy,Incarnate Word,WR,WR79,UDFA,3.02,Not in Consensus,Not on PFF Board
483,UDFA,Joe Evans,Iowa,TE,TE30,UDFA,3.01,Not in Consensus,Not on PFF Board
484,UDFA,Jacob Warren,TENNESSEE,TE,TE31,UDFA,3.00,-81,Not on PFF Board
485,UDFA,Yahsyn McKee,Miami (OH),CB,CB62,UDFA,3.00,Not in Consensus,Not on PFF Board
486,UDFA,Xavier Wade,Ferris State,WR,WR80,UDFA,2.99,Not in Consensus,Not on PFF Board
487,UDFA,Dylan Leonard,GA TECH,TE,TE32,UDFA,2.98,Not in Consensus,Not on PFF Board
488,UDFA,Jimmy Ciarlo,Army,LB,LB43,UDFA,2.98,Not in Consensus,Not on PFF Board
352,UDFA,Jalen Jackson,Villanova,RB,RB27,UDFA,2.97,Not in Consensus,Not on PFF Board
490,UDFA,Julian Hicks,Albany,WR,WR81,UDFA,2.97,Not in Consensus,Not on PFF Board
491,UDFA,Jeshaun Jones,Maryland,WR,WR82,UDFA,2.97,-79,Not on PFF Board
492,UDFA,Ben Bryant,Northwestern,QB,QB32,UDFA,2.97,-67,Not on PFF Board
493,234,Jonah Laulu,Oklahoma,IDL,IDL35,UDFA,2.96,Not in Consensus,Not on PFF Board
494,UDFA,Tyren Dupree,Liberty,LB,LB44,UDFA,2.96,Not in Consensus,Not on PFF Board
495,UDFA,DeVonte Tanksley,Tenn.-Martin,WR,WR83,UDFA,2.93,Not in Consensus,Not on PFF Board
496,UDFA,Spencer Rolland,N CAROLINA,RT,OT50,UDFA,2.93,Not in Consensus,Not on PFF Board
497,UDFA,Joey Gatewood,LOUISVILLE,TE,TE33,UDFA,2.93,Not in Consensus,Not on PFF Board
550,UDFA,Chris Edmonds,Arizona State,SAF,SAF49,UDFA,2.92,Not in Consensus,Not on PFF Board
499,UDFA,Joe Sparacio,Eastern Michigan,LB,LB45,UDFA,2.92,Not in Consensus,Not on PFF Board
500,UDFA,D'Ante' Cox,Southern Illinois,WR,WR84,UDFA,2.92,Not in Consensus,Not on PFF Board
501,UDFA,Chad Bailey,Missouri,LB,LB46,UDFA,2.92,51,Not on PFF Board
502,UDFA,Mason Pline,FURMAN,TE,TE34,UDFA,2.92,-147,Not on PFF Board
503,UDFA,Brenden Bates,KENTUCKY,TE,TE35,UDFA,2.92,78,Not on PFF Board
504,UDFA,Yvandy Rigby,Temple,LB,LB47,UDFA,2.92,Not in Consensus,Not on PFF Board
505,UDFA,Zamari Walton,Mississippi,CB,CB63,UDFA,2.91,Not in Consensus,Not on PFF Board
506,UDFA,Zack Annexstad,Illinois State,QB,QB33,UDFA,2.91,Not in Consensus,Not on PFF Board
507,UDFA,Jacob Johanning,Furman,OG,OG24,UDFA,2.91,Not in Consensus,Not on PFF Board
508,UDFA,Joshua Erling,Washington State,LB,LB48,UDFA,2.91,Not in Consensus,Not on PFF Board
509,UDFA,Alec Holler,UCF,TE,TE36,UDFA,2.91,86,Not on PFF Board
510,UDFA,Zach Peterson,Michigan,WR,WR85,UDFA,2.90,Not in Consensus,Not on PFF Board
511,UDFA,Sincere Haynesworth,Tulane,C,C18,UDFA,2.89,-27,Not on PFF Board
512,UDFA,Tyler Jackson,Northern Illinois,LB,LB49,UDFA,2.89,Not in Consensus,Not on PFF Board
513,UDFA,Martell Irby,Arizona,LB,LB50,UDFA,2.88,Not in Consensus,Not on PFF Board
514,UDFA,Taylor Upshaw,Arizona,EDGE,EDGE40,UDFA,2.88,-153,Not on PFF Board
515,UDFA,Shemar Bartholomew,Georgia Southern,CB,CB64,UDFA,2.88,Not in Consensus,Not on PFF Board
516,UDFA,Jett Johnson,Mississippi St.,LB,LB51,UDFA,2.88,-81,Not on PFF Board
846,UDFA,Austin Jones,USC,RB,RB41,UDFA,2.87,-385,Not on PFF Board
518,244,Justin Rogers,Auburn,IDL,IDL36,UDFA,2.87,-246,-285
519,UDFA,Sam Pinckney,Coastal Carolina,WR,WR86,UDFA,2.87,Not in Consensus,Not on PFF Board
520,UDFA,Dee Williams,Tennessee,WR,WR87,UDFA,2.87,Not in Consensus,Not on PFF Board
521,UDFA,Max Wright,TEXAS A&M,TE,TE37,UDFA,2.86,Not in Consensus,Not on PFF Board
522,UDFA,Xavier Johnson,Ohio State,WR,WR88,UDFA,2.86,Not in Consensus,Not on PFF Board
523,UDFA,Marcus Rogers,Troy,WR,WR89,UDFA,2.86,Not in Consensus,Not on PFF Board
524,UDFA,Cole Dow,Dayton,QB,QB34,UDFA,2.85,Not in Consensus,Not on PFF Board
525,UDFA,Brevin Easton,Albany,WR,WR90,UDFA,2.84,Not in Consensus,Not on PFF Board
526,UDFA,Eric Miller,LOUISVILLE,RT,OT51,UDFA,2.84,Not in Consensus,Not on PFF Board
527,UDFA,Malik Dunlap,Texas Tech,CB,CB65,UDFA,2.83,27,Not on PFF Board
528,UDFA,AJ Hence,Western Michigan,TE,TE38,UDFA,2.83,Not in Consensus,Not on PFF Board
529,UDFA,Barry Elliott,Fayetteville State,WR,WR91,UDFA,2.83,Not in Consensus,Not on PFF Board
530,UDFA,Hyrin White,SMU,RT,OT52,UDFA,2.83,77,Not on PFF Board
531,UDFA,Jake Hornibrook,DUKE,RT,OT53,UDFA,2.83,-57,Not on PFF Board
532,UDFA,Neal Johnson,LA LAFAYET,TE,TE39,UDFA,2.83,Not in Consensus,Not on PFF Board
533,UDFA,R.J. Starkey,Samford,WR,WR92,UDFA,2.82,Not in Consensus,Not on PFF Board
534,UDFA,Carter Bradley,South Alabama,QB,QB35,UDFA,2.82,-221,-304
535,UDFA,Baylor Cupp,TEXAS TECH,TE,TE40,UDFA,2.81,-145,Not on PFF Board
536,UDFA,Re-al Mitchell,San Diego,WR,WR93,UDFA,2.80,Not in Consensus,Not on PFF Board
537,UDFA,Qwahsin Townsel,Hampton,LB,LB52,UDFA,2.79,Not in Consensus,Not on PFF Board
538,UDFA,Kasim Hill,Rhode Island,QB,QB36,UDFA,2.79,Not in Consensus,Not on PFF Board
539,UDFA,Nick Dixon,Florida A&M,TE,TE41,UDFA,2.79,Not in Consensus,Not on PFF Board
540,UDFA,Tuli Letuligasenoa,Washington,IDL,IDL37,UDFA,2.78,-160,Not on PFF Board
541,UDFA,Dayton Wade,Ole Miss,WR,WR94,UDFA,2.77,-133,Not on PFF Board
542,UDFA,Brian Dooley,E MICHIGAN,RT,OT54,UDFA,2.77,-159,Not on PFF Board
543,UDFA,Darrell Harding,Buffalo,WR,WR95,UDFA,2.77,Not in Consensus,Not on PFF Board
544,UDFA,DJ Irons,Akron,QB,QB37,UDFA,2.77,Not in Consensus,Not on PFF Board
545,UDFA,Carlos Hill,,WR,WR96,UDFA,2.76,Not in Consensus,Not on PFF Board
546,226,Jaden Davis,Miami,CB,CB66,UDFA,2.76,-125,Not on PFF Board
547,UDFA,Kevin Foelsch,New Haven,TE,TE42,UDFA,2.75,Not in Consensus,Not on PFF Board
548,UDFA,Jae'Veyon Morton,Morgan State,CB,CB67,UDFA,2.75,Not in Consensus,Not on PFF Board
549,UDFA,DeAngelo Hardy,North Central (Ill.),WR,WR97,UDFA,2.74,Not in Consensus,Not on PFF Board
412,UDFA,Jahdae Barron,Texas,SAF,SAF50,UDFA,2.74,Not in Consensus,Not on PFF Board
551,UDFA,Charles Woods,SMU,CB,CB68,UDFA,2.73,49,Not on PFF Board
552,UDFA,Tyler McLellan,CAMPBELL,RT,OT55,UDFA,2.73,Not in Consensus,Not on PFF Board
553,UDFA,Jayden de Laura,Arizona,QB,QB38,UDFA,2.73,Not in Consensus,Not on PFF Board
554,UDFA,Hendrix Johnson,Northern Arizona,WR,WR98,UDFA,2.73,Not in Consensus,Not on PFF Board
555,UDFA,Dennis Briggs Jr.,Florida State,IDL,IDL38,UDFA,2.72,Not in Consensus,Not on PFF Board
556,UDFA,Jalon Calhoun,Duke,WR,WR99,UDFA,2.71,-237,Not on PFF Board
557,UDFA,Geor'quarius Spivey,Mississippi State,TE,TE43,UDFA,2.70,Not in Consensus,Not on PFF Board
558,UDFA,Devin Maddox,Toledo,WR,WR100,UDFA,2.70,Not in Consensus,Not on PFF Board
559,UDFA,Eli Neal,Marshall,LB,LB53,UDFA,2.70,Not in Consensus,Not on PFF Board
560,UDFA,Bless Harris,FLORIDA ST,LT,OT56,UDFA,2.69,Not in Consensus,Not on PFF Board
561,UDFA,Terrell Vaughn,Utah State,WR,WR101,UDFA,2.69,-142,Not on PFF Board
562,UDFA,Deion Jennings,Rutgers,LB,LB54,UDFA,2.68,Not in Consensus,Not on PFF Board
563,UDFA,Andrew Chatfield Jr.,Oregon State,EDGE,EDGE41,UDFA,2.68,-177,Not on PFF Board
564,UDFA,Danny Abraham,Villanova,LB,LB55,UDFA,2.68,Not in Consensus,Not on PFF Board
565,UDFA,Xavier White,Texas Tech,WR,WR102,UDFA,2.68,Not in Consensus,Not on PFF Board
566,UDFA,Bryan Hudson,Louisville,C,C19,UDFA,2.67,-104,Not on PFF Board
567,UDFA,Lee Kpogba,West Virginia,LB,LB56,UDFA,2.67,Not in Consensus,Not on PFF Board
568,UDFA,Marquez McCray,Monmouth,QB,QB39,UDFA,2.67,Not in Consensus,Not on PFF Board
569,UDFA,Arland Bruce IV,Oklahoma State,WR,WR103,UDFA,2.67,Not in Consensus,Not on PFF Board
570,UDFA,Devin Carter,West Virginia,WR,WR104,UDFA,2.66,-143,Not on PFF Board
571,UDFA,Austin Stogner,OKLAHOMA,TE,TE44,UDFA,2.66,-209,Not on PFF Board
572,UDFA,Chaese Jackson,Robert Morris,TE,TE45,UDFA,2.66,Not in Consensus,Not on PFF Board
573,UDFA,Bud Tolbert,UL-Monroe,WR,WR105,UDFA,2.66,Not in Consensus,Not on PFF Board
574,UDFA,Ben Kopenski,Tulsa,EDGE,EDGE42,UDFA,2.66,Not in Consensus,Not on PFF Board
575,UDFA,DaRon Gilbert,Northern Illinois,LB,LB57,UDFA,2.66,Not in Consensus,Not on PFF Board
576,UDFA,Cam Johnson,Northwestern,WR,WR106,UDFA,2.65,Not in Consensus,Not on PFF Board
577,UDFA,Sam Westfall,Virginia,CB,CB69,UDFA,2.65,Not in Consensus,Not on PFF Board
578,UDFA,Lawrence Richardson,Morgan State,LB,LB58,UDFA,2.65,Not in Consensus,Not on PFF Board
579,UDFA,Manny Smith,North Carolina Central,SAF,SAF51,UDFA,2.64,Not in Consensus,Not on PFF Board
993,UDFA,Jabari Small,Tennessee,RB,RB46,UDFA,2.64,-676,Not on PFF Board
581,UDFA,Patrick Godbolt,South Carolina State,EDGE,EDGE43,UDFA,2.64,Not in Consensus,Not on PFF Board
582,UDFA,John Paddock,Illinois,QB,QB40,UDFA,2.63,-51,Not on PFF Board
583,UDFA,Quinton Lane,Jacksonville St.,WR,WR107,UDFA,2.63,Not in Consensus,Not on PFF Board
584,UDFA,Foday Jalloh,Lamar,LB,LB59,UDFA,2.62,9,Not on PFF Board
585,UDFA,Shelton Zeon,UNLV,TE,TE46,UDFA,2.62,Not in Consensus,Not on PFF Board
586,UDFA,Jordan Kelley,Oklahoma,IDL,IDL39,UDFA,2.61,Not in Consensus,Not on PFF Board
587,UDFA,Mike DiLiello,Austin Peay,QB,QB41,UDFA,2.6,Not in Consensus,Not on PFF Board
385,UDFA,Terrell Jennings,Florida A&M,RB,RB29,UDFA,2.61,Not in Consensus,Not on PFF Board
589,UDFA,Jjay Mcafee,GA SOUTHRN,TE,TE47,UDFA,2.60,Not in Consensus,Not on PFF Board
590,UDFA,Shiloh Ta'ase,Portland State,C,C20,UDFA,2.60,Not in Consensus,Not on PFF Board
591,UDFA,Yemi Ward,St. Ambrose,WR,WR108,UDFA,2.60,Not in Consensus,Not on PFF Board
592,UDFA,Aaron Beasley,Tennessee,LB,LB60,UDFA,2.59,-102,Not on PFF Board
593,UDFA,Ryan Ragone,Miami,LB,LB61,UDFA,2.59,Not in Consensus,Not on PFF Board
594,UDFA,Nick Kidwell,JAMES MAD,RT,OT57,UDFA,2.59,Not in Consensus,Not on PFF Board
