Overall Rank,Pick Taken,Name,School,Pos,Pos Rank,Round Grade,Grade,Difference From Consensus,Difference From PFF
80,169,Kitan Oladapo,Oregon State,SAF,SAF6,3rd,6.65,81,92
81,65,Malachi Corley,Western Kentucky,WR,WR17,3rd,6.64,-22,-19
82,27,Darius Robinson,Missouri,EDGE,EDGE11,3rd,6.64,-47,-21
83,84,Roman Wilson,Michigan,WR,WR18,3rd,6.61,-35,-41
84,UDFA,Gabriel Murphy,UCLA,EDGE,EDGE12,3rd-4th,6.60,18,65
85,50,Mike Sainristil,Michigan,CB,CB9,3rd-4th,6.57,-35,-51
86,140,Cam Hart,Notre Dame,CB,CB10,3rd-4th,6.54,6,70
87,113,Devontez Walker,North Carolina,WR,WR20,3rd-4th,6.53,-7,-11
88,89,Tykee Smith,Georgia,SAF,SAF7,3rd-4th,6.53,30,30
89,77,Delmar Glaze,MARYLAND,LT,OT13,3rd-4th,6.52,67,168
90,59,Blake Fisher,NOTRE DAME,RT,OT14,3rd-4th,6.49,0,-17
91,35,Ruke Orhorhoro,Clemson,IDL,IDL6,3rd-4th,6.47,-23,-24
92,123,Cade Stover,Ohio State,TE,TE4,3rd-4th,6.42,-3,11
93,193,D.J. James,Auburn,CB,CB11,3rd-4th,6.41,15,60
94,94,Jalyx Hunt,Houston Christian,EDGE,EDGE13,3rd-4th,6.40,82,-8
95,71,Isaiah Adams,Illinois,OG,OG5,4th,6.37,39,42
96,64,Renardo Green,Florida State,CB,CB12,4th,6.37,14,-7
97,78,Calen Bullock,USC,SAF,SAF8,4th,6.37,-16,-16
98,189,Mekhi Wingo,LSU,IDL,IDL7,4th,6.35,18,33
99,90,Elijah Jones,Boston College,CB,CB13,4th,6.34,39,126
100,39,Braden Fiske,Florida State,IDL,IDL8,4th,6.31,-59,-56
101,145,Kris Abrams-Draine,Missouri,CB,CB14,4th,6.31,-17,29
102,141,Sedrick Van Pran,Georgia,C,C4,4th,6.30,-5,-2
103,155,Jeremiah Trotter Jr.,Clemson,LB,LB4,4th,6.27,-16,-7
104,99,Kamren Kinchens,Miami,SAF,SAF9,4th,6.27,-21,5
133,66,Trey Benson,Florida State,RB,RB6,4th,6.25,-73,-58
106,241,Tahj Washington,USC,WR,WR21,4th,6.25,96,23
107,164,Jaylin Simpson,Auburn,SAF,SAF10,4th,6.25,37,121
108,61,Ennis Rakestraw Jr.,Missouri,CB,CB15,4th,6.22,-70,-62
109,109,Brandon Dorlus,Oregon,IDL,IDL9,4th,6.22,-32,-44
110,131,Jared Wiley,TCU,TE,TE5,4th,6.21,23,-2
111,112,Decamerion Richardson,Mississippi St.,CB,CB16,4th,6.20,73,55
112,85,Zak Zinter,Michigan,OG,OG6,4th,6.19,1,51
113,68,Caedan Wallace,PENN STATE,RT,OT15,4th,6.18,78,29
114,70,Andru Phillips,Kentucky,CB,CB17,4th,6.17,-11,-50
115,125,Bucky Irving,Oregon,RB,RB5,4th,6.15,0,-36
116,96,Jarrian Jones,Florida State,CB,CB18,4th,6.15,21,-3
117,86,Dominick Puni,KANSAS,LT,OT16,4th,6.14,-29,-13
118,214,Cedric Johnson,Ole Miss,EDGE,EDGE14,4th,6.13,46,106
119,UDFA,Dwight McGlothern,Arkansas,CB,CB19,4th,6.13,71,81
120,108,Khyree Jackson,Oregon,CB,CB20,4th,6.11,-29,-33
121,104,Dadrion Taylor-Demerson,Texas Tech,SAF,SAF11,4th,6.11,-21,-27
122,UDFA,Eric Watts,Uconn,EDGE,EDGE15,4th-5th,6.09,87,146
123,67,Brandon Coleman,TCU,LT,OT17,4th-5th,6.07,43,-53
124,158,Mohamed Kamara,Colorado State,EDGE,EDGE16,4th-5th,6.06,-12,15
125,UDFA,Leonard Taylor,Miami,IDL,IDL10,4th-5th,6.06,-20,16
126,72,Trevin Wallace,Kentucky,LB,LB5,4th-5th,6.01,-6,42
127,106,Cedric Gray,North Carolina,LB,LB6,4th-5th,5.98,-32,23
128,100,Luke McCaffrey,Rice,WR,WR22,4th-5th,5.96,17,18
129,211,Kamal Hadden,Tennessee,CB,CB21,4th-5th,5.96,69,44
130,107,Theo Johnson,PENN STATE,TE,TE6,4th-5th,5.96,-34,5
131,177,Walter Rouse,OKLAHOMA,LT,OT18,4th-5th,5.95,54,40
132,252,Jaylen Harrell,Michigan,EDGE,EDGE17,4th-5th,5.95,83,64
154,88,MarShawn Lloyd,USC,RB,RB8,4th-5th,5.93,-48,-70
134,121,A.J. Barner,MICHIGAN,TE,TE7,4th-5th,5.93,28,79
135,242,James Williams,Miami,SAF,SAF12,5th,5.89,32,76
136,160,Edefuan Ulofoshio,Washington,LB,LB7,5th,5.87,15,125
137,217,Beaux Limmer,Arkansas,C,C5,5th,5.86,-13,37
138,114,Javon Foster,MISSOURI,LT,OT19,5th,5.84,-9,41
139,152,Ainias Smith,Texas A&M,WR,WR23,5th,5.79,10,-20
140,92,Jalen McMillan,Washington,WR,WR24,5th,5.78,-55,-55
141,162,Christian Jones,TEXAS,RT,OT20,5th,5.77,-20,13
142,174,Caelen Carson,Wake Forest,CB,CB22,5th,5.77,-20,-32
143,117,Tanor Bortolini,Wisconsin,C,C6,5th,5.76,-2,-15
144,168,Javon Solomon,Troy,EDGE,EDGE18,5th,5.75,2,-53
145,148,Tommy Eichenberg,Ohio State,LB,LB8,5th,5.74,-17,-18
146,103,Layden Robinson,Texas A&M,OG,OG7,5th,5.74,26,117
147,139,Jordan Magee,Temple,LB,LB9,5th,5.74,87,-14
148,48,Maason Smith,LSU,IDL,IDL11,5th,5.74,-72,-8
149,82,Tip Reiman,ILLINOIS,TE,TE8,5th,5.70,28,53
150,155,Brennan Jackson,Washington State,EDGE,EDGE19,5th,5.68,13,-35
151,245,Michael Pratt,Tulane,QB,QB8,5th,5.67,-24,-54
152,136,Nehemiah Pritchett,Auburn,CB,CB23,5th,5.66,-22,28
155,166,Tyrone Tracy Jr.,Purdue,RB,RB9,5th,5.62,23,-53
192,134,Braelon Allen,Wisconsin,RB,RB12,5th,5.61,-94,-71
105,173,Isaiah Davis,South Dakota State,RB,RB4,5th-6,5.59,101,11
156,196,Tyler Davis,Clemson,IDL,IDL12,5th-6,5.56,-9,2
157,223,Trey Taylor,Air Force,SAF,SAF13,5th-6,5.55,99,44
158,222,Javontae Jean-Baptiste,Notre Dame,EDGE,EDGE20,5th-6,5.52,67,6
159,247,Marcus Harris,Auburn,IDL,IDL13,5th-6,5.52,63,86
160,183,Darius Muasau,UCLA,LB,LB10,5th-6,5.52,88,28
