Rnd,Pick,Tm,Player,Pos,School
4,126,CLE,Dylan Sampson,RB,Tennessee
4,127,IND,Jalen Travis,OT,Iowa St.
4,128,WAS,Jaylin Lane,WR,Virginia Tech
4,129,BAL,Teddye Buchanan,LB,California
4,130,NYJ,Malachi Moore,SAF,Alabama
4,131,NOR,Quincy Riley,CB,Louisville
4,132,CHI,Ruben Hyppolite,LB,Maryland
4,133,KAN,Jalen Royals,WR,Utah St.
4,134,DEN,Quandarrius Robinson,LB,Alabama
4,135,LVR,Tonka Hemingway,DT,South Carolina
4,136,TEN,Elic Ayomanor,WR,Stanford
4,137,NWE,Joshua Farmer,DT,Florida St.
4,138,SFO,Jordan Watkins,WR,Mississippi
5,139,MIN,Tyrion Ingram-Dawkins,DE,Georgia
5,140,CAR,Cam Jackson,DT,Florida
5,141,BAL,Carson Vinson,OT,Alabama A&M
5,142,SEA,Rylie Mills,DL,Notre Dame
5,143,MIA,Jordan Phillips,DL,Maryland
5,144,CLE,Shedeur Sanders,QB,Colorado
5,145,PHI,Mac McWilliams,CB,Central Florida
5,146,NWE,Bradyn Swinson,DE,LSU
5,147,SFO,Jordan James,RB,Oregon
5,148,LAR,Ty Hamilton,DT,Ohio St.
5,149,DAL,Jaydon Blue,RB,Texas
5,150,MIA,Jason Marshall,CB,Florida
5,151,IND,DJ Giddens,RB,Kansas St.
5,152,DAL,Shemar James,LB,Florida
5,153,CIN,Jalen Rivers,OL,Miami (FL)
5,154,NYG,Marcus Mbow,OL,Purdue
5,155,MIA,Dante Trader,SAF,Maryland
5,156,KAN,Jeffrey Bassa,LB,Oregon
5,157,TAM,Elijah Roberts,DT,SMU
5,158,LAC,KeAndre Lambert-Smith,WR,Auburn
5,159,GNB,Collin Oliver,DE,Oklahoma St.
5,160,SFO,Marques Sigle,SAF,Kansas St.
5,161,PHI,Smael Mondon,LB,Georgia
5,162,NYJ,Francisco Mauigoa,LB,Miami (FL)
5,163,CAR,Mitchell Evans,TE,Notre Dame
5,164,PIT,Yahya Black,DT,Iowa
5,165,LAC,Oronde Gadsden II,TE,Syracuse
5,166,SEA,Tory Horton,WR,Colorado St.
5,167,TEN,Jackson Slater,OL,Sacramento St.
5,168,PHI,Drew Kendall,C,Boston Col.
5,169,CHI,Zah Frazier,CB,Texas-San Antonio
5,170,BUF,Jordan Hancock,SAF,Ohio St.
5,171,DET,Miles Frazier,G,LSU
5,172,LAR,Chris Paul,LB,Mississippi
5,173,BUF,Jackson Hawes,TE,Georgia Tech
