Player,Year,School,arm_length_inches
John Ridgeway,2022,Arkansas,33.38
Eyioma Uwazurike,2022,Iowa St.,35.12
Perrion Winfrey,2022,Oklahoma,35.25
Devonte Wyatt,2022,Georgia,32.62
Keeanu Benton,2023,Wisconsin,33.88
Bryan Bresee,2023,Clemson,32.5
Jalen Carter,2023,Georgia,33.5
Jerrod Clark,2023,Coastal Carolina,33.75
Keondre Coburn,2023,Texas,31.5
DJ Dale,2023,Alabama,32.88
Gervon Dexter,2023,Florida,32.25
Siaki Ika,2023,Baylor,32.38
Calijah Kancey,2023,Pittsburgh,30.62
PJ Mustipher,2023,Penn St.,32.75
Moro Ojomo,2023,Texas,34.5
Zacch Pickens,2023,South Carolina,34.38
Jalen Redmond,2023,Oklahoma,32.62
Jaquelin Roy,2023,LSU,32.75
Nesta Jade Silvera,2023,Arizona St.,32.88
Mazi Smith,2023,Michigan,33.75
Dante Stills,2023,West Virginia,32.38
Byron Young,2023,Alabama,34.38
Cameron Young,2023,Mississippi St.,34.5
Byron Murphy II,2024,Texas,32.375
Ruke Orhorhoro,2024,Clemson,34.0
Johnny Newton,2024,Illinois,32.375
T'Vondre Sweat,2024,Texas,33.25
Braden Fiske,2024,Florida State,31.0
Kris Jenkins,2024,Michigan,34.0
McKinnley Jackson,2024,Texas A&M,32.88
Maason Smith,2024,LSU,35.0
Justin Eboigbe,2024,Alabama,33.38
Logan Lee,2024,Iowa,32.25
Taylor Upshaw,2024,Michigan,
Jaden Crumedy,2024,Mississippi State,33.0
Jowon Briggs,2024,Cincinnati,
Mason Graham,2025,Michigan,32.0
Kenneth Grant,2025,Michigan,33.5
Walter Nolen,2025,Ole Miss,32.5
Derrick Harmon,2025,Oregon,34.38
Tyleik Williams,2025,Ohio State,33.62
T.J. Sanders,2025,South Carolina,33.12
Alfred Collins,2025,Texas,34.62
Shemar Turner,2025,Texas A&M,33.62
Omarr Norman-Lott,2025,Tennessee,33.75
Darius Alexander,2025,Toledo,34.0
Vernon Broughton,2025,Texas,35.0
Peter Woods,2026,Clemson,
Caleb Banks,2026,Florida,
Christen Miller,2026,Georgia,
A'Mauri Washington,2026,Oregon,
Kayden McDonald,2026,Ohio State,
Dontay Corleone,2026,Cincinnati,
Domonique Orange,2026,Iowa State,
C.J. Fite,2026,Arizona State,
Darrell Jackson Jr.,2026,Florida State,
Skyler Gill-Howard,2026,Texas Tech,
Albert Regis,2026,Texas A&M,
Bear Alexander,2026,Oregon,
David Oke,2026,Arkansas,
Cole Brevard,2026,Texas,
Tim Keenan III,2026,Alabama,
DeMonte Capehart,2026,Clemson,
Lee Hunter,2026,Texas Tech,
Zxavian Harris,2026,Ole Miss,
Zane Durant,2026,Penn State,
Rayshaun Benny,2026,Michigan,
Keanu Tanuvasa,2026,BYU,
James Smith,2026,Alabama,
Gracen Halton,2026,Oklahoma,
Keeshawn Silver,2026,USC,
Landon Robinson,2026,Navy,
Brandon Cleveland,2026,NC State,
