player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Dante Fowler Jr.,9436,ED,FLORIDA,12,9,2.4,0,1,163,71.6,86.4,17.7,81.9,86.2,78.7,12.2,5,4,278,281,7.6,21,27
Leonard Williams,9439,DI,USC,13,8,2.3,0,2,326,68.8,85.7,24.6,65.7,92.4,77.1,10.1,7,5,322,330,14.3,46,54
Vic Beasley Jr.,9441,ED,CLEMSON,13,3,0.2,1,0,140,59.8,83.8,38.3,88.4,74.1,60.6,9.1,2,4,236,238,6.8,16,17
Trae Waynes,9444,CB,MICH STATE,13,1,4.4,0,0,223,79.4,78.1,86.7,52.8,63.5,71.2,25.0,4,4,261,266,2.3,6,11
Danny Shelton,9445,DI,WASHINGTON,14,16,2.3,0,0,340,78.9,86.0,65.0,67.3,89.8,90.8,1.5,1,2,355,363,9.6,34,49
Kevin Johnson,9449,CB,WAKE,12,3,11.5,0,0,339,73.3,70.9,0.0,61.8,64.6,53.2,26.3,5,4,370,375,1.1,4,11
Arik Armstead,9450,DI,OREGON,13,7,3.2,0,0,264,73.5,73.0,64.2,61.2,76.8,68.8,8.1,3,1,238,239,7.1,17,27
Marcus Peters,9451,CB,WASHINGTON,8,1,4.5,0,0,340,76.3,79.3,41.4,72.9,85.9,51.6,7.7,1,4,244,248,2.5,6,11
Bud Dupree,9455,ED,KENTUCKY,12,8,2.6,0,1,202,81.7,82.0,41.1,80.1,76.3,73.5,9.8,4,3,383,385,5.2,20,29
Shane Ray,9456,ED,MISSOURI,14,3,2.4,0,1,229,67.6,87.2,0.0,90.8,78.2,87.2,6.8,3,10,298,301,9.4,28,38
Shaq Thompson,9458,LB,WASHINGTON,12,4,4.0,0,2,340,86.0,81.5,61.8,74.5,74.5,67.3,5.4,2,1,261,266,7.3,19,31
Byron Jones,9460,CB,UCONN,7,3,8.5,0,0,146,69.5,69.9,84.5,,66.2,79.8,10.0,1,0,204,213,1.0,2,6
Damarious Randall,9463,S,ARIZONA ST,13,5,7.6,1,1,110,83.3,87.4,60.9,90.2,83.5,81.6,13.6,6,2,424,429,2.8,12,33
Stephone Anthony,9464,LB,CLEMSON,13,15,3.2,1,2,140,73.2,83.3,56.2,71.4,90.0,88.0,7.1,4,2,311,316,8.4,26,37
Malcom Brown,9465,DI,TEXAS,13,9,2.0,1,0,311,66.3,88.3,85.8,69.9,91.3,73.8,5.3,3,1,343,350,11.1,38,45
Landon Collins,9466,S,ALABAMA,14,10,4.6,0,0,103,89.7,91.8,89.4,66.3,91.9,91.7,8.7,4,0,364,368,4.9,18,32
Mario Edwards Jr.,9468,ED,FLORIDA ST,13,3,2.3,0,1,167,67.6,76.8,75.9,67.6,78.4,70.5,13.6,6,1,431,433,5.6,24,35
