player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Myles Garrett,11756,ED,TEXAS A&M,11,8,0.2,0,0,312,63.1,90.2,46.1,90.8,82.9,73.1,9.7,3,3,281,286,6.0,17,20
Solomon Thomas,11758,DI,STANFORD,13,6,0.9,1,0,300,72.0,89.1,0.0,76.2,92.2,62.7,12.7,7,8,301,304,12.0,36,42
Jamal Adams,11761,S,LSU,12,10,6.8,0,1,211,90.2,91.4,87.9,78.8,90.9,79.1,10.6,5,0,353,360,5.1,18,32
Marshon Lattimore,11766,CB,OHIO STATE,13,2,10.1,0,0,260,89.9,90.0,85.4,63.1,76.7,91.1,0.0,0,2,275,278,1.8,5,14
Haason Reddick,11768,ED,TEMPLE,14,9,1.3,0,1,306,70.5,81.8,73.9,85.7,73.1,39.5,18.9,10,1,289,301,8.7,25,34
Derek Barnett,11769,ED,TENNESSEE,13,6,3.3,0,0,307,73.7,89.4,6.3,91.5,77.9,68.1,7.5,3,9,406,412,5.7,23,31
Malik Hooker,11770,S,OHIO STATE,13,11,8.2,0,0,260,91.5,91.4,89.1,64.9,70.9,66.6,16.3,8,0,385,389,2.6,10,30
Marlon Humphrey,11771,CB,ALABAMA,14,1,14.4,0,0,103,84.2,83.9,87.0,58.7,72.8,74.3,11.1,1,4,323,326,0.6,2,7
Jonathan Allen,11772,DI,ALABAMA,15,9,1.8,1,0,103,70.4,92.2,49.3,90.6,90.8,79.1,5.9,3,3,278,281,11.5,32,39
Adoree' Jackson,11773,CB,USC,13,3,17.5,0,0,326,83.1,85.8,86.0,56.1,89.8,83.8,8.0,2,1,321,323,2.2,7,20
Jarrad Davis,11776,LB,FLORIDA,9,10,3.0,0,0,163,60.9,66.5,5.8,72.5,68.7,62.5,17.1,7,2,220,225,8.6,19,24
Charles Harris,11777,ED,MISSOURI,12,11,5.0,2,1,229,68.1,77.5,28.0,86.8,67.6,74.8,4.4,2,5,374,375,4.8,18,32
Gareon Conley,11779,CB,OHIO STATE,13,1,14.4,0,0,260,89.2,85.3,85.7,50.4,65.0,65.6,16.7,2,1,271,274,0.7,2,9
Jabrill Peppers,11780,S,MICHIGAN,12,2,4.7,0,1,222,79.5,77.5,66.1,61.8,77.9,79.6,11.4,5,2,338,344,5.9,20,37
Takk McKinley,11781,ED,UCLA,11,10,1.8,1,0,324,92.7,90.0,30.5,85.2,74.9,74.9,10.6,5,4,281,285,8.2,23,32
Tre'Davious White,11782,CB,LSU,12,4,6.7,2,0,211,90.6,90.2,55.3,69.4,73.8,66.0,15.4,2,4,357,364,0.6,2,7
Taco Charlton,11783,ED,MICHIGAN,11,7,2.2,0,0,222,71.1,83.7,70.7,83.6,75.0,72.9,6.3,2,1,253,258,7.5,19,23
T.J. Watt,11785,ED,WISCONSIN,14,9,2.8,0,0,349,72.6,86.3,61.6,91.0,72.4,64.5,13.6,6,3,274,278,7.7,21,29
Reuben Foster,11786,LB,ALABAMA,15,15,2.3,0,0,103,89.7,92.9,62.4,68.7,94.9,76.3,5.7,5,1,320,323,16.3,52,67
Kevin King,11788,CB,WASHINGTON,14,5,4.3,1,0,340,84.4,83.0,87.7,55.1,68.9,50.8,22.7,5,3,355,361,2.3,8,12
Malik McDowell,11790,DI,MICH STATE,9,3,0.2,0,0,223,60.7,75.5,14.8,80.1,72.0,73.2,3.4,1,4,215,218,11.2,24,25
Budda Baker,11791,CB,WASHINGTON,14,2,5.0,0,0,340,85.8,87.6,89.4,73.0,87.3,79.6,3.2,1,2,343,349,3.8,13,28
Marcus Maye,11794,S,FLORIDA,9,7,7.8,0,0,163,78.0,83.6,83.7,69.5,87.8,91.0,2.5,1,1,222,227,4.5,10,32
Curtis Samuel,11795,HB,OHIO STATE,1,0,25.0,0,0,260,,62.3,60.0,,61.9,70.3,0.0,0,2,1,1,0.0,0,1
Marcus Williams,11797,S,UTAH,11,4,10.3,0,2,328,91.8,93.3,50.7,53.9,91.3,88.4,2.8,1,1,279,286,3.2,9,31
Sidney Jones IV,11798,CB,WASHINGTON,14,5,2.0,2,0,340,87.5,87.6,56.4,53.9,81.5,75.1,16.7,2,3,339,345,1.2,4,5
Quincy Wilson,11801,CB,FLORIDA,13,3,9.4,1,0,163,73.0,72.7,53.2,75.5,69.2,44.5,25.0,4,5,389,396,0.8,3,9
Tyus Bowser,11802,ED,HOUSTON,8,4,0.8,0,0,182,64.1,74.9,89.6,78.8,73.5,71.4,8.7,2,0,178,180,8.4,15,17
Ryan Anderson,11804,ED,ALABAMA,15,13,1.5,0,1,103,84.5,84.2,47.0,77.8,81.1,68.7,5.3,2,3,241,243,8.3,20,23
Justin Evans,11805,S,TEXAS A&M,13,5,8.1,0,0,312,90.7,87.9,87.6,65.8,61.2,52.6,27.8,15,1,444,452,2.3,10,34
DeMarcus Walker,11806,ED,FLORIDA ST,13,5,2.8,0,0,167,65.6,85.2,62.9,88.2,73.3,78.4,10.4,5,2,337,341,8.0,27,38
Teez Tabor,11808,CB,FLORIDA,12,1,8.9,0,0,163,80.9,81.1,50.3,75.7,78.3,67.0,8.3,1,5,342,347,1.2,4,10
Raekwon McMillan,11809,LB,OHIO STATE,13,16,2.8,0,2,260,61.5,78.5,86.9,68.9,84.5,77.3,10.0,8,0,378,382,11.1,42,56
Dalvin Tomlinson,11810,DI,ALABAMA,15,16,2.0,1,0,103,65.3,88.1,70.9,74.3,90.5,76.9,4.3,2,1,273,274,8.4,23,28
Obi Melifonwu,11811,S,UCONN,12,19,7.3,0,0,146,80.1,84.8,59.9,63.2,86.9,88.6,6.7,5,2,399,405,5.0,20,51
Zach Cunningham,11812,LB,VANDERBILT,13,17,1.9,0,2,333,63.9,73.9,85.8,50.7,80.3,59.8,13.3,13,1,385,389,14.5,56,68
Chidobe Awuzie,11815,CB,COLORADO,14,3,8.9,1,0,143,82.3,80.7,61.2,72.9,67.9,68.9,19.0,4,3,398,404,1.3,5,14
Josh Jones,11816,S,NC STATE,13,12,6.6,0,0,248,87.1,83.0,58.2,58.4,79.1,79.8,12.5,8,3,337,340,6.8,23,44
Larry Ogunjobi,11820,DI,CHARLOTTE,12,8,0.8,0,0,136,72.0,87.7,49.2,69.0,92.5,67.5,2.2,1,3,254,260,14.2,36,37
Ahkello Witherspoon,11821,CB,COLORADO,14,1,12.0,0,0,143,87.6,85.5,55.2,,66.2,39.8,27.3,3,1,359,365,0.6,2,7
Dawuane Smoot,11823,ED,ILLINOIS,12,8,1.7,0,0,187,66.4,77.8,54.5,83.0,68.9,51.3,17.4,8,3,469,478,5.1,24,30
Jordan Willis,11828,ED,KANSAS ST,13,8,2.0,0,0,199,66.3,90.8,43.4,90.6,84.7,58.7,12.9,4,4,297,305,5.4,16,19
Chris Wormley,11829,ED,MICHIGAN,13,5,2.0,1,0,222,63.4,82.9,71.6,74.9,83.1,81.7,3.8,1,1,258,262,6.2,16,20
Duke Riley,11830,LB,LSU,12,16,2.6,0,1,211,62.4,69.3,87.0,65.0,69.9,72.8,9.5,6,0,338,345,8.9,30,41
Alex Anzalone,11831,LB,FLORIDA,8,7,2.5,0,0,163,59.4,64.3,44.3,75.0,62.8,68.7,17.1,6,1,201,203,7.0,14,22
Daeshon Hall,11832,ED,TEXAS A&M,13,6,3.2,0,0,312,46.2,64.6,54.5,71.6,59.8,45.8,19.6,10,3,372,378,5.1,19,35
Tim Williams,11833,ED,ALABAMA,15,2,0.0,0,0,103,56.0,89.1,68.7,90.0,80.8,68.3,14.3,3,1,118,120,12.7,15,16
Tarell Basham,11835,ED,OHIO,14,4,2.9,0,0,259,68.3,83.3,28.4,88.2,73.1,55.1,19.4,6,5,257,260,5.8,15,21
Fabian Moreau,11836,CB,UCLA,12,2,6.3,0,0,324,70.5,72.1,87.0,,73.9,63.8,27.3,3,7,341,343,0.9,3,6
Eddie Vanderdoes,11843,DI,UCLA,12,3,2.1,0,0,324,59.2,81.5,39.9,74.5,84.0,75.2,4.3,1,3,283,284,5.7,16,19
Shaquill Griffin,11845,CB,UCF,13,4,9.2,0,0,323,90.1,90.1,29.3,55.4,85.9,83.1,10.0,2,4,456,464,0.9,4,14
Jourdan Lewis,11846,CB,MICHIGAN,10,0,3.6,1,0,222,80.6,80.4,43.9,51.8,78.2,60.7,20.0,3,4,293,298,2.0,6,12
John Johnson III,11847,S,BOSTON COL,13,8,8.2,0,1,121,64.2,66.4,56.0,56.0,71.3,87.0,8.1,3,1,318,327,3.8,12,26
Montravius Adams,11848,DI,AUBURN,13,7,1.1,1,0,115,56.6,78.3,28.1,77.8,78.9,67.7,5.7,2,4,234,239,9.8,23,26
Delano Hill,11849,S,MICHIGAN,13,3,6.6,0,0,222,82.1,82.0,50.2,76.3,78.7,86.1,9.1,3,2,348,355,3.2,11,27
Cameron Sutton,11850,CB,TENNESSEE,7,0,14.6,0,0,307,68.6,68.1,83.6,63.8,63.1,62.7,12.5,1,0,241,247,0.4,1,7
Cordrea Tankersley,11852,CB,CLEMSON,15,4,3.1,2,0,140,90.3,89.8,86.8,54.5,79.1,74.5,13.6,3,7,346,353,2.9,10,15
Rasul Douglas,11854,CB,W VIRGINIA,13,7,12.9,0,1,343,88.3,89.0,60.2,61.2,85.6,74.4,4.3,1,3,430,441,0.2,1,15
Nazair Jones,11857,DI,N CAROLINA,12,14,2.9,0,1,245,68.4,84.6,86.2,65.6,87.9,78.6,3.7,2,0,334,341,7.2,24,38
Trey Hendrickson,11858,ED,FAU,12,4,1.2,0,1,165,58.1,86.7,50.3,90.8,77.5,57.3,17.1,6,4,372,376,5.4,20,25
Kendell Beckwith,11862,LB,LSU,10,8,4.3,0,0,211,77.3,74.9,82.5,65.8,70.1,64.8,14.9,11,0,257,262,11.7,30,55
Vince Biegel,11863,ED,WISCONSIN,12,9,2.4,1,0,349,71.5,83.4,34.8,88.6,76.2,54.7,8.8,3,3,199,202,8.5,17,22
Jaleel Johnson,11864,DI,IOWA,13,11,2.6,0,0,192,60.0,75.8,58.9,79.4,69.9,72.9,4.9,2,2,322,325,6.2,20,28
Tedric Thompson,11866,S,COLORADO,14,9,9.3,0,0,143,90.8,86.0,61.4,47.2,57.0,66.3,27.0,10,3,413,420,1.7,7,18
Eddie Jackson,11867,S,ALABAMA,8,1,16.9,0,0,103,82.0,76.3,86.1,59.2,58.1,67.2,20.0,2,0,170,172,0.6,1,7
Rayshawn Jenkins,11868,S,MIAMI FL,13,0,8.1,0,0,220,70.3,70.1,90.0,73.1,62.7,60.6,25.0,8,1,339,353,2.4,8,24
Carl Lawson,11871,ED,AUBURN,13,3,1.8,0,0,115,75.5,86.4,11.1,91.6,67.2,64.7,5.9,1,6,246,251,4.5,11,13
Mack Hollins,11873,WR,N CAROLINA,1,0,,1,0,245,,60.0,60.0,,60.0,,,0,2,1,1,0.0,0,0
Ben Gedeon,11875,LB,MICHIGAN,13,26,1.9,0,0,222,47.5,69.5,88.0,64.3,79.0,71.2,9.2,7,1,374,381,8.8,33,43
Montae Nicholson,11878,S,MICH STATE,11,10,9.3,1,0,223,72.4,73.9,47.5,60.0,74.8,70.1,15.8,9,1,326,330,4.0,13,38
Jalen Reeves-Maybin,11879,LB,TENNESSEE,4,4,3.1,0,0,307,68.3,63.3,78.9,46.7,59.9,61.7,11.8,2,0,57,60,10.5,6,11
Howard Wilson,11881,CB,HOUSTON,13,0,9.3,1,0,182,90.3,90.4,53.3,69.3,78.8,62.9,10.3,3,3,333,337,2.4,8,26
Deatrich Wise Jr.,11886,ED,ARKANSAS,13,10,2.6,0,0,111,61.5,83.7,85.9,80.2,78.5,80.9,2.8,1,0,219,220,7.8,17,25
Ryan Switzer,11888,WR,N CAROLINA,1,0,,0,0,245,,60.0,60.0,,60.0,,,0,1,1,1,0.0,0,0
Ryan Glasgow,11893,DI,MICHIGAN,13,11,1.1,0,0,222,67.9,90.6,85.6,89.4,85.3,70.1,11.8,4,0,262,266,6.5,17,19
Carlos Watkins,11897,DI,CLEMSON,15,4,2.1,0,0,140,54.8,79.5,62.4,78.1,79.1,61.9,14.7,5,2,292,296,7.5,22,25
Blair Brown,11903,LB,OHIO,14,23,3.1,0,1,259,88.7,91.8,0.0,76.2,94.1,93.0,2.2,2,5,303,308,15.5,47,68
Damontae Kazee,11904,CB,S DIEGO ST,14,5,8.6,0,0,284,87.4,88.9,55.7,58.1,89.9,87.1,6.7,2,2,359,363,3.1,11,23
Desmond King II,11906,CB,IOWA,13,2,11.4,0,1,192,89.9,89.5,28.8,58.3,87.8,76.0,6.9,2,3,419,426,2.6,11,25
Corn Elder,11907,CB,MIAMI FL,13,6,7.7,0,0,220,87.4,89.5,87.3,81.9,82.6,90.6,8.6,3,1,380,395,3.7,14,26
