player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Jaylan Foster,13095,S,S CAROLINA,13,17,7.7,0,0,289,69.7,70.7,54.6,81.5,67.1,64.8,13.8,11,1,405,413,4.2,17,52
Mark Williams,21922,CB,LA MONROE,7,0,7.7,0,0,209,70.1,69.6,82.8,55.6,62.8,43.9,40.0,2,1,102,105,1.0,1,3
Devin Taylor,22317,CB,BOWL GREEN,12,5,6.7,0,1,122,70.0,69.5,24.9,53.0,72.9,65.4,13.0,3,7,435,438,1.8,8,15
Cortez Davis,22974,CB,HAWAII,13,4,8.5,0,1,180,64.7,63.9,88.3,64.1,55.2,58.6,17.4,4,5,439,451,1.1,5,15
Dru Prox,23093,LB,UTSA,9,2,4.3,0,0,331,53.4,66.4,76.7,86.8,67.8,76.6,6.7,1,0,65,67,12.3,8,12
Reggie Stubblefield,23441,S,KANSAS ST,12,4,3.3,0,0,199,58.3,63.9,48.3,65.7,72.2,46.6,19.4,6,2,200,204,7.5,15,21
Mikel Horton,23509,DI,CHARLOTTE,7,4,2.5,1,0,136,60.0,71.4,56.2,73.1,67.9,69.8,4.3,1,1,146,147,9.6,14,18
Colby Burton,23898,CB,HAWAII,5,0,2.5,0,0,180,60.0,62.6,79.6,57.2,72.4,83.5,0.0,0,1,53,56,3.8,2,2
Darion Dunn,23963,CB,TEXAS,11,2,8.4,0,0,311,75.0,74.0,15.8,56.3,71.7,69.7,12.5,1,1,134,137,1.5,2,5
Darren Evans,24171,CB,LSU,11,1,14.8,0,0,211,64.7,64.6,84.2,68.2,59.5,60.6,28.6,2,1,206,214,0.5,1,4
Alvinoski LaFleur,24504,S,E MICHIGAN,11,5,9.4,0,0,160,56.0,59.0,86.0,76.5,59.6,51.9,17.5,7,0,248,253,4.4,11,28
Luc Bequette,25776,DI,CAL,11,9,2.9,0,0,130,55.3,52.8,83.8,66.2,44.5,47.8,13.9,5,0,229,235,7.0,16,22
Jeremiah Moon,26453,LB,FLORIDA,10,3,4.3,0,1,163,57.1,63.5,88.2,68.5,62.2,74.9,9.4,3,0,192,194,7.3,14,26
Demario McCall,28012,CB,OHIO STATE,6,2,5.0,0,0,260,69.9,71.0,77.7,,70.0,82.5,0.0,0,0,34,34,0.0,0,1
Brenden Schooler,28253,S,TEXAS,11,3,9.9,0,1,311,75.9,69.7,23.7,77.0,53.7,69.2,20.0,5,1,188,189,2.1,4,17
Richard Moore,28853,LB,SMU,11,7,1.7,0,0,287,56.5,57.4,0.0,77.3,55.0,49.3,25.0,7,4,134,137,9.0,12,14
Jack Jones,29050,CB,ARIZONA ST,11,2,6.3,0,2,110,78.8,79.4,46.5,92.5,69.0,59.7,28.0,7,2,304,309,2.6,8,16
Adeeb Atariwa,30482,ED,VIRGINIA,2,2,2.5,0,0,335,,68.5,76.2,63.1,67.7,53.7,20.0,1,0,22,22,9.1,2,2
Marshaun Cameron,30624,CB,COLO STATE,12,3,9.2,0,0,144,47.1,52.0,46.7,64.2,71.7,85.1,11.1,2,9,315,321,1.0,3,13
Brian Cavicante,33444,LB,MARSHALL,8,9,3.4,0,0,214,43.4,65.3,82.0,76.1,77.6,67.5,14.3,3,1,90,92,4.4,4,9
Brock Nichols,33753,S,USF,8,1,13.0,0,0,327,71.0,70.9,80.5,60.0,68.2,84.9,0.0,0,0,72,73,0.0,0,2
Meiko Dotson,33902,CB,FLORIDA ST,5,0,3.8,0,0,167,63.5,63.0,79.8,55.2,61.1,71.2,16.7,1,0,69,73,4.3,3,5
Denzel Feaster,34561,LB,UTSA,14,9,5.1,0,1,331,48.2,50.5,81.5,55.0,54.7,57.6,15.2,5,0,143,148,8.4,12,19
Ferrod Gardner,34595,LB,LA LAFAYET,11,14,2.9,0,0,207,43.4,62.2,48.6,65.5,76.2,64.1,3.9,2,1,255,262,9.8,25,35
John Petrishen,35069,LB,PITTSBURGH,14,11,4.1,0,0,268,69.5,71.6,47.6,65.5,78.2,76.0,8.5,4,1,188,195,9.0,17,32
Cristian Williams,36151,S,TULSA,9,7,6.3,0,0,320,59.0,61.2,85.9,61.0,64.3,36.1,22.2,6,0,181,181,3.9,7,14
Scott Patchan,36449,ED,COLO STATE,12,9,2.6,0,2,144,73.0,85.2,43.6,91.3,70.0,53.6,17.3,9,4,400,409,6.0,24,34
Elijah Taylor,36723,ED,TULSA,12,3,1.5,0,0,320,62.6,67.8,9.8,57.6,78.6,71.9,4.8,1,3,119,119,13.4,16,17
Thad Mangum,36819,DI,USF,12,6,3.3,0,0,327,61.0,49.8,67.0,56.9,46.1,25.4,27.8,10,1,272,276,5.1,14,20
Micah Dew-Treadway,37050,DI,MINNESOTA,13,7,1.8,0,0,225,61.1,60.7,62.6,58.8,61.4,59.0,7.1,1,2,178,181,2.2,4,6
Tony Fair,37101,DI,AUBURN,12,5,1.3,0,0,115,60.0,63.1,46.1,59.9,63.8,31.6,20.0,2,1,107,107,2.8,3,3
Cameron Goode,38410,ED,CAL,11,10,2.1,0,0,130,73.8,74.4,49.3,77.7,64.9,59.2,17.8,8,3,270,274,6.7,18,27
Josh Drayden,38498,CB,CAL,12,9,5.1,1,0,130,62.4,67.3,59.8,66.5,83.0,62.6,7.4,2,4,336,344,2.7,9,16
Viane Moala,38501,DI,UTAH,3,1,1.3,0,0,328,,61.8,80.2,74.4,51.9,49.8,20.0,1,0,73,73,4.1,3,3
Demetris Robertson,38547,WR,AUBURN,2,0,,0,0,115,,60.0,60.0,,60.0,,,0,0,2,2,0.0,0,0
De'Vante Cross,39851,CB,VIRGINIA,8,1,6.7,0,0,335,47.2,49.3,87.9,60.0,54.0,47.2,7.1,1,0,250,258,0.8,2,12
Jordan Carmouche,39951,LB,HOUSTON,8,4,3.0,0,0,182,59.1,62.9,78.4,59.9,66.5,55.7,10.0,1,0,49,50,4.1,2,5
Derrion Rakestraw,39968,S,TULANE,11,5,9.1,0,0,319,64.3,66.8,83.8,63.9,69.3,70.6,10.5,2,0,127,128,3.9,5,12
Tyrell Alexander,39986,WR,VANDERBILT,1,0,,0,0,333,,60.1,60.0,,60.0,,,0,0,1,1,0.0,0,0
Brandon Martin,40066,LB,BALL ST,5,2,6.0,0,0,117,61.2,46.5,7.0,68.3,34.7,49.2,18.8,3,1,96,99,4.2,4,11
Phillip Howard,40350,CB,MINNESOTA,11,0,9.0,0,0,225,65.3,67.1,81.0,,72.8,63.5,0.0,0,2,55,55,0.0,0,3
Shai Werts,40384,WR,LOUISVILLE,1,0,,0,0,210,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Kumehnnu Gwilly,40495,LB,C MICHIGAN,13,5,5.0,0,0,134,55.9,62.4,82.8,56.8,66.3,76.6,5.6,1,0,119,121,4.2,5,12
Jahaziel Lee,40537,DI,LA MONROE,12,9,1.2,0,0,209,68.3,55.0,83.3,62.8,46.7,58.1,9.5,2,0,160,163,6.3,10,10
Velus Jones Jr.,40573,WR,TENNESSEE,1,0,,0,0,307,51.7,48.0,60.0,,60.0,21.3,,0,0,2,2,0.0,0,0
Prather Hudson,40617,S,ILLINOIS,7,3,4.5,0,0,187,60.6,64.3,78.9,74.5,64.7,57.0,16.7,1,0,42,42,2.4,1,2
Justin Rice,40640,LB,UTAH ST,14,20,2.2,0,1,329,62.1,61.1,87.7,62.9,58.0,67.1,10.2,9,0,412,418,11.2,46,59
C.J. Riley,40684,WR,NC STATE,1,0,,0,0,248,,60.0,60.0,,60.0,,,0,1,1,1,0.0,0,0
