player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Joey Bosa,10637,ED,OHIO STATE,12,3,1.1,0,0,260,65.3,90.3,7.9,90.4,88.8,66.0,9.5,4,8,298,304,10.1,30,35
Jalen Ramsey,10639,CB,FLORIDA ST,13,2,5.1,0,0,167,83.3,83.8,9.7,61.4,90.4,88.4,7.1,2,3,389,394,3.3,13,24
DeForest Buckner,10641,DI,OREGON,13,10,2.9,1,0,264,66.6,87.8,66.2,84.7,82.1,76.5,6.3,4,2,366,372,9.8,36,50
Leonard Floyd,10643,ED,GEORGIA,13,11,3.3,0,0,173,65.9,87.0,57.5,91.2,81.1,70.5,11.1,7,3,354,360,8.5,30,45
Eli Apple,10644,CB,OHIO STATE,13,6,5.7,1,0,260,82.0,81.4,56.5,68.5,76.5,53.7,18.2,4,5,397,404,1.8,7,12
Vernon Hargreaves III,10645,CB,FLORIDA,13,0,10.8,0,1,163,76.4,77.5,86.3,,77.2,62.6,33.3,2,0,336,343,0.6,2,4
Sheldon Rankins,10646,DI,LOUISVILLE,13,4,1.5,0,0,210,66.4,82.7,86.4,71.1,84.0,79.7,4.8,2,1,334,345,9.0,30,36
Karl Joseph,10648,S,W VIRGINIA,4,2,6.5,0,0,343,88.8,88.3,84.0,64.9,82.0,73.9,6.7,1,0,114,117,6.1,7,12
Keanu Neal,10651,S,FLORIDA,12,14,6.5,1,1,163,67.5,67.6,18.5,65.0,68.4,65.9,17.2,10,2,359,366,4.2,15,34
Shaq Lawson,10653,ED,CLEMSON,15,7,0.4,1,0,140,71.9,83.3,21.4,80.1,84.3,88.6,2.7,1,7,328,335,7.3,24,29
Darron Lee,10654,LB,OHIO STATE,13,11,3.6,0,0,260,65.9,73.9,41.2,81.6,77.9,67.8,8.7,4,2,380,386,3.9,15,31
William Jackson III,10658,CB,HOUSTON,12,3,2.5,1,0,182,90.5,90.3,53.1,48.3,80.1,83.2,10.0,1,5,307,312,1.3,4,6
