player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Dru Prox,23093,LB,UTSA,3,1,3.1,0,0,331,58.0,66.8,76.4,55.0,76.3,65.4,0.0,0,0,25,25,16.0,4,7
John Porchivina,28202,LB,OLE MISS,1,0,,0,0,226,60.3,47.4,67.2,,60.0,,,0,0,1,1,0.0,0,0
Colby Reeder,30285,LB,IOWA STATE,8,6,1.9,0,0,193,73.9,80.1,38.2,75.7,84.0,77.2,8.3,2,1,160,164,8.8,14,16
Kyle Pugh,35900,LB,N ILLINOIS,12,15,5.7,0,0,254,77.8,72.9,82.0,53.6,68.3,86.7,4.7,2,0,195,199,6.7,13,26
Jordan Carmouche,39951,LB,ARK STATE,12,25,2.7,0,0,113,56.2,58.4,59.3,52.3,62.3,79.7,7.4,5,1,356,362,6.5,23,38
Monte McGary,42477,CB,KANSAS,4,0,,0,0,198,63.4,63.7,76.2,69.5,54.7,53.8,100.0,1,0,19,20,0.0,0,0
Bricen Garner,42520,S,W MICHIGAN,12,14,7.3,0,0,347,69.2,67.7,87.6,64.6,61.6,73.8,19.3,11,0,344,352,2.6,9,32
Brandon Moore,42620,CB,NEBRASKA,6,0,,0,0,238,75.5,73.4,0.0,60.0,66.2,61.8,,0,1,52,53,0.0,0,0
Brandon Bouyer-Randle,42637,LB,UCONN,13,26,4.9,0,0,146,66.6,65.8,87.1,64.2,62.7,84.8,5.2,4,0,370,372,6.2,23,47
Clifford Chattman,42657,S,UTSA,14,9,4.7,0,0,331,62.7,67.3,59.2,74.9,74.4,67.9,18.0,9,4,336,348,4.2,14,32
Anthony Watts,42807,DI,MARSHALL,13,8,0.8,0,0,214,50.3,57.9,62.5,58.8,63.6,56.1,7.7,2,1,147,153,9.5,14,16
Justin Clark,43185,CB,WISCONSIN,9,1,5.8,0,0,349,61.2,61.2,81.8,,59.3,62.7,16.7,1,2,103,104,1.9,2,4
Ryan McWood,43189,LB,MIAMI OH,12,24,3.3,0,0,221,71.3,66.4,83.9,54.6,63.5,52.9,16.3,17,0,358,368,10.6,38,63
Jaydon Grant,43354,S,OREGON ST,12,4,5.5,0,0,265,79.8,78.3,55.2,51.0,78.4,79.5,12.9,4,2,266,267,4.9,13,23
Jon-Michael Terry,43635,LB,TULSA,12,21,3.4,1,0,320,57.4,60.3,46.4,59.0,63.2,72.9,10.4,7,2,419,423,6.7,28,39
Tyrone Hopper,43714,ED,MISSOURI,11,2,6.0,1,0,229,50.2,48.5,0.0,57.0,57.1,31.6,20.0,1,3,52,53,1.9,1,2
Sione Tupou,44093,LB,TEXAS ST,12,17,3.3,0,1,314,61.2,75.1,85.2,78.5,78.6,77.1,7.7,4,0,304,311,7.6,23,31
Semisi Fakasiieiki,44340,LB,PURDUE,10,4,2.7,0,0,273,67.3,62.9,8.2,77.8,57.2,55.2,14.8,4,1,106,107,13.2,14,19
Antwaine Richardson,49364,S,KENT STATE,7,6,6.5,0,0,201,52.6,60.7,85.4,,79.2,72.3,5.0,1,0,188,193,3.2,6,13
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,4,4,6.4,0,0,174,31.2,43.2,78.3,55.9,57.4,35.3,18.8,3,0,70,71,5.7,4,9
Penei Pavihi,52079,LB,HAWAII,13,11,3.4,0,0,180,58.4,44.2,59.8,60.1,35.9,48.8,25.9,14,1,398,401,5.3,21,29
Jared Reed,52173,CB,BOISE ST,1,0,,0,0,120,,60.0,61.7,,60.0,,,0,0,1,1,0.0,0,0
George Nyakwol,52203,S,RICE,10,6,14.9,1,2,275,54.4,60.9,84.5,72.6,67.2,57.1,18.2,6,1,198,204,3.5,7,21
Kenneth Orji,52209,ED,RICE,10,8,6.0,0,0,275,65.0,62.7,85.5,53.0,67.0,59.7,14.3,2,0,103,105,1.9,2,4
Trey Schuman,52216,ED,RICE,13,4,2.2,0,0,275,63.2,72.7,8.0,78.3,66.2,63.9,9.5,2,3,118,121,9.3,11,15
Alii Matau,52219,LB,S JOSE ST,12,12,5.0,0,0,285,72.0,68.6,75.2,68.9,61.9,58.8,19.1,9,1,311,314,3.2,10,26
Rico Tolefree,52250,LB,S JOSE ST,7,2,4.0,0,0,285,61.8,61.7,1.1,59.5,66.4,77.2,14.3,1,1,64,65,3.1,2,4
Sinjun Astani,52257,ED,USC,1,0,,0,0,326,,58.8,70.0,58.1,60.0,,,0,0,2,2,0.0,0,0
Tre White,52261,S,S JOSE ST,8,2,8.5,0,0,285,61.6,57.3,0.0,66.2,52.5,50.4,33.3,2,1,78,80,0.0,0,2
Gabe Reid,52273,ED,UTAH,13,7,2.1,0,0,328,74.4,74.1,49.2,69.5,71.7,73.8,7.7,2,2,170,171,7.6,13,17
Ryan Johnson,52282,ED,NWESTERN,6,2,-0.3,0,0,256,58.7,68.0,81.1,65.5,67.2,64.5,16.7,1,0,89,90,2.2,2,3
Bentlee Sanders,52291,S,NEVADA,12,4,8.1,0,2,239,79.1,79.2,88.8,59.6,74.2,77.9,14.0,7,2,352,359,4.3,15,39
Darrien Grant,52293,DI,USF,12,3,3.0,0,0,327,62.3,59.6,83.7,54.9,60.1,71.7,0.0,0,0,200,203,4.5,9,12
Fred Lloyd Jr.,52300,WR,LA MONROE,1,0,,0,0,209,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Mekhi LaPointe,52315,S,USF,10,9,7.0,0,1,327,40.0,43.8,85.5,62.7,49.9,50.3,21.4,9,0,251,253,4.0,10,24
Nick Roberts,52318,S,SMU,13,12,9.4,0,1,287,59.9,56.6,58.7,48.1,53.3,63.2,13.0,6,3,402,406,2.5,10,28
Bryce Dugan,52425,DI,OHIO,11,6,2.5,0,0,259,60.3,69.6,83.7,60.7,78.9,53.0,4.8,1,0,81,83,14.8,12,14
Malik Vann,52555,ED,CINCINNATI,2,0,3.5,0,0,138,,53.6,0.0,59.9,56.5,73.1,0.0,0,1,24,24,4.2,1,2
Tyler Bentley,52790,DI,PITTSBURGH,12,3,-0.2,0,0,268,60.0,67.0,82.3,62.2,68.3,66.0,11.1,1,0,78,79,6.4,5,5
Xavier Peters,52819,ED,FAU,7,3,2.0,0,0,165,49.1,50.5,27.1,62.2,49.6,35.8,23.1,3,1,61,61,11.5,7,7
Cole Pearce,52970,LB,BALL ST,11,27,2.3,0,0,117,64.6,76.3,86.3,83.7,73.7,81.8,8.7,8,0,403,409,10.9,44,57
James Camden,53418,S,CINCINNATI,1,0,,0,0,138,,60.8,64.9,,60.0,,,0,0,3,3,0.0,0,0
DeShawn Pace,53549,LB,CINCINNATI,13,17,5.8,0,0,138,64.2,64.6,55.8,63.6,65.0,61.9,15.3,9,2,324,328,5.2,17,33
Ja'von Hicks,53569,S,CINCINNATI,13,11,10.1,1,0,138,80.4,77.2,60.9,60.0,68.8,65.3,12.8,5,2,459,466,0.9,4,23
Eric Phillips,53572,ED,CINCINNATI,13,10,1.8,0,0,138,67.4,69.4,31.5,66.1,70.2,76.4,5.7,2,4,348,354,4.9,17,23
Ivan Pace Jr.,53587,LB,CINCINNATI,13,31,3.3,2,1,138,70.6,93.2,0.0,93.3,90.7,78.0,10.3,12,8,444,450,11.3,50,74
Ryan Mullaney,53704,ED,CINCINNATI,9,4,3.0,0,0,138,,56.1,0.0,60.4,59.2,60.1,7.7,1,2,94,94,6.4,6,8
Carrington Valentine,53750,CB,KENTUCKY,12,3,8.9,2,0,202,70.0,66.0,51.9,61.4,48.0,64.0,15.0,3,5,338,344,1.5,5,14
