player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
JR Pace,10116,S,NWESTERN,7,1,5.0,0,0,256,88.0,79.4,0.0,,52.3,28.3,50.0,2,1,35,35,2.9,1,1
Enoch Smith Jr.,12534,DI,OKLA STATE,12,1,1.9,0,0,262,,80.2,82.6,72.4,79.3,78.7,0.0,0,0,101,101,7.9,8,11
Jeffrey Allison,12542,LB,FRESNO ST,14,23,4.0,1,2,169,70.6,78.7,62.0,62.0,81.2,82.3,8.9,9,2,350,354,9.7,34,69
Petera Wilson Jr.,12610,ED,TULSA,11,13,5.7,0,0,320,69.7,70.2,0.0,67.9,72.2,81.5,7.5,4,4,210,216,8.6,18,36
Chase Dutra,12648,S,INDIANA,12,11,8.5,0,1,190,69.6,73.1,87.0,58.9,74.1,56.7,18.4,14,1,346,355,5.8,20,51
Rashaan Falemalu,12678,LB,HAWAII,1,0,-3.0,0,0,180,50.9,68.3,69.0,65.5,78.8,32.1,0.0,0,0,3,3,33.3,1,1
Marcus Edmond,12727,CB,CLEMSON,4,1,,0,0,140,58.6,58.1,0.0,,69.0,76.7,0.0,0,1,35,37,0.0,0,0
Robert Bullard,12729,CB,AIR FORCE,6,1,4.0,0,0,101,49.3,51.9,80.4,58.3,57.2,59.2,22.2,2,2,152,154,3.9,6,6
Hunter Crafford,12737,LB,N CAROLINA,5,3,4.0,0,0,245,57.6,66.2,76.7,60.0,70.1,80.9,0.0,0,0,41,41,2.4,1,2
Kamal Martin,12744,ED,MINNESOTA,12,8,5.3,0,1,225,71.2,67.9,47.4,66.5,64.0,64.5,12.9,4,2,306,315,3.9,12,19
Penitito Faalologo,12759,DI,HAWAII,6,2,0.8,0,0,180,61.5,47.1,83.4,58.9,39.8,48.1,14.3,1,0,117,117,3.4,4,4
Hootie Jones,12886,S,ALABAMA,12,3,6.7,0,0,103,74.6,71.7,45.3,53.1,66.8,88.2,6.3,1,2,239,241,1.7,4,12
Anthony Moten Jr.,12893,DI,MIAMI FL,12,3,3.4,0,0,220,61.8,65.4,57.8,61.8,65.8,60.5,11.1,1,1,132,134,3.0,4,5
Ken Webster,12955,CB,OLE MISS,10,3,13.8,0,0,226,64.4,66.9,83.2,60.0,72.8,62.2,11.8,2,0,207,213,1.9,4,12
Garrison Mitchell,12962,CB,UAB,13,6,5.2,1,0,321,68.1,68.3,90.4,51.1,69.2,75.7,13.0,3,3,232,236,4.3,10,14
Myles Davenport,12964,LB,NAVY,6,2,7.7,0,0,237,60.8,68.6,80.7,68.6,64.8,81.6,0.0,0,0,29,30,6.9,2,6
Tyler Watts,13089,WR,TEXAS ST,1,0,,0,0,314,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
