player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Khari Coleman,123067,LB,OLE MISS,13,5,4.2,0,0,226,34.6,51.1,41.4,71.4,61.5,62.6,12.8,5,1,181,183,9.4,17,29
Jamoi Hodge,123081,LB,TCU,12,18,3.4,0,0,305,52.4,57.4,62.5,61.9,60.1,67.1,12.5,10,1,384,391,9.4,36,52
Keontae Jenkins,123083,CB,COAST CAR,7,1,,0,0,141,56.4,56.6,79.3,,57.9,83.2,0.0,0,2,43,44,0.0,0,0
Patrick Jenkins,123084,DI,TULANE,14,7,1.5,0,1,319,55.2,64.2,56.8,64.4,64.9,63.5,7.4,2,2,269,272,5.9,16,18
Jai'Onte' McMillan,123089,CB,TCU,7,0,,0,0,305,59.1,60.4,77.4,62.0,64.0,79.7,,0,1,26,26,0.0,0,0
Jahdae Barron,123105,S,TEXAS,14,6,5.0,0,0,311,69.6,71.5,87.5,63.1,76.5,70.1,12.0,3,1,213,218,2.8,6,16
Vernon Broughton,123107,DI,TEXAS,14,5,3.0,0,0,311,59.7,67.1,57.4,63.3,69.7,47.1,5.9,1,1,128,130,6.3,8,11
Alfred Collins,123110,DI,TEXAS,14,7,3.1,0,0,311,60.0,79.9,83.6,80.6,71.6,41.4,20.8,5,0,135,139,5.2,7,12
Kitan Crawford,123111,S,TEXAS,13,1,15.9,0,0,311,53.4,56.0,86.0,75.3,59.0,30.7,18.2,2,1,109,113,2.8,3,8
Prince Dorbah,123113,ED,ARIZONA ST,10,3,5.0,0,0,110,58.6,68.8,33.9,66.6,75.8,69.6,0.0,0,3,160,162,5.0,8,13
Jaylan Ford,123114,LB,TEXAS,14,20,3.3,0,0,311,50.0,67.2,85.8,62.8,80.2,70.1,6.9,5,0,286,291,11.2,32,47
Tannahill Love,123122,LB,TEXAS,2,0,10.0,0,0,311,,53.1,67.2,,55.1,73.2,0.0,0,0,3,3,0.0,0,1
Jerrin Thompson,123128,S,TEXAS,14,8,6.4,0,0,311,77.1,73.1,42.5,68.3,61.1,37.2,28.6,8,1,212,215,2.4,5,12
Philip Blidi,123132,DI,INDIANA,12,10,1.9,0,0,190,64.2,72.5,65.8,69.5,70.8,64.1,13.8,4,2,234,237,3.8,9,15
Trent Low,123146,LB,TEXAS TECH,1,2,3.0,0,0,315,60.2,63.7,71.6,69.7,56.5,78.6,0.0,0,0,8,8,0.0,0,1
Kobee Minor,123148,CB,INDIANA,11,4,3.9,0,0,190,65.0,69.1,84.8,64.5,80.6,54.8,22.2,4,2,266,273,2.6,7,10
Bryce Ramirez,123156,LB,TEXAS TECH,11,7,4.1,0,0,315,57.8,61.2,40.3,61.9,64.5,41.3,14.3,3,1,134,136,3.0,4,11
Cameron Watts,123160,CB,TEXAS TECH,3,0,10.0,0,0,315,71.1,67.1,74.0,,53.6,77.0,0.0,0,0,18,18,5.6,1,2
Angelo Anderson,123208,ED,TULANE,11,5,2.1,0,0,319,,64.1,47.0,55.9,70.9,81.5,0.0,0,1,111,113,5.4,6,10
Brandon Brown,123212,DI,UTSA,13,3,1.2,0,0,331,60.2,70.1,85.5,66.0,68.8,48.9,13.6,3,0,159,160,9.4,15,16
Adonis Friloux,123216,DI,TULANE,5,3,4.2,0,0,319,65.1,72.4,82.5,62.8,71.9,78.6,0.0,0,0,55,57,9.1,5,6
Kevaris Hall,123218,S,SMU,3,0,,0,0,287,61.1,62.5,75.9,,64.4,77.0,,0,0,27,28,0.0,0,0
Shi'Keem Laister,123221,LB,TULANE,3,0,,0,0,319,57.5,55.7,77.9,55.1,57.4,,,0,0,12,12,0.0,0,0
Jesus Machado,123224,LB,TULANE,14,15,4.6,0,0,319,53.4,73.3,85.6,68.3,86.8,88.8,3.3,2,0,261,265,8.8,23,43
Reggie Neely,123227,CB,S ALABAMA,7,0,8.0,0,0,288,47.2,50.9,76.9,,67.1,48.0,0.0,0,0,29,31,0.0,0,1
Rishi Rattan,123230,CB,TULANE,1,0,,0,0,319,65.2,65.7,71.9,,60.2,,,0,0,3,3,0.0,0,0
Noah Taliancich,123235,DI,TULANE,6,0,4.0,0,0,319,60.0,56.3,75.5,56.8,63.2,20.6,50.0,2,0,26,26,0.0,0,2
Sean O'Keefe,123257,S,TULSA,5,0,8.0,0,0,320,57.7,59.3,74.0,,61.4,48.6,25.0,1,0,16,16,6.3,1,3
Everitt Rogers,123261,DI,TULSA,12,8,2.1,0,0,320,,61.4,52.8,58.0,64.1,66.6,10.7,3,3,238,243,5.5,13,17
Mac Harris,123285,LB,USF,12,4,1.6,0,0,327,69.7,65.4,83.4,63.5,57.8,48.3,22.6,7,0,158,159,10.1,16,20
