player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
JR Pace,10116,S,NWESTERN,9,4,8.3,1,0,256,71.1,69.7,90.1,61.5,62.5,45.3,22.2,8,2,237,240,4.6,11,24
Jaylan Foster,13095,S,S CAROLINA,6,5,8.3,0,0,289,52.0,55.2,83.1,68.1,58.3,79.6,11.5,3,1,188,190,3.2,6,18
Joshua McMillon,13920,LB,ALABAMA,6,2,1.0,0,0,103,79.5,81.8,77.3,54.4,76.4,65.1,11.1,1,0,27,27,14.8,4,6
Devin Taylor,22317,S,VA TECH,10,0,8.7,0,0,337,62.3,56.1,85.8,52.0,42.6,67.7,20.0,6,0,244,248,3.7,9,24
Cortez Davis,22974,CB,HAWAII,8,3,9.7,0,1,180,64.6,63.1,87.5,89.8,43.5,46.4,16.0,4,2,267,270,2.2,6,18
Dru Prox,23093,LB,KANSAS,3,5,3.6,0,0,198,52.9,60.0,78.8,79.6,56.5,60.2,16.7,3,0,75,78,6.7,5,10
Mikel Horton,23509,DI,CHARLOTTE,4,0,3.3,0,0,136,60.0,61.6,0.0,67.7,62.0,59.0,14.3,1,2,74,76,5.4,4,6
Kingsley Onyirioha,23639,DI,TEXAS ST,5,1,2.8,0,0,314,60.0,58.4,78.7,58.7,57.0,59.6,16.7,1,0,64,67,4.7,3,4
Darren Evans,24171,CB,LSU,5,1,10.0,0,0,211,35.8,36.7,77.5,60.0,53.6,61.6,0.0,0,0,26,27,0.0,0,1
Alvinoski LaFleur,24504,CB,E MICHIGAN,6,9,6.1,0,1,160,66.6,62.7,84.6,51.5,58.0,66.1,17.9,5,0,229,234,3.5,8,14
Luc Bequette,25776,DI,BOSTON COL,11,3,2.9,0,2,121,60.9,58.2,63.0,56.9,58.8,64.2,13.3,2,1,206,209,3.4,7,10
