player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Tyler Bride,122432,S,JVILLE ST,1,0,0,196,60.0,0,1,1,16.7,0.0,0,0,50.0,0,6,1,1,0,,0,0,0,0.0,,0,,0,1,0,0
Marques Watson-Trent,122461,LB,NEBRASKA,12,0,0,238,61.2,0,2,18,16.4,16.7,3,0,11.1,1,128,21,3,0,53.8,0,2,4,16.7,25.0,1,25.0,0,30,5,2
Jason Moore,122491,DI,GA TECH,13,2,0,176,75.8,1,13,177,100.0,10.7,19,0,4.5,1,187,187,15,1,69.9,0,6,55,100.0,10.9,6,7.3,1,63,63,7
Akelo Stone,122499,DI,GA TECH,9,0,0,176,71.9,0,10,148,100.0,10.8,16,1,6.1,4,153,153,14,0,71.1,0,6,50,100.0,20.0,10,10.0,2,52,52,8
Kenean Caldwell,122551,DI,KANSAS,12,0,0,198,56.5,0,3,132,100.0,1.5,2,1,1.9,1,135,135,4,0,57.7,0,2,39,100.0,2.6,1,2.6,0,40,40,2
Karon Prunty,122574,CB,WAKE,13,0,0,339,68.2,1,1,5,1.1,0.0,0,5,40.0,1,464,5,3,0,71.5,1,1,3,1.8,0.0,0,66.7,1,171,3,3
Tee Denson,122591,S,JVILLE ST,2,0,0,196,60.0,0,0,1,7.1,0.0,0,0,0.0,0,14,1,0,0,,0,0,0,0.0,,0,,0,1,0,0
Cody Stufflebean,122619,ED,KANSAS ST,12,0,0,199,61.2,4,9,292,99.4,6.2,18,0,3.6,4,310,308,17,0,60.4,3,5,130,99.3,6.9,9,5.4,3,138,137,11
Courtline Flowers,122635,CB,LA LAFAYET,12,1,0,207,76.9,0,2,5,1.4,0.0,0,1,40.0,1,362,5,3,0,,0,0,0,0.0,,0,,0,98,0,0
Caleb Kibodi,122645,LB,LA LAFAYET,8,0,0,207,67.4,0,2,10,25.6,0.0,0,0,20.0,1,43,11,3,0,70.0,0,0,1,7.7,0.0,0,100.0,1,13,1,1
Jordan Lawson,122647,ED,LA LAFAYET,13,2,0,207,80.7,5,25,270,93.1,17.4,47,3,7.4,5,303,282,35,0,80.7,3,11,83,91.5,28.9,24,10.8,2,94,86,16
Dominique Ratcliff,122655,DI,INDIANA,16,0,0,190,58.7,1,12,172,99.4,4.7,8,0,4.9,2,175,174,15,0,58.5,1,7,65,98.5,6.2,4,7.7,1,66,65,9
Tyree Skipper,122660,S,LA LAFAYET,11,0,0,207,65.3,0,1,9,3.3,11.1,1,1,16.7,1,271,9,2,0,68.0,0,0,2,2.6,0.0,0,50.0,1,78,2,1
Korian Wilson,122662,CB,LA MONROE,2,0,0,209,60.0,0,0,1,2.0,0.0,0,0,0.0,0,51,1,0,0,,0,0,0,0.0,,0,,0,13,0,0
Ben Bell,122665,ED,VA TECH,12,0,0,337,83.8,11,18,216,80.1,18.1,39,8,8.1,3,291,233,32,0,84.8,4,11,82,83.0,28.0,23,11.6,2,106,88,17
Kershawn Fisher,122670,ED,W MICHIGAN,14,2,0,347,63.9,2,16,259,85.3,8.1,21,3,5.0,4,327,279,22,0,63.4,1,10,122,90.4,10.7,13,7.0,3,146,132,14
Keveion'ta Spears,122687,DI,SMU,13,4,0,287,64.1,2,4,171,100.0,4.7,8,2,2.3,1,183,183,7,2,65.2,1,2,51,100.0,7.8,4,4.9,1,54,54,4
Cedric Woods,122690,CB,LA TECH,11,0,1,208,62.5,1,0,5,1.6,0.0,0,5,10.0,0,310,5,1,0,64.7,1,0,3,3.3,0.0,0,16.7,0,91,3,1
Henry Bryant,122696,DI,GA STATE,11,0,0,175,68.7,2,7,168,98.9,8.3,14,0,3.3,1,183,181,10,0,68.5,0,5,46,100.0,15.2,7,7.6,1,51,51,6
Jared Dawson,122703,DI,NOTRE DAME,11,1,0,258,75.2,5,16,171,100.0,11.7,20,1,6.7,1,182,182,22,1,73.7,3,9,70,100.0,15.7,11,8.6,0,77,77,12
Mason Reiger,122721,ED,WISCONSIN,12,0,0,349,83.0,7,32,283,94.2,15.9,45,1,9.0,6,310,292,45,0,79.1,4,18,113,91.5,23.0,26,13.3,4,129,118,26
Tahj Chambers,122740,LB,OLE MISS,14,1,0,226,56.8,2,7,25,11.8,4.0,1,2,18.0,0,211,25,9,0,66.3,0,5,8,18.2,12.5,1,31.3,0,44,8,5
Kedrick Bingley-Jones,122821,DI,MISS STATE,13,1,0,227,61.2,0,8,158,100.0,7.0,11,0,2.5,0,171,171,8,0,64.6,0,5,37,100.0,16.2,6,6.8,0,40,40,5
Jalen Brooks,122823,LB,MO STATE,11,0,0,230,63.8,1,3,16,9.5,6.3,1,1,12.5,0,179,17,4,0,66.2,0,1,7,17.8,0.0,0,7.1,0,45,8,1
