player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Ty Cooper,146856,ED,TULSA,12,1,0,320,63.7,1,6,166,91.5,7.8,13,1,3.9,3,188,172,10,0,66.8,0,4,52,96.6,15.4,8,7.7,2,58,56,6
Eldric Griffin,146859,S,LIBERTY,11,0,0,206,56.6,0,0,4,4.8,0.0,0,0,0.0,0,105,5,0,0,59.4,0,0,0,2.2,,0,,0,45,1,0
Deonte Anderson,146861,ED,MISS STATE,12,0,0,227,58.1,1,7,106,99.1,7.5,8,2,4.7,1,111,110,9,0,61.4,0,3,22,95.7,9.1,2,6.8,0,23,22,3
Dameon Wilson,146884,LB,E CAROLINA,12,0,0,156,54.1,2,9,56,19.1,7.1,4,2,11.6,1,304,58,12,0,62.1,0,4,17,21.3,17.6,3,17.6,1,80,17,5
Daylan Carnell,146885,CB,MISSOURI,13,0,0,229,53.1,0,2,18,5.2,5.6,1,1,5.6,0,344,18,2,0,48.8,0,1,4,3.0,0.0,0,12.5,0,132,4,1
Travion Ford,146886,DI,TOLEDO,5,0,0,316,51.6,0,2,37,100.0,0.0,0,0,2.7,0,38,38,2,0,54.5,0,1,14,100.0,0.0,0,3.6,0,14,14,1
Zachary Lovett,146889,LB,IOWA STATE,10,0,0,193,57.7,0,1,13,21.7,0.0,0,0,3.8,0,60,13,1,0,54.9,0,0,5,100.0,0.0,0,0.0,0,5,5,0
Darius Jackson,146892,S,TEXAS ST,7,0,0,314,59.6,0,0,3,12.5,0.0,0,1,0.0,0,24,3,0,0,,0,0,0,0.0,,0,,0,6,0,0
Arden Walker,146893,ED,COLORADO,11,1,0,143,72.1,5,18,213,96.6,14.6,31,2,7.3,4,238,230,27,0,77.1,4,9,82,97.8,28.0,23,10.4,2,93,91,15
Jon Jones,146895,ED,UTSA,13,3,0,331,69.0,1,11,144,100.0,6.9,10,0,5.6,2,152,152,14,0,67.7,1,4,40,100.0,10.0,4,8.8,1,43,43,6
Kolbe Fields,146919,LB,LA TECH,5,0,0,208,57.1,2,4,43,24.7,4.7,2,0,9.3,1,186,46,7,0,58.9,0,2,22,70.6,4.5,1,9.1,1,34,24,3
Ronnie Porter,146922,LB,APP STATE,5,0,0,108,64.5,0,1,5,10.6,0.0,0,0,10.0,0,47,5,1,0,59.7,0,0,1,5.9,0.0,0,0.0,0,17,1,0
Nick Barrett,146926,DI,S CAROLINA,12,1,0,289,60.1,1,6,233,98.8,4.3,10,0,2.4,2,253,250,9,1,62.7,0,4,72,98.7,6.9,5,4.2,1,79,78,5
Christian Charles,146944,S,VIRGINIA,13,0,0,335,72.8,3,0,11,5.0,9.1,1,0,13.6,0,221,11,3,0,82.1,3,0,5,4.6,20.0,1,30.0,0,109,5,3
De'Shawn Rucker,146945,CB,USF,13,0,1,327,59.5,0,0,3,0.7,0.0,0,6,0.0,0,407,3,0,0,,0,0,0,0.0,,0,,0,143,0,0
Amari McNeill,146950,DI,COLORADO,9,0,0,143,73.0,0,10,149,100.0,10.7,16,1,4.0,1,162,162,11,0,79.4,0,7,60,100.0,18.3,11,7.5,1,68,68,8
John Howse IV,146966,S,MIDDLE TN,4,0,0,224,76.6,1,0,3,2.8,0.0,0,0,50.0,1,106,3,2,0,69.0,1,0,2,4.8,0.0,0,25.0,0,42,2,1
Miles Capers,146967,ED,VANDERBILT,13,2,0,333,68.4,2,27,249,82.7,11.2,28,3,7.4,4,318,263,33,0,73.9,1,16,106,84.4,17.9,19,10.8,3,135,114,20
Marlen Sewell,146968,S,VANDERBILT,13,0,0,333,67.8,0,0,6,1.9,0.0,0,1,16.7,1,316,6,1,0,73.0,0,0,2,1.8,0.0,0,50.0,1,110,2,1
James Ziglor,146970,CB,KENNESAW,6,0,0,200,57.7,0,0,1,21.4,0.0,0,0,0.0,0,14,3,0,0,,0,0,0,0.0,,0,,0,3,0,0
Devin Lee,146975,DI,USF,13,0,0,327,64.0,1,9,217,99.2,6.0,13,3,2.8,1,236,234,11,0,69.4,0,5,50,98.2,16.0,8,5.0,0,56,55,5
Marcus Bradley,146977,ED,ARK STATE,8,0,0,113,56.2,0,0,32,73.9,0.0,0,0,3.1,1,46,34,1,0,53.1,0,0,12,92.9,0.0,0,0.0,0,14,13,0
Tunmise Adeleye,146982,ED,UNLV,13,2,2,325,77.9,3,28,295,98.2,13.9,41,9,6.9,5,325,319,36,0,76.8,1,13,92,99.0,20.7,19,9.8,2,104,103,16
Marcus Burris Jr.,146987,ED,MEMPHIS,9,0,0,218,55.7,0,1,39,97.5,5.1,2,0,1.3,0,40,39,1,0,58.2,0,1,11,91.7,9.1,1,4.5,0,12,11,1
Tyreek Chappell,146989,CB,TEXAS A&M,13,1,0,312,75.2,0,2,10,2.9,0.0,0,3,20.0,1,347,10,3,0,57.9,0,1,2,1.4,0.0,0,25.0,0,139,2,1
Jardin Gilbert,146997,S,LSU,5,0,0,211,61.1,0,3,8,13.8,0.0,0,0,31.3,1,65,9,4,0,56.7,0,0,2,11.1,0.0,0,0.0,0,18,2,0
Deuce Harmon,146998,CB,SMU,13,0,0,287,55.2,1,1,9,2.2,11.1,1,2,11.1,0,495,11,2,0,55.7,0,0,3,2.0,0.0,0,0.0,0,196,4,0
Elijah Jeudy,147001,DI,NEBRASKA,13,0,1,238,57.6,1,9,197,97.2,5.6,11,4,3.0,1,214,208,11,0,61.1,1,8,83,98.9,10.8,9,5.4,0,88,87,9
Albert Regis,147009,DI,TEXAS A&M,13,2,0,312,58.0,0,12,238,100.0,4.2,10,3,2.9,1,257,257,13,2,64.1,0,6,80,100.0,6.3,5,5.0,1,89,89,7
Jordan Favors,147032,LB,APP STATE,10,0,0,108,71.2,0,2,9,5.8,22.2,2,2,11.1,0,156,9,2,0,78.3,0,2,2,4.4,100.0,2,50.0,0,45,2,2
Deshawn McKnight,147037,DI,ARIZONA,13,0,0,109,64.4,2,10,210,96.9,9.5,20,0,3.8,2,227,220,14,0,69.4,1,7,66,98.5,16.7,11,7.6,1,68,67,9
Kyle Arnholt,147038,LB,APP STATE,13,0,0,108,54.2,1,4,22,8.5,0.0,0,0,15.9,1,282,24,6,0,51.8,0,1,6,8.8,0.0,0,8.3,0,80,7,1
Dennard Flowers,147062,ED,USF,11,0,1,327,74.6,0,18,224,98.4,13.4,30,3,4.9,2,243,239,20,0,68.2,0,10,77,97.7,13.0,10,6.5,0,86,84,10
Ethan Hassler,147070,ED,ARK STATE,13,1,0,113,69.1,4,23,264,84.4,8.7,23,1,7.8,7,327,276,34,0,76.8,2,9,76,89.8,14.5,11,12.5,4,88,79,15
Tim Hardiman,147074,DI,TULSA,12,0,1,320,74.9,4,9,218,100.0,12.4,27,2,3.0,0,230,230,13,0,69.4,1,6,79,100.0,16.5,13,4.4,0,85,85,7
Dre Pinckney,147095,S,COAST CAR,13,0,0,141,56.2,0,0,6,4.3,0.0,0,0,0.0,0,163,7,0,0,59.4,0,0,0,3.6,,0,,0,28,1,0
Joah Cash,147099,ED,TULSA,3,0,0,320,60.4,0,1,8,100.0,12.5,1,0,6.3,0,9,9,1,0,56.2,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Travis Nesbitt,147103,ED,COAST CAR,13,0,0,141,58.3,2,4,91,100.0,4.4,4,0,3.3,0,99,99,6,0,53.7,0,1,9,100.0,0.0,0,5.6,0,11,11,1
Isaac Walker,147125,ED,JVILLE ST,13,0,0,196,69.4,4,16,145,58.6,12.4,18,0,9.0,3,266,156,23,0,65.7,3,8,56,74.4,16.1,9,11.6,1,86,64,12
Justin Meyers,147126,S,GA SOUTHRN,13,0,0,174,53.5,1,3,19,5.6,10.5,2,2,10.5,0,356,20,4,0,52.7,0,2,6,6.5,16.7,1,16.7,0,93,6,2
Davion Rhodes,147130,ED,GA SOUTHRN,13,2,1,174,60.3,2,10,223,97.6,5.4,12,1,2.7,0,246,240,12,0,60.7,1,2,38,97.8,13.2,5,3.9,0,45,44,3
Terrence Williams,147144,LB,LA LAFAYET,13,0,0,207,46.0,1,3,63,18.2,3.2,2,2,3.2,0,363,66,4,0,48.3,1,3,19,18.0,10.5,2,10.5,0,111,20,4
Jalen Clark,147161,S,LA LAFAYET,13,1,0,207,60.2,0,3,15,5.0,6.7,1,0,10.0,0,298,15,3,0,46.4,0,1,3,3.1,0.0,0,16.7,0,98,3,1
Cameron Whitfield,147164,ED,LA LAFAYET,13,0,0,207,62.5,1,12,213,89.7,7.0,15,2,4.0,2,252,226,15,0,66.9,0,8,63,85.9,15.9,10,7.9,1,78,67,9
Jake St. Andre,147166,LB,LA LAFAYET,13,0,0,207,67.4,1,2,16,12.5,18.8,3,1,15.6,1,128,16,4,0,76.6,0,1,3,11.5,66.7,2,50.0,1,26,3,2
Justin Agu,147169,CB,LOUISVILLE,9,0,0,210,52.2,0,0,3,5.8,0.0,0,1,0.0,0,52,3,0,0,,0,0,0,0.0,,0,,0,29,0,0
Dalton Hughes,147217,LB,S ALABAMA,11,0,0,288,70.6,1,4,19,15.9,15.8,3,0,18.4,1,132,21,6,0,65.8,1,2,6,13.6,16.7,1,25.0,0,44,6,3
Ed Smith IV,147218,DI,S ALABAMA,12,0,0,288,61.9,2,18,206,100.0,7.3,15,2,4.9,0,220,220,20,0,60.1,1,10,78,100.0,9.0,7,7.1,0,83,83,11
Cole Daniels,147220,DI,DOMINION,11,1,0,263,59.9,0,1,95,100.0,2.1,2,1,1.6,1,97,97,2,1,66.6,0,0,14,100.0,0.0,0,7.1,1,14,14,1
Damien Taylor,147252,HB,OLE MISS,1,0,0,226,60.0,0,0,1,100.0,0.0,0,0,0.0,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Phillip Lee,147269,ED,ARKANSAS,10,0,1,111,67.1,2,11,137,83.1,9.5,13,2,6.9,3,178,148,16,0,73.1,2,6,56,84.5,16.1,9,12.5,3,71,60,11
Jordan Stringer,147271,LB,TROY,14,0,1,318,64.3,3,10,60,16.7,13.3,8,3,15.8,3,390,65,16,0,66.5,1,3,19,17.2,21.1,4,15.8,1,122,21,5
Julian Peterson,147274,DI,TROY,14,1,0,318,61.8,1,8,180,99.0,3.9,7,2,4.2,3,198,196,12,1,68.2,1,3,56,97.0,3.6,2,7.1,2,66,64,6
Tylon Dunlap,147285,DI,KENNESAW,13,2,0,200,73.6,2,22,285,100.0,9.8,28,2,6.3,6,315,315,30,0,80.5,1,16,105,100.0,18.1,19,13.8,6,115,115,23
Fuches Lewis II,147291,DI,GA STATE,12,1,0,175,61.4,1,1,201,100.0,4.0,8,0,1.0,1,215,215,3,1,63.0,0,1,47,100.0,8.5,4,3.2,1,54,54,2
Malcolm Bell,147394,CB,MICH STATE,12,0,0,223,64.5,0,3,15,4.3,0.0,0,5,23.3,2,400,17,5,0,60.1,0,1,9,6.8,0.0,0,16.7,1,147,10,2
Alfred Chea,147399,LB,BALL ST,12,0,0,117,60.1,0,1,27,10.2,11.1,3,0,1.9,0,284,29,1,0,65.0,0,1,8,11.0,25.0,2,6.3,0,82,9,1
Langston Hardy,147407,ED,WAKE,13,0,0,339,72.6,9,21,292,77.6,12.7,37,1,7.9,8,397,308,38,0,79.4,6,14,118,79.4,22.9,27,14.4,7,160,127,27
Pryce Yates,147408,ED,N CAROLINA,1,0,0,245,63.8,0,1,10,66.7,20.0,2,0,5.0,0,18,12,1,0,60.2,0,0,8,90.0,12.5,1,0.0,0,10,9,0
Louce Julien,147436,ED,TOLEDO,13,0,0,316,62.6,3,15,177,94.5,8.5,15,2,5.6,1,199,188,19,0,64.6,2,7,58,95.4,15.5,9,7.8,0,65,62,9
Aquan Robinson,147440,ED,UMASS,10,0,0,216,57.5,2,3,85,100.0,5.9,5,2,2.9,0,93,93,5,0,59.0,0,2,19,100.0,10.5,2,5.3,0,20,20,2
Lorenzo Styles Jr.,147474,S,OHIO STATE,12,0,0,260,65.1,0,1,10,4.1,20.0,2,1,5.0,0,242,10,1,0,63.0,0,1,3,3.5,33.3,1,16.7,0,86,3,1
JoJo Johnson,147488,CB,BOWL GREEN,10,0,0,122,55.9,0,0,3,1.7,0.0,0,1,0.0,0,173,3,0,0,,0,0,0,0.0,,0,,0,59,0,0
Prince Kollie,147492,LB,VANDERBILT,5,0,0,333,52.3,1,1,12,18.6,0.0,0,0,8.3,0,70,13,2,0,55.2,1,1,3,11.5,0.0,0,33.3,0,26,3,2
Kahanu Kia,147494,LB,NOTRE DAME,3,0,0,258,63.4,0,0,3,35.7,33.3,1,1,0.0,0,14,5,0,0,59.9,0,0,1,33.3,0.0,0,0.0,0,3,1,0
Jason Onye,147496,DI,NOTRE DAME,12,1,0,258,78.3,1,15,166,100.0,10.8,18,2,5.4,1,183,183,17,1,81.3,1,9,67,100.0,14.9,10,7.5,0,78,78,10
Gabriel Rubio,147499,DI,NOTRE DAME,6,1,0,258,60.7,0,5,80,100.0,3.8,3,0,4.4,1,85,85,6,1,66.3,0,4,35,100.0,8.6,3,8.6,1,39,39,5
Joshua Singh,147531,DI,VANDERBILT,12,1,0,333,67.2,1,7,192,99.5,6.8,13,3,2.6,1,204,203,9,1,67.5,1,3,54,100.0,9.3,5,5.6,1,60,60,5
Chris Boti,147540,DI,ARK STATE,13,1,0,113,62.1,1,8,217,100.0,6.0,13,0,3.5,3,229,229,12,0,66.8,0,7,68,100.0,13.2,9,9.6,3,73,73,10
Joseph Carter,147544,LB,LIBERTY,7,0,0,206,61.4,2,5,27,14.9,7.4,2,0,13.0,0,194,29,7,0,81.6,1,2,5,13.0,40.0,2,30.0,0,54,7,3
Khristian Zachary,147556,DI,BALL ST,3,0,0,117,64.5,0,4,35,100.0,11.4,4,0,5.7,0,35,35,4,0,59.4,0,1,13,100.0,7.7,1,3.8,0,13,13,1
Deshawn Lynch,147813,ED,WASHINGTON,11,7,0,340,63.7,0,11,176,86.5,8.0,14,1,3.1,0,223,193,11,2,62.6,0,7,73,84.2,11.0,8,4.8,0,95,80,7
Dylan Flowers,147839,CB,W KENTUCKY,13,0,0,346,59.2,0,0,1,0.5,0.0,0,4,0.0,0,219,1,0,0,,0,0,0,0.0,,0,,0,65,0,0
Jalon Rock,147859,CB,LIBERTY,4,0,0,206,60.0,0,0,0,2.8,,0,0,,0,36,1,0,0,,0,0,0,0.0,,0,,0,13,0,0
Jack Kelly,147861,LB,BYU,12,0,0,128,77.7,6,14,96,25.6,11.5,11,0,19.8,9,386,99,29,0,85.7,2,9,48,40.3,14.6,7,26.0,7,119,48,18
Kaufusi Pakofe,147863,DI,BYU,2,0,0,128,57.7,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,59.0,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Garland Benyard,147970,LB,KENNESAW,7,0,0,200,63.0,2,2,21,13.1,9.5,2,1,14.3,1,175,23,5,0,72.7,1,2,9,17.6,22.2,2,27.8,1,51,9,4
Chance Gamble,147978,CB,GA SOUTHRN,4,0,0,174,48.8,0,0,3,3.0,0.0,0,0,0.0,0,100,3,0,0,58.3,0,0,1,4.5,0.0,0,0.0,0,22,1,0
Adam Watkins,147984,DI,KENNESAW,14,0,0,200,58.7,2,5,207,100.0,3.9,8,1,1.7,0,230,230,7,0,52.1,1,2,45,100.0,2.2,1,3.3,0,49,49,3
Maddix Blackwell,148092,S,C MICHIGAN,13,0,0,134,60.0,0,0,1,0.5,0.0,0,1,0.0,0,208,1,0,0,,0,0,0,0.0,,0,,0,69,0,0
Lemondre Joe,148119,CB,COLO STATE,12,0,1,144,77.0,3,2,23,6.3,8.7,2,6,28.3,4,368,23,9,0,80.8,1,1,7,5.6,14.3,1,57.1,3,124,7,5
Udoka Ezeani,148120,ED,UTEP,12,0,1,330,68.9,4,17,205,67.3,9.3,19,6,7.6,5,318,214,26,0,67.3,3,7,68,81.8,13.2,9,11.8,3,88,72,13
Caleb Dietlin,148122,ED,MO STATE,13,1,0,230,71.6,4,15,200,92.3,12.5,25,2,6.8,4,233,215,23,1,74.6,2,7,68,91.0,20.6,14,12.5,4,78,71,13
Sterling Smithson,148124,DI,MO STATE,13,0,0,230,57.9,0,7,196,100.0,4.1,8,2,1.8,0,211,211,7,0,59.9,0,4,57,100.0,8.8,5,3.5,0,59,59,4
Enock Sibomana,148168,LB,WYOMING,10,0,0,351,50.2,1,2,19,21.1,0.0,0,0,7.9,0,90,19,3,0,50.8,0,0,9,50.0,0.0,0,0.0,0,18,9,0
Kody Huisman,148174,DI,VA TECH,12,1,0,337,83.8,6,13,204,99.1,14.2,29,2,4.7,0,213,211,19,1,78.7,4,4,66,98.6,15.2,10,6.1,0,71,70,8
Carter Hewitt,148189,DI,ILLINOIS,4,0,0,187,58.8,0,4,20,100.0,5.0,1,0,10.0,0,20,20,4,0,62.9,0,1,8,100.0,12.5,1,6.3,0,8,8,1
Earl Miller Jr.,148219,DI,FAU,8,0,0,165,65.1,1,0,38,100.0,7.9,3,0,3.9,1,43,43,2,0,61.3,0,0,9,100.0,11.1,1,0.0,0,11,11,0
Matthew Durrance,148240,S,WASH STATE,13,0,0,341,60.0,0,0,1,0.4,0.0,0,1,0.0,0,257,1,0,0,,0,0,0,0.0,,0,,0,92,0,0
Tucker Large,148243,S,WASH STATE,13,0,0,341,58.6,0,0,1,0.3,0.0,0,3,0.0,0,357,1,0,0,58.6,0,0,1,0.6,0.0,0,0.0,0,156,1,0
Caleb Curtain,148341,S,CHARLOTTE,11,0,0,136,84.0,1,0,4,1.8,50.0,2,0,12.5,0,219,4,1,0,60.0,1,0,1,2.1,100.0,1,50.0,0,47,1,1
Brandon Fique,148353,LB,JAMES MAD,5,0,0,197,59.6,0,0,2,16.7,0.0,0,0,0.0,0,12,2,0,0,60.0,0,0,1,16.7,0.0,0,0.0,0,6,1,0
Kye Holmes,148357,S,JAMES MAD,3,0,0,197,58.3,0,0,2,18.2,0.0,0,0,0.0,0,11,2,0,0,,0,0,0,0.0,,0,,0,4,0,0
Shymell Davis,148384,DI,UMASS,11,0,0,216,67.5,1,3,153,99.4,5.2,8,1,1.3,0,162,161,4,0,73.3,1,1,30,97.1,13.3,4,3.3,0,34,33,2
Xavier Holmes,148387,ED,JAMES MAD,14,4,0,197,75.6,5,24,236,87.9,13.6,32,0,9.5,8,290,255,37,1,80.6,2,15,92,90.1,28.3,26,12.5,3,111,100,20
Carsen Stocklinski,148415,DI,HAWAII,13,0,0,180,55.8,0,4,135,100.0,2.2,3,4,2.2,1,141,141,5,0,58.6,0,2,33,100.0,3.0,1,6.1,1,35,35,3
Mason Woods,148468,LB,KENT STATE,12,2,0,201,61.1,2,10,64,20.9,7.8,5,0,14.1,3,330,69,15,1,61.9,2,6,34,28.7,11.8,4,14.7,1,129,37,9
Ayden Garnes,148570,CB,ARIZONA,13,1,0,109,65.0,1,1,10,2.8,10.0,1,2,10.0,0,355,10,2,0,68.4,1,0,3,2.7,33.3,1,16.7,0,113,3,1
Mike Bumpus,148670,DI,BOSTON COL,8,0,0,121,56.9,0,1,41,100.0,0.0,0,0,1.2,0,47,47,1,0,54.4,0,1,15,100.0,0.0,0,3.3,0,16,16,1
Hayden McDonald,148735,S,NEVADA,12,0,0,239,56.9,0,0,2,1.1,0.0,0,0,0.0,0,278,3,0,0,,0,0,0,0.0,,0,,0,93,0,0
Malin White,148771,ED,BUFFALO,12,0,0,126,67.8,3,19,300,90.8,11.3,34,0,5.0,4,346,314,26,0,70.0,0,13,121,89.0,17.4,21,7.9,3,146,130,16
Amon Williams,148785,DI,KENT STATE,11,0,1,201,66.1,0,9,112,100.0,6.3,7,1,4.9,1,117,117,10,0,57.6,0,4,32,100.0,6.3,2,6.3,0,35,35,4
Trey Harris,148808,S,SM HOUSTON,10,0,0,281,51.6,0,2,12,9.8,0.0,0,0,8.3,0,122,12,2,0,51.8,0,0,7,31.8,0.0,0,0.0,0,22,7,0
Braden Mullen,148849,ED,CHARLOTTE,12,1,0,136,63.3,0,6,175,87.3,8.0,14,0,2.3,1,204,178,7,1,68.0,0,3,40,84.0,12.5,5,6.3,1,50,42,4
Zachary Farris,148853,S,UMASS,8,0,0,216,53.0,0,0,3,5.8,0.0,0,0,0.0,0,69,4,0,0,57.8,0,0,0,14.3,,0,,0,7,1,0
Jordan Washington,148854,CB,STANFORD,8,0,1,300,55.4,0,0,2,2.2,0.0,0,1,0.0,0,92,2,0,0,59.1,0,0,1,3.3,0.0,0,0.0,0,30,1,0
Josiah Green,148866,DI,DUKE,14,3,0,154,71.0,11,8,265,100.0,7.2,19,2,5.1,4,281,281,23,0,66.2,5,5,85,100.0,9.4,8,8.2,2,92,92,12
Mitchell Gonser,148904,LB,BUFFALO,12,0,0,126,66.2,0,7,26,12.4,11.5,3,0,17.3,1,209,26,8,0,61.9,0,3,8,10.5,12.5,1,18.8,0,76,8,3
Gavin Shipman,148908,CB,CHARLOTTE,9,0,0,136,64.3,0,1,1,0.6,100.0,1,0,50.0,0,169,1,1,0,,0,0,0,0.0,,0,,0,39,0,0
Joshua Rudolph,149135,LB,UTEP,3,0,0,330,64.8,1,2,16,22.4,6.3,1,0,15.6,1,76,17,4,0,67.0,0,1,8,33.3,12.5,1,18.8,1,24,8,2
Marquis Cooper,149289,CB,BUFFALO,10,0,0,126,66.4,1,0,11,4.6,18.2,2,2,4.5,0,238,11,1,0,76.3,1,0,5,5.5,40.0,2,10.0,0,91,5,1
Andrew Taddeo,149293,DI,JAMES MAD,14,0,0,197,70.4,3,2,159,97.7,10.7,17,2,2.8,2,175,171,7,0,62.0,0,0,45,97.9,8.9,4,4.4,2,48,47,2
Kamren Watkins-Hunter,149345,CB,UMASS,4,0,0,216,60.0,0,0,1,1.0,0.0,0,0,0.0,0,97,1,0,0,,0,0,0,0.0,,0,,0,22,0,0
Curtis Harris-Lopez,149421,S,JAMES MAD,12,0,0,197,58.1,0,0,3,4.0,0.0,0,0,0.0,0,101,4,0,0,59.5,0,0,2,5.4,0.0,0,0.0,0,37,2,0
Jake Jarmolowich,149428,S,COLO STATE,12,1,1,144,68.2,2,2,26,8.1,15.4,4,2,11.5,1,320,26,5,0,53.9,0,0,6,5.9,0.0,0,0.0,0,102,6,0
Finn Claypool,149576,ED,FRESNO ST,13,0,1,169,83.7,15,29,272,92.8,17.6,48,1,10.7,7,307,285,51,0,90.0,10,17,117,96.9,26.5,31,15.8,5,131,127,32
IBK Mafe,149815,ED,S ALABAMA,11,0,0,288,61.0,0,3,38,71.2,10.5,4,0,6.6,1,59,42,4,0,63.8,0,0,9,90.9,22.2,2,0.0,0,11,10,0
Josh Battle,149841,S,SO MISS,9,0,0,296,69.0,0,0,3,2.2,33.3,1,1,33.3,1,134,3,1,0,59.7,0,0,1,2.4,0.0,0,0.0,0,41,1,0
Mustafi Al-Garawi,149883,DI,W MICHIGAN,14,0,0,347,66.8,4,6,199,100.0,6.0,12,3,2.5,0,222,222,10,0,63.9,2,3,74,100.0,6.8,5,3.4,0,84,84,5
Jamall Thompson Jr.,149959,ED,NEW MEX ST,12,0,0,242,74.7,5,19,228,76.7,10.5,24,0,7.5,5,313,240,29,0,83.1,3,9,76,72.7,21.1,16,11.8,3,110,80,15
Kobe Stewart,149961,ED,BUFFALO,12,3,0,126,72.8,10,20,312,96.2,9.3,29,2,5.8,3,340,327,33,1,69.5,6,11,126,95.1,11.9,15,8.3,2,142,135,19
Micah Davey,150093,LB,UTEP,12,0,0,330,58.8,3,8,59,18.3,8.5,5,3,11.0,1,356,65,12,0,64.7,1,4,18,22.9,22.2,4,19.4,1,83,19,6
Jake Golday,150178,LB,CINCINNATI,12,0,0,138,61.1,5,9,71,21.9,5.6,4,0,15.5,4,366,80,18,0,53.6,0,1,23,42.9,4.3,1,10.9,2,56,24,3
Kamren Washington,150283,DI,TEXAS ST,13,1,0,314,71.3,0,15,191,99.5,10.5,20,1,4.5,1,202,201,16,0,67.1,0,3,39,100.0,12.8,5,6.4,1,43,43,4
Matthew Aribisala,150287,DI,RICE,6,0,0,275,63.3,0,1,23,100.0,8.7,2,0,2.2,0,25,25,1,0,69.4,0,1,7,100.0,28.6,2,7.1,0,7,7,1
David Fisher,150294,CB,N TEXAS,13,0,1,251,80.5,1,1,2,0.6,0.0,0,2,50.0,0,323,2,2,0,,0,0,0,0.0,,0,,0,62,0,0
Caleb Weaver,150298,S,DUKE,14,0,0,154,75.3,2,1,14,3.4,21.4,3,3,25.0,2,438,15,5,0,73.1,1,1,6,4.0,33.3,2,16.7,0,151,6,2
Emon Allen,150299,CB,SM HOUSTON,12,0,0,281,52.5,0,0,4,1.0,0.0,0,3,0.0,0,385,4,0,0,53.8,0,0,2,2.9,0.0,0,0.0,0,68,2,0
Derek Carter Jr.,150315,S,W VIRGINIA,10,0,0,343,58.7,0,0,2,1.3,0.0,0,0,0.0,0,157,2,0,0,,0,0,0,0.0,,0,,0,49,0,0
Canden Grogan,150353,CB,TEXAS ST,9,0,1,314,54.1,0,2,3,1.8,0.0,0,3,33.3,0,167,3,2,0,58.2,0,1,1,2.3,0.0,0,50.0,0,44,1,1
Breylon Charles,150369,ED,PURDUE,5,0,0,273,61.8,0,1,25,92.9,4.0,1,1,6.0,1,28,26,2,0,62.6,0,0,8,88.9,0.0,0,12.5,1,9,8,1
Levontae Jacobs,150404,DI,LA MONROE,3,0,0,209,55.3,0,0,23,100.0,0.0,0,0,0.0,0,25,25,0,0,56.6,0,0,5,100.0,0.0,0,0.0,0,7,7,0
Pierre Royster,150423,S,UAB,7,0,0,321,56.2,1,0,6,5.0,0.0,0,0,8.3,0,121,6,1,0,57.8,1,0,3,6.1,0.0,0,16.7,0,49,3,1
Tyquan King,150571,LB,UCONN,7,1,0,146,77.5,3,2,38,36.7,15.8,6,1,14.5,3,109,40,8,0,82.3,3,2,21,53.7,28.6,6,21.4,2,41,22,7
Wrook Brown,150691,CB,HOUSTON,13,0,0,182,63.6,0,7,42,14.3,4.8,2,0,15.5,3,293,42,10,0,66.5,0,2,14,13.2,7.1,1,21.4,2,106,14,4
Andrew Johnson,150695,S,WYOMING,11,0,0,351,61.4,1,1,8,3.0,0.0,0,0,25.0,1,266,8,3,0,65.6,1,0,4,5.5,0.0,0,37.5,1,73,4,2
Tyce Westland,150707,ED,WYOMING,12,1,0,351,68.5,5,18,203,71.1,10.3,21,2,6.7,2,305,217,25,1,70.3,3,5,61,81.5,13.1,8,8.2,1,81,66,9
Eddie Walls III,150853,ED,HOUSTON,13,4,0,182,69.9,10,25,416,98.2,9.6,40,0,6.1,8,446,438,43,2,77.5,5,14,140,95.5,18.6,26,10.4,5,154,147,24
Ebenezer Dibula,150855,DI,KENNESAW,6,1,0,200,58.0,0,0,34,100.0,0.0,0,0,0.0,0,36,36,0,1,62.9,0,0,8,100.0,0.0,0,0.0,0,9,9,0
Jayden Loving,150856,DI,WAKE,13,1,0,339,57.8,3,18,248,100.0,6.0,15,3,5.0,2,261,261,23,0,56.1,0,13,76,100.0,10.5,8,9.9,1,83,83,14
Carl Nesmith,150869,LB,UTAH ST,2,0,0,329,65.3,0,3,11,68.8,18.2,2,0,13.6,0,16,11,3,0,57.4,0,2,3,75.0,33.3,1,33.3,0,4,3,2
Johnny Chaney Jr.,150871,LB,FIU,13,0,0,166,67.3,1,4,45,10.6,13.3,6,0,12.2,3,432,46,8,0,70.2,1,1,18,11.5,22.2,4,16.7,2,157,18,4
