Round,Pick,Player,Pos,School,Year,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,RAS,arm_length_inches
4,120,Jaylen Wright,RB,Tennessee,2024,70.5,210.0,4.38,38.0,,134.0,,,9.81,31.5
2,46,Jonathon Brooks,RB,Texas,2024,72.375,216.0,,,,,,,8.0,31.5
5,147,Audric Estime,RB,Notre Dame,2024,71.375,222.0,4.61,38.0,23.0,125.0,,,6.58,32.375
6,173,Isaiah Davis,RB,South Dakota State,2024,72.25,218.0,4.57,34.5,23.0,119.0,,,8.85,31.125
4,125,Bucky Irving,RB,Oregon,2024,69.0,192.0,4.55,29.5,,115.0,,,2.23,29.5
3,66,Trey Benson,RB,Florida State,2024,72.25,216.0,4.39,33.5,,122.0,,,9.76,31.5
6,181,Kimani Vidal,RB,Troy,2024,67.875,213.0,4.46,37.5,18.0,120.0,7.01,4.15,8.88,30.375
3,88,MarShawn Lloyd,RB,USC,2024,68.75,220.0,4.46,36.0,25.0,118.0,,,8.62,30.375
6,166,Tyrone Tracy Jr.,RB,Purdue,2024,71.125,209.0,4.48,40.0,,124.0,6.81,4.06,9.78,31.75
5,129,Isaac Guerendo,RB,Louisville,2024,72.0,221.0,4.33,41.5,,129.0,6.94,4.15,9.9,30.75
5,134,Braelon Allen,RB,Wisconsin,2024,73.25,235.0,,32.0,26.0,117.0,,,5.0,31.25
4,127,Will Shipley,RB,Clemson,2024,71.0,206.0,4.45,,,,,,9.58,30.25
4,128,Ray Davis,RB,Kentucky,2024,68.375,211.0,4.52,35.0,,119.0,,4.51,5.41,30.25
6,186,Jase McClellan,RB,Alabama,2024,70.375,221.0,,,20.0,,,,5.0,31.125
3,83,Blake Corum,RB,Michigan,2024,67.75,205.0,4.53,35.5,27.0,,6.82,4.12,8.28,28.875
7,208,Dylan Laube,RB,New Hampshire,2024,69.875,206.0,4.54,37.0,23.0,118.0,6.84,4.02,8.78,29.375
7,205,Jawhar Jordan,RB,Louisville,2024,69.5,193.0,4.56,,,,,,4.6,30.125
6,165,Rasheen Ali*,RB,Marshall,2024,71.25,206.0,,,,,,,5.0,31.25

