Round,Pick,Player,Pos,School,Year,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,RAS,arm_length_inches
1,6,Ashton Jeanty,RB,Boise State,2025,68.5,211.0,,,,,,,,29.25
1,22,Omarion Hampton,RB,North Carolina,2025,71.75,221.0,4.46,38.0,18.0,,,4.4,9.68,30.5
2,38,TreVeyon Henderson,RB,Ohio State,2025,70.125,202.0,4.43,38.5,,,,,8.82,30.625
2,36,Quinshon Judkins,RB,Ohio State,2025,71.625,221.0,4.48,38.5,,,,,9.87,30.25
3,83,Kaleb Johnson,RB,Iowa,2025,73.0,224.0,4.57,,,,,,,33.0
4,126,Dylan Sampson,RB,Tennessee,2025,68.125,200.0,,35.0,13.0,,,,,30.5
4,105,Cam Skattebo,RB,Arizona State,2025,69.5,219.0,4.65,39.5,17.0,,,,,29.75
6,184,Devin Neal,RB,Kansas,2025,71.125,213.0,4.58,37.5,,,,,7.85,29.5
2,60,RJ Harvey,RB,UCF,2025,68.0,205.0,4.4,38.0,16.0,,,4.34,8.4,29.0
7,223,Damien Martinez,RB,Miami,2025,71.625,217.0,4.51,35.0,,,,,9.36,30.5
5,151,DJ Giddens,RB,Kansas State,2025,72.25,212.0,4.43,39.5,,,,4.33,9.89,30.375
7,228,Brashard Smith,RB,SMU,2025,69.875,194.0,4.39,32.5,,,,,7.02,30.5
4,104,Bhayshul Tuten,RB,Virginia Tech,2025,69.25,206.0,4.32,40.5,,,,4.41,9.32,29.5
4,117,Jarquez Hunter,RB,Auburn,2025,69.375,204.0,4.44,33.5,21.0,,,,7.98,30.0
7,236,LeQuint Allen,RB,Syracuse,2025,72.125,204.0,,35.0,,,,,,32.0
4,114,Trevor Etienne,RB,Georgia,2025,68.75,198.0,4.42,35.0,15.0,,,,7.48,29.25
6,188,Kalel Mullings,RB,Michigan,2025,73.5,226.0,,,,,,,,31.625
5,149,Jaydon Blue,RB,Texas,2025,69.0,196.0,4.38,,,,,,,29.75
7,233,Kyle Monangai,RB,Rutgers,2025,68.25,211.0,4.6,34.5,,,,,4.94,38.625
4,116,Woody Marks,RB,USC,2025,70.125,207.0,4.54,35.0,18.0,,,4.24,7.19,29.125
6,193,Tahj Brooks,RB,Texas Tech,2025,69.25,214.0,4.52,35.0,16.0,,6.9,4.06,8.28,30.375
5,147,Jordan James,RB,Oregon,2025,69.5,205.0,4.55,,,,,,6.04,29.625
7,239,Phil Mafah,RB,Clemson,2025,72.625,234.0,,,,,,,,31.375
