rank,Player,School,Pos,Year,actual_round,actual_pick,predicted_round,Height,Weight,arm_length_inches,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,RAS,speed_score,explosive_score,agility_score,p4_conference,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,interceptions,pass_break_ups,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate,arm_33_plus,arm_34_plus,is_center,btt_rate,twp_rate,ypa,qb_rating,pressure_to_sack_rate,sack_percent,epa,positive_epa_percent,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,yards_after_contact,yco_attempt,elusive_rating,mtf_per_attempt,breakaway_percent,explosive_rate,targets_per_route,fumble_rate
11,Amarius Mims,GEORGIA,OT,2024,1,18,2.1623,79.75,340.0,36.12,5.07,25.5,111.0,,,,9.59,102.91462013473758,,-0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0238095238095238,0.0,42.0,129.0,68.4,0.31,0.581,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,J.J. McCarthy,Michigan,QB,2024,1,10,2.1965,74.5,219.0,36.8,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,2.9,9.0,116.6,16.8,5.1,0.36,55.1,15.0,,,,9.4,,,,,,,,,,,,,,,,,
13,Johnny Newton,Illinois,DT,2024,2,36,2.2138,74.0,304.0,32.375,4.95,,117.0,,,,,101.27046020105786,1.8265431323914936,,1.0,,,,,,,,,,7.4,,,,,,,23.4,15.4,402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Dallas Turner,Alabama,LB,2024,1,17,2.2884,76.0,244.0,34.38,4.46,40.5,125.0,,,,,123.33330999166198,2.8567971388072433,,1.0,0.2,0.0,91.0,23.8,14.3,0.0,0.0,,,4.2,14.3,5.5,264.0,0.0,0.0,0.0,32.5,19.6,292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Elijah Jones,Boston College,CB,2024,3,90,2.3162,73.5,185.0,,4.44,42.5,131.0,,,,8.96,95.20721110689455,3.57231315648217,,1.0,0.8,20.0,257.0,98.5,6.0,0.0194552529182879,0.0233463035019455,18.1,32.5,2.3,6.3,11.7,263.0,0.0,5.0,6.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,15.7,,,,,,,,,,,,,,,,,
16,Cooper DeJean,Iowa,CB,2024,2,40,2.3455,72.5,202.0,,4.44,,,,,,9.85,103.95598185725783,0.0,,1.0,0.5,13.0,388.0,100.0,8.1,0.0051546391752577,0.0103092783505154,37.8,43.5,1.6,11.8,5.3,317.0,0.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,,,,
17,Byron Murphy II,Texas,DT,2024,1,16,2.3628,72.0,306.0,32.375,4.87,33.0,112.0,,,,9.23,108.80167397710088,2.2948055385807766,,1.0,,,,,,,,,,9.5,,,,,,,30.1,19.6,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Taliese Fuaga,OREGON ST,OT,2024,1,14,2.3715,77.75,324.0,33.12,5.13,32.0,111.0,,,,9.63,93.56330309059788,,-0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0378787878787878,0.0,132.0,349.0,90.9,0.275,0.613,0.0041580041580041,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Jaylen Wright,Tennessee,RB,2024,4,120,2.4902,70.5,210.0,,4.38,38.0,134.0,,,,9.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,1.32,,,,,,,,41.0,,,,,592.0,4.35,126.7,0.3014705882352941,52.1,0.2573529411764705,0.2336448598130841,0.0063291139240506
20,Payton Wilson,NC State,LB,2024,3,98,2.605,75.0,233.0,30.5,4.43,34.5,119.0,,,,9.89,120.99599959907755,0.06439376069752842,,1.0,0.7,8.1,310.0,67.2,8.0,0.0096774193548387,0.0096774193548387,,,16.3,3.8,3.3,255.0,1.0,3.0,3.0,14.7,6.6,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Dallas Turner,Alabama,ED,2024,1,17,2.6243,74.0,247.0,34.38,4.47,40.5,127.0,,,,8.86,123.73622333604278,3.5792782075632834,,1.0,,,,,,,,,,4.2,,,,,,,32.5,19.6,292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Demeioun Robinson,Penn State,ED,2024,1,21,2.6644,75.0,254.0,,4.48,34.5,128.0,,,,9.72,126.11061868345867,1.9259980689887528,,1.0,,,,,,,,,,5.9,,,,,,,26.7,20.9,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Xavier Legette,South Carolina,WR,2024,1,32,2.6692,73.0,221.0,31.88,4.39,40.0,126.0,24.0,,,9.9,119.00472041972782,1.4559900090957556,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,3.15,17.7,73.2,13.8,126.3,47.6,2.7,6.4,8.0,34.0,64.6,0.0,95.9,,,,,,,,
24,Bralen Trice,Washington,ED,2024,3,74,2.6939,75.5,245.0,32.5,4.72,,,,,,7.46,98.72521438455125,0.0,,1.0,,,,,,,,,,6.3,,,,,,,29.2,17.6,534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Nate Wiggins,Clemson,CB,2024,1,30,2.7074,73.375,173.0,,4.28,36.0,127.0,,,,9.44,103.11005600329831,0.5255750679252492,,1.0,0.6,17.1,293.0,98.7,6.8,0.0068259385665529,0.0136518771331058,44.4,43.9,0.0,50.0,70.5,197.0,2.0,2.0,4.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,
26,Ladd McConkey,Georgia,WR,2024,2,34,2.7368,71.625,186.0,30.25,4.39,36.0,124.0,13.0,6.72,3.97,9.34,100.15781899578903,0.21473953169031096,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3.26,16.1,81.1,12.2,136.8,40.0,6.3,6.3,7.0,21.3,78.7,0.0,98.7,,,,,,,,
27,Troy Franklin,Oregon,WR,2024,4,102,2.7928,73.875,176.0,31.88,4.41,39.0,124.0,,6.9,4.31,9.02,93.06541227894448,1.1456773897443944,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,3.32,17.1,71.1,12.8,147.8,36.8,10.0,6.6,13.0,18.2,80.9,0.7,95.0,,,,,,,,
28,Xavier Worthy,Texas,WR,2024,1,28,2.8121,71.25,165.0,31.12,4.21,41.0,131.0,,,,9.41,105.04746017176966,1.7663026284471168,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2.14,13.5,63.0,10.3,93.6,23.8,6.3,7.6,12.0,39.9,59.9,0.0,96.3,,,,,,,,
29,Terrion Arnold,Alabama,CB,2024,1,24,2.8147,71.75,189.0,,4.5,37.0,129.0,,6.65,,9.27,92.18106995884774,1.241207388950683,,1.0,1.0,17.7,471.0,97.7,5.6,0.0106157112526539,0.0276008492569002,50.7,51.9,2.8,3.6,4.3,358.0,0.0,5.0,13.0,0.0,18.2,11.0,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,,,
30,Edefuan Ulofoshio,Washington,LB,2024,5,149,2.9061,72.0,236.0,32.88,4.56,39.5,125.0,,,,9.67,109.16480114012876,2.552486763945925,,1.0,0.5,8.6,326.0,89.8,8.7,0.0030674846625766,0.00920245398773,,,10.7,13.9,4.0,252.0,0.0,1.0,3.0,30.8,14.3,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Rome Odunze,Washington,WR,2024,1,9,2.9843,74.875,212.0,32.25,4.45,39.0,124.0,,6.88,4.03,9.92,108.12492336701838,1.1456773897443944,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,2.93,17.8,65.7,15.5,118.7,75.0,3.2,5.6,15.0,17.4,81.8,0.7,93.5,,,,,,,,
32,Kimani Vidal,Troy,RB,2024,6,181,2.9928,67.875,213.0,,4.46,37.5,120.0,18.0,7.01,4.15,8.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,0.81,,,,,,,,92.0,,,,,1056.0,3.58,115.5,0.311864406779661,37.6,0.159322033898305,0.089430894308943,0.0063897763578274
33,Quinyon Mitchell,Toledo,CB,2024,1,22,3.0155,72.125,195.0,,4.33,38.0,120.0,20.0,,,9.79,110.94635065662436,-0.0046705099341476375,,0.0,0.7,27.4,437.0,99.1,6.6,0.0022883295194508,0.0320366132723112,51.1,43.5,0.3,11.8,20.9,340.0,0.0,1.0,14.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,,,,,,,,,,,,,,
34,Michael Penix Jr.,Washington,QB,2024,1,8,3.0432,74.25,216.0,38.8,4.58,,,,,,9.75,98.17973030952427,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,1.8,8.8,106.7,7.6,2.1,0.26,51.6,15.0,,,,10.7,,,,,,,,,,,,,,,,,
35,J.C. Latham,ALABAMA,OT,2024,1,7,3.0767,77.75,342.0,35.12,,,,,,,,,,-0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0404040404040404,0.0101010101010101,198.0,431.0,79.6,0.494,0.429,0.0079491255961844,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Tykee Smith,Georgia,S,2024,3,89,3.0941,70.0,202.0,31.62,4.46,36.0,120.0,,,,7.43,102.10380581276935,-0.17824789807434524,,1.0,0.6,3.9,338.0,91.4,6.4,0.0118343195266272,0.0059171597633136,50.0,54.9,3.9,15.0,4.2,260.0,0.0,4.0,2.0,23.1,15.6,32.0,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,
37,Khyree Jackson,Oregon,CB,2024,4,108,3.1699,75.75,194.0,,4.5,36.5,133.0,,,,7.86,94.61972260326169,1.7749867829426318,,1.0,0.7,23.7,320.0,97.9,7.8,0.009375,0.025,41.6,50.0,2.6,6.3,6.3,193.0,0.0,3.0,8.0,33.3,42.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,,,,,,,,,,,,
38,Roman Wilson,Michigan,WR,2024,3,84,3.2244,70.75,185.0,30.38,4.39,,,12.0,6.89,4.07,8.59,99.6193360979622,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,2.68,16.4,71.6,13.9,144.2,37.5,2.0,4.6,2.0,68.7,31.3,0.0,98.0,,,,,,,,
39,Brian Thomas Jr.,LSU,WR,2024,1,23,3.2355,74.875,209.0,38.8,4.33,38.5,126.0,11.0,,,9.84,118.9117296781256,0.9905210800687139,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.61,17.3,78.2,13.9,148.8,53.8,6.8,5.7,10.0,13.2,86.6,0.0,95.8,,,,,,,,
40,Edgerrin Cooper,Texas A&M,LB,2024,2,45,3.3558,75.0,230.0,34.0,4.51,34.5,122.0,,,,9.13,111.18639880298886,0.5476643251684309,,1.0,0.5,12.5,272.0,76.6,15.7,0.0,0.0073529411764705,,,15.1,15.2,3.1,254.0,0.0,0.0,2.0,13.9,12.3,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Isaac Guerendo,Louisville,RB,2024,5,129,3.4978,72.0,221.0,,4.33,41.5,129.0,,6.94,4.15,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,1.7,,,,,,,,30.0,,,,,543.0,4.11,104.2,0.2272727272727272,48.6,0.1666666666666666,0.1739130434782608,0.0064935064935064
42,Max Melton,Rutgers,CB,2024,2,43,3.5019,71.0,187.0,,4.39,40.5,136.0,,,,9.09,100.69630189361585,3.7459205125397013,,1.0,0.8,11.4,339.0,98.5,7.1,0.0088495575221238,0.0088495575221238,65.7,54.5,1.5,31.8,6.1,278.0,0.0,3.0,3.0,50.0,40.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,11.6,,,,,,,,,,,,,,,,,
43,Javon Bullard,Georgia,S,2024,2,58,3.538,70.5,198.0,30.75,4.47,,,,,,8.25,99.18936121674685,0.0,,1.0,0.4,26.9,329.0,100.0,12.2,0.0060790273556231,0.0151975683890577,34.0,53.8,1.9,17.6,9.9,267.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,,,,,,,,,,,
44,Braden Fiske,Florida State,DT,2024,2,39,3.5447,75.0,292.0,31.0,4.78,33.5,124.0,,,,9.9,111.86681174417053,4.443593027167047,,1.0,,,,,,,,,,9.1,,,,,,,11.5,8.9,263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Patrick Paul,HOUSTON,OT,2024,2,55,3.5518,79.5,331.0,36.25,5.13,29.0,,30.0,,4.71,9.67,95.58473247835771,,0.252226642935875,0.0,,,,,,,,,,,,,,,,,,,,0.0320855614973262,0.0,187.0,282.0,69.4,0.298,0.628,0.0042643923240938,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Maason Smith,LSU,DT,2024,4,109,3.6013,78.0,315.0,35.0,5.01,31.0,108.0,,,,8.46,99.99761592826792,0.9765565892441146,,1.0,,,,,,,,,,3.5,,,,,,,16.5,9.5,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Tylan Grable,UCF,OT,2024,7,204,3.6028,77.75,306.0,33.62,4.95,36.5,117.0,,,,9.85,101.9367132286964,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Brandon Coleman,TCU,OT,2024,3,67,3.6263,76.5,313.0,34.0,4.99,34.0,114.0,,,,,100.9653024818696,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Trevin Wallace,Kentucky,LB,2024,3,72,3.6365,73.0,237.0,32.62,4.51,37.5,126.0,,,,9.34,114.57033267960156,2.1049562023802557,,1.0,0.9,0.0,322.0,81.9,9.8,0.0031055900621118,0.0,,,7.4,10.0,3.5,275.0,1.0,1.0,0.0,10.0,9.1,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Ben Sinnott,KANSAS ST,TE,2024,2,53,3.6555,75.875,250.0,32.38,4.68,40.0,126.0,,6.82,4.23,9.73,104.22852504553892,2.219870738518062,,0.0,,,,,,,,,,,,,,,,,,,,,,,390.0,76.1,,,,,,,,,,,,,,,12.0,2.02,13.9,65.8,10.1,105.3,35.7,4.0,6.8,13.0,34.4,6.1,53.4,87.8,,,,,,,,
51,Dadrion Taylor-Demerson,Texas Tech,S,2024,4,104,3.6641,70.375,197.0,30.88,4.41,38.0,123.0,,,,8.1,104.16980806222762,0.9731063646940961,,1.0,0.5,20.0,439.0,96.5,12.1,0.0091116173120728,0.0091116173120728,65.0,57.1,3.1,13.3,8.7,360.0,0.0,4.0,4.0,0.0,8.3,16.0,,,,,,,,,,,,,,,,,,,,,,,,11.6,,,,,,,,,,,,,,,,,
52,Kool-Aid McKinstry,Alabama,CB,2024,2,41,3.6873,71.5,196.0,,4.47,,,,,,7.54,98.18744847718375,0.0,,1.0,0.4,25.6,482.0,99.2,11.7,0.0,0.0082987551867219,73.1,48.7,1.1,0.0,4.3,362.0,0.0,0.0,4.0,,33.3,4.0,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,,,,,,,
53,Nathan Thomas,LA LAFAYET,OT,2024,7,233,3.7094,77.0,332.0,33.75,5.19,25.0,107.0,24.0,,4.65,7.5,91.51634102317658,,0.5441209774907431,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Drake Maye,North Carolina,QB,2024,1,3,3.7132,76.375,223.0,34.8,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,1.7,8.5,100.2,19.5,5.7,0.18,48.0,12.0,,,,11.0,,,,,,,,,,,,,,,,,
55,Jaden Hicks,Washington State,S,2024,5,133,3.7144,73.875,215.0,31.5,4.5,37.5,122.0,16.0,6.88,4.37,8.97,104.86206370980034,0.6448719182198607,,0.0,0.4,12.9,427.0,95.1,12.9,0.0046838407494145,0.009367681498829,73.3,64.5,7.2,11.3,4.6,339.0,1.0,2.0,4.0,30.0,20.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,
56,Christian Jones,TEXAS,OT,2024,6,162,3.7517,77.25,305.0,33.5,5.04,,,20.0,,4.75,6.18,94.53827839096408,,0.057630419899294814,0.0,,,,,,,,,,,,,,,,,,,,0.0277777777777777,0.0,108.0,396.0,75.2,0.472,0.482,0.0079365079365079,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Kamal Hadden,Tennessee,CB,2024,7,211,3.7534,73.0,192.0,,4.57,,,,,,7.48,88.03724107151433,0.0,,1.0,0.6,24.2,184.0,99.5,5.3,0.0163043478260869,0.0326086956521739,7.0,36.4,2.5,33.3,6.4,126.0,0.0,3.0,6.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,10.9,,,,,,,,,,,,,,,,,
58,Chris Braswell,Alabama,ED,2024,2,57,3.7633,75.0,251.0,33.25,4.6,33.5,115.0,,,,8.73,112.1172380030089,-0.4073846609469818,,1.0,,,,,,,,,,5.4,,,,,,,27.6,18.2,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Theo Johnson,PENN STATE,TE,2024,4,107,3.7994,78.125,259.0,33.0,4.57,39.5,125.0,19.0,7.15,4.19,9.93,118.75856998709484,2.053224979996258,,0.0,,,,,,,,,,,,,,,,,,,,,,,309.0,55.9,,,,,,,,,,,,,,,13.0,1.26,10.0,75.6,7.2,136.2,75.0,5.6,5.0,2.0,38.1,9.7,48.1,84.9,,,,,,,,
60,Trey Benson,Florida State,RB,2024,3,66,3.8432,72.25,216.0,,4.39,33.5,122.0,,,,9.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,1.46,,,,,,,,43.0,,,,,551.0,3.53,100.3,0.2756410256410256,53.9,0.1474358974358974,0.1538461538461538,0.0
61,Caleb Williams,USC,QB,2024,1,1,3.8447,73.125,214.0,32.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,3.6,9.3,117.4,23.2,7.7,0.22,47.9,12.0,,,,9.2,,,,,,,,,,,,,,,,,
62,Daequan Hardy,Penn State,CB,2024,7,219,3.8517,69.375,179.0,,4.38,42.5,126.0,,,,8.15,97.27171760435255,2.6807176019775047,,1.0,1.4,12.5,240.0,92.7,4.8,0.0083333333333333,0.0208333333333333,71.4,54.2,1.9,0.0,6.6,160.0,0.0,2.0,5.0,0.0,10.5,19.0,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,
63,Kris Jenkins,Michigan,DT,2024,3,73,3.857,75.0,299.0,34.0,4.91,30.0,115.0,,,,8.99,102.89048526385314,1.8058891383275057,,1.0,,,,,,,,,,12.6,,,,,,,18.2,11.0,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Mike Sainristil,Michigan,CB,2024,2,50,3.8885,69.375,182.0,,4.47,40.0,131.0,14.0,6.99,4.01,8.45,91.17405930024205,2.674827908423252,,1.0,1.2,12.0,372.0,90.7,7.1,0.0161290322580645,0.0161290322580645,71.8,58.0,2.2,19.0,3.8,274.0,0.0,6.0,6.0,16.7,11.4,38.0,,,,,,,,,,,,,,,,,,,,,,,,9.8,,,,,,,,,,,,,,,,,
65,Dominique Hampton,Washington,S,2024,6,161,3.938,74.375,213.0,33.25,4.45,39.0,122.0,,6.83,4.14,9.58,108.63494659044771,1.1448246882570663,,1.0,0.9,12.7,613.0,99.0,10.4,0.0032626427406199,0.0114192495921696,82.1,60.0,2.6,12.5,7.9,354.0,0.0,2.0,7.0,0.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,11.6,,,,,,,,,,,,,,,,,
66,Marvin Harrison Jr.,Ohio State,WR,2024,1,4,3.9402,75.25,209.0,38.8,4.55,,,,,,,97.52830920312155,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,3.44,18.1,58.8,13.1,120.3,43.3,8.2,6.4,5.0,19.4,79.8,0.8,96.2,,,,,,,,
67,MarShawn Lloyd,USC,RB,2024,3,88,3.9548,68.75,220.0,,4.46,36.0,118.0,25.0,,,8.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,1.22,,,,,,,,46.0,,,,,457.0,3.97,173.9,0.4,56.7,0.208695652173913,0.0947368421052631,0.0234375
68,Cole Bishop,Utah,S,2024,2,60,4.0398,74.0,206.0,29.75,4.45,39.0,124.0,,,,9.88,105.06478402644238,1.4679917345140665,,1.0,0.6,7.4,329.0,90.1,11.3,0.0060790273556231,0.0030395136778115,65.4,51.9,6.0,17.1,3.7,222.0,0.0,2.0,1.0,20.0,12.1,36.0,,,,,,,,,,,,,,,,,,,,,,,,9.7,,,,,,,,,,,,,,,,,
69,Michael Jurgens,Wake Forest,IOL,2024,7,230,4.0432,,,,,,,,,,7.62,,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0265486725663716,0.0044247787610619,226.0,358.0,86.5,0.475,0.4529999999999999,0.0017123287671232,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Cam Hart,Notre Dame,CB,2024,5,140,4.0455,75.0,202.0,,4.5,39.5,130.0,11.0,7.12,4.24,9.0,98.52156683432403,2.317011747910535,,0.0,0.5,14.3,308.0,99.7,10.2,0.0,0.0064935064935064,67.1,53.6,0.4,0.0,24.0,263.0,0.0,0.0,2.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,11.3,,,,,,,,,,,,,,,,,
