rank,Player,School,Pos,Year,actual_round,actual_pick,predicted_round,Height,Weight,arm_length_inches,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,RAS,speed_score,explosive_score,agility_score,p4_conference,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,interceptions,pass_break_ups,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate,arm_33_plus,arm_34_plus,is_center,btt_rate,twp_rate,ypa,qb_rating,pressure_to_sack_rate,sack_percent,epa,positive_epa_percent,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,yards_after_contact,yco_attempt,elusive_rating,mtf_per_attempt,breakaway_percent,explosive_rate,targets_per_route,fumble_rate
1,Malik Nabers,LSU,WR,2024,1,6,1.0,72.25,199.0,34.8,4.38,42.0,129.0,15.0,,,9.67,108.14006594003439,2.076615247798478,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,3.64,17.6,69.5,12.2,141.0,45.5,5.3,6.6,25.0,53.6,46.0,0.4,95.8,,,,,,,,
2,T'Vondre Sweat,Texas,DT,2024,2,38,1.0,76.0,366.0,33.25,5.27,26.0,98.0,,,,4.27,94.90052613848798,-2.319065784097541,,1.0,,,,,,,,,,12.8,,,,,,,24.5,15.3,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jaylon Carlies,Missouri,S,2024,5,151,1.0,74.75,227.0,64.25,4.5,32.5,125.0,20.0,,,8.26,110.71483005639384,-0.5368867458519915,,1.0,0.9,9.5,398.0,95.9,9.0,0.0050251256281407,0.007537688442211,116.9,71.4,4.6,16.2,9.1,272.0,0.0,2.0,3.0,25.0,12.5,17.0,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,
4,Jayden Daniels,LSU,QB,2024,1,2,1.0184,75.625,210.0,36.8,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,1.6,11.5,143.7,20.2,5.1,0.57,59.3,12.0,,,,10.5,,,,,,,,,,,,,,,,,
5,Malik Washington,Virginia,WR,2024,6,184,1.1979,68.5,191.0,30.38,4.47,42.5,126.0,19.0,6.87,4.26,8.63,95.68266662827601,2.2317715574741586,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,3.15,12.5,80.4,8.1,115.1,64.7,2.6,6.4,34.0,87.9,6.7,5.2,95.0,,,,,,,,
6,Jared Verse,Florida State,ED,2024,1,19,1.2548,76.0,254.0,33.5,4.58,35.0,127.0,,,,9.6,115.45209027138502,1.9205043477819483,,1.0,,,,,,,,,,6.6,,,,,,,28.6,21.8,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Bo Nix,Oregon,QB,2024,1,12,1.412,74.125,214.0,37.8,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,1.0,9.5,135.7,7.6,1.2,0.54,59.5,14.0,,,,6.8,,,,,,,,,,,,,,,,,
8,Laiatu Latu,UCLA,ED,2024,1,15,1.5476,77.0,259.0,32.62,4.64,32.0,116.0,,,,9.37,111.75265183675232,-0.7034861869731472,,1.0,,,,,,,,,,6.9,,,,,,,40.0,26.2,304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Joe Alt,NOTRE DAME,OT,2024,1,6,1.6587,80.625,321.0,34.25,5.05,28.0,112.0,27.0,,4.51,9.93,98.71190098527491,,1.225207758118776,0.0,,,,,,,,,,,,,,,,,,,,0.029940119760479,0.0059880239520958,167.0,344.0,86.6,0.541,0.401,0.0039138943248532,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Jarrian Jones,Florida State,CB,2024,3,96,1.9207,71.875,190.0,,4.38,39.5,129.0,,,,9.61,103.24930918897756,2.1386926370096018,,1.0,0.7,9.4,251.0,96.9,7.5,0.0119521912350597,0.0119521912350597,25.3,50.0,1.6,11.1,10.0,194.0,0.0,3.0,3.0,0.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,
