Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent
2016,Luther Maddy,DT,Virginia Tech,6-0,287.0,4.96,,29.0,,,,False,,,,33.25,10.6,9.1,322.0,7.9
2016,Robert Nkemdiche,DT,Mississippi,6-3,294.0,4.87,35.0,28.0,116.0,,,True,1.0,29.0,,33.88,16.3,12.7,347.0,6.1
2016,Sheldon Rankins,DT,Louisville,6-1,299.0,5.03,34.5,28.0,118.0,7.44,4.59,True,1.0,12.0,,33.38,12.9,10.7,387.0,9.0
2016,D.J. Reader,DT,Clemson,6-3,327.0,5.33,29.5,30.0,99.0,7.9,4.71,True,5.0,166.0,,33.62,21.3,10.9,140.0,7.0
2016,Jarran Reed,DT,Alabama,6-3,307.0,5.21,31.0,,104.0,7.77,4.75,True,2.0,49.0,,33.38,7.1,6.5,276.0,13.4
2016,Hassan Ridgeway,DT,Texas,6-3,303.0,5.02,32.0,24.0,113.0,8.28,4.82,True,4.0,116.0,,33.0,23.7,14.0,238.0,8.5
2016,A'Shawn Robinson,DT,Alabama,6-4,307.0,5.2,26.0,22.0,106.0,7.8,4.74,True,2.0,46.0,,34.5,9.9,7.3,357.0,10.7
2016,Devaunte Sigler,DT,Jacksonville State,6-3,298.0,5.15,25.0,23.0,,7.9,4.97,False,,,,33.75,,,,
2016,Lawrence Thomas,DT,Michigan State,6-3,286.0,4.98,35.0,,113.0,,,False,,,,33.25,11.3,5.7,358.0,5.8
2016,Vincent Valentine,DT,Nebraska,6-4,329.0,5.19,29.0,17.0,110.0,8.03,4.59,True,3.0,96.0,,33.12,8.3,5.6,247.0,3.4
2016,Jihad Ward,DT,Illinois,6-5,297.0,5.11,25.0,20.0,111.0,7.38,4.63,True,2.0,44.0,,33.88,7.5,6.1,344.0,7.2
2016,Adolphus Washington,DT,Ohio State,6-3,301.0,5.17,27.0,21.0,99.0,8.06,4.79,True,3.0,80.0,,34.5,15.5,12.7,397.0,7.0
2016,Connor Wujciak,DT,Boston Col.,6-2,291.0,4.91,34.5,22.0,117.0,7.32,4.27,False,,,,33.25,17.3,8.9,300.0,6.1
2016,Anthony Zettel,DT,Penn State,6-4,277.0,4.81,30.5,28.0,109.0,7.63,4.39,True,6.0,202.0,,31.12,20.5,11.3,311.0,7.8
2017,Montravius Adams,DT,Auburn,6-4,304.0,4.87,29.0,22.0,108.0,7.62,4.89,True,3.0,93.0,7.89,32.75,11.1,7.8,372.0,9.8
2017,Jonathan Allen,DT,Alabama,6-3,286.0,5.0,30.0,21.0,108.0,7.49,4.5,True,1.0,17.0,7.74,33.62,23.4,17.9,464.0,11.5
2017,Caleb Brantley,DT,Florida,6-3,307.0,5.14,27.0,21.0,105.0,7.66,4.62,True,6.0,185.0,4.79,32.0,16.5,15.0,200.0,11.3
2017,Chunky Clements,DT,Illinois,6-2,301.0,,,23.0,,,,False,,,,32.88,8.0,6.5,211.0,3.1
2017,Davon Gaudchaux,DT,LSU,6-3,310.0,5.27,,18.0,,,,True,5.0,178.0,2.52,,14.4,8.6,349.0,8.2
2017,Ryan Glasgow,DT,Michigan,6-3,302.0,5.13,27.5,20.0,105.0,7.55,4.5,True,4.0,138.0,4.18,33.38,25.3,17.2,257.0,6.5
2017,Treyvon Hester,DT,Toledo,6-2,300.0,,,,,,,True,7.0,244.0,7.16,32.0,11.4,9.0,293.0,10.1
2017,Jaleel Johnson,DT,Iowa,6-3,316.0,5.38,28.0,19.0,100.0,7.64,4.62,True,4.0,109.0,1.87,33.25,16.1,10.6,344.0,6.2
2017,D.J. Jones,DT,Akron,6-1,319.0,5.04,28.5,25.0,108.0,7.73,4.65,True,6.0,198.0,,32.5,6.7,5.5,208.0,5.6
2017,Jarron Jones,DT,Notre Dame,6-6,316.0,5.33,20.5,22.0,,,,False,,,,35.5,14.8,10.1,188.0,10.4
2017,Nazair Jones,DT,North Carolina,6-5,304.0,5.11,24.5,,101.0,7.93,4.63,True,3.0,102.0,3.75,34.62,4.2,5.9,230.0,7.2
2017,Jeremiah Ledbetter,DT,Arkansas,6-3,280.0,4.84,32.5,29.0,113.0,7.55,4.56,True,6.0,205.0,9.34,34.25,14.2,7.2,316.0,4.5
2017,Malik McDowell,DT,Michigan State,6-6,295.0,4.85,28.5,23.0,112.0,7.69,4.53,True,2.0,35.0,9.03,34.75,25.4,15.8,206.0,11.2
2017,Elijah Qualls,DT,Washington,6-1,313.0,5.13,31.5,33.0,105.0,7.65,4.66,True,6.0,214.0,7.55,30.62,16.7,11.0,324.0,7.5
2017,Tanzel Smart,DT,Tulane,6-1,296.0,5.24,27.0,22.0,105.0,7.53,4.57,True,6.0,189.0,2.13,32.88,13.6,9.9,401.0,6.1
2017,Vincent Taylor,DT,Oklahoma State,6-3,304.0,5.07,28.5,26.0,108.0,7.58,4.72,True,6.0,194.0,6.52,34.38,31.3,16.3,264.0,9.3
2017,Dalvin Tomlinson,DT,Alabama,6-3,310.0,5.19,27.0,,110.0,7.68,4.59,True,2.0,55.0,4.62,33.5,14.6,9.5,428.0,8.4
2017,Stevie Tu'Ikolovatu,DT,USC,6-1,331.0,5.45,24.5,28.0,91.0,7.83,5.0,True,7.0,223.0,0.84,33.88,9.0,4.5,327.0,12.6
2017,Eddie Vanderdoes,DT,UCLA,6-3,305.0,4.99,28.5,28.0,111.0,7.69,4.39,True,3.0,88.0,9.26,33.12,12.1,8.9,332.0,5.7
2017,Charles Walker,DT,Oklahoma,6-2,310.0,4.96,28.0,25.0,107.0,7.89,4.96,False,,,5.91,33.75,11.8,6.0,87.0,8.9
2017,Carlos Watkins,DT,Clemson,6-3,309.0,,,25.0,,,,True,4.0,142.0,5.69,34.62,16.4,9.2,431.0,7.5
2017,Chris Wormley,DT,Michigan,6-5,298.0,,,23.0,,,,True,3.0,74.0,9.73,34.12,15.2,14.4,281.0,6.2
2018,John Atkins,DT,Georgia,6-4,321.0,5.38,24.0,,89.0,7.95,4.75,False,,,1.33,34.0,4.7,2.6,160.0,9.2
2018,Taven Bryan,DT,Florida,6-4,291.0,4.98,35.0,30.0,119.0,7.12,4.48,True,1.0,29.0,9.91,32.75,17.6,13.9,267.0,6.6
2018,Foley Fatukasi,DT,Connecticut,6-4,318.0,5.29,30.0,33.0,112.0,7.44,4.53,False,,,8.55,34.12,,,,
2018,Joshua Frazier,DT,Alabama,6-4,321.0,,,21.0,,,,True,7.0,246.0,1.75,34.25,9.5,4.9,83.0,8.3
2018,Zaycoven Henderson,DT,Texas A&M,6-0,298.0,5.16,29.5,20.0,105.0,7.33,4.58,False,,,5.09,32.75,12.0,10.8,222.0,7.5
2018,B.J. Hill,DT,North Carolina State,6-4,311.0,4.99,26.5,35.0,101.0,7.28,4.53,True,3.0,69.0,8.74,33.0,10.4,7.0,420.0,9.3
2018,Maurice Hurst,DT,Michigan,6-2,292.0,,,,,,,True,5.0,140.0,7.73,32.0,16.7,13.4,340.0,10.4
2018,Justin Jones,DT,North Carolina State,6-2,309.0,5.09,29.0,24.0,104.0,7.82,4.74,True,3.0,84.0,5.92,,11.1,7.8,344.0,4.0
2018,Lowell Lotulelei,DT,Utah,6-2,315.0,,,28.0,,,,False,,,,33.0,6.6,4.3,292.0,2.8
2018,R.J. McIntosh,DT,Miami (FL),6-4,286.0,,,,,,,True,5.0,139.0,3.37,33.88,10.4,8.5,409.0,9.0
2018,Kahlil McKenzie,DT,Tennessee,6-5,314.0,5.15,29.5,26.0,105.0,7.94,4.68,True,6.0,198.0,6.0,31.5,5.7,4.5,167.0,6.7
2018,Bilal Nichols,DT,Delaware,6-4,306.0,4.95,,29.0,,,,True,5.0,145.0,9.73,33.38,,,,
2018,Derrick Nnadi,DT,Florida State,6-1,317.0,5.38,27.0,25.0,96.0,8.15,5.02,True,3.0,75.0,1.21,33.5,9.2,6.0,346.0,11.0
2018,Kendrick Norton,DT,Miami (FL),6-3,314.0,5.25,,30.0,,,,True,7.0,242.0,4.27,33.75,9.8,5.4,292.0,3.2
2018,Daron Payne,DT,Alabama,6-2,311.0,4.95,28.5,27.0,107.0,7.58,4.71,True,1.0,13.0,8.56,33.0,13.3,10.6,406.0,9.2
2018,Harrison Phillips,DT,Stanford,6-4,307.0,5.21,32.0,42.0,103.0,7.28,4.5,True,3.0,96.0,8.1,33.88,11.8,9.2,422.0,13.3
2018,Deadrin Senat,DT,South Florida,6-0,314.0,5.16,26.0,35.0,100.0,7.77,4.79,True,3.0,90.0,3.79,31.62,,,,
