Year,Player,Pos,School,Height,Weight,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,routes,targets,receptions
2015,Dez Lewis,WR,Central Arkansas,76.0,214.0,4.58,33.5,119.0,16.0,7.11,4.28,False,,,,,,,,,,,,,,,,,,,,,
2015,Tony Lippett,WR,Michigan State,74.0,192.0,4.61,36.0,114.0,10.0,6.92,4.13,True,5.0,156.0,,32.75,13.0,3.65,18.4,61.9,13.3,128.2,,3.0,5.9,7.0,14.4,85.6,0.0,96.2,328.0,105.0,65.0
2015,Tyler Lockett,WR,Kansas State,70.0,182.0,4.4,35.5,121.0,,6.89,4.07,True,3.0,69.0,,30.0,13.0,3.65,14.3,72.1,11.9,121.6,,6.2,4.3,9.0,15.3,84.3,0.0,93.3,415.0,147.0,106.0
2015,Deon Long,WR,Maryland,72.0,192.0,4.51,34.0,120.0,12.0,6.98,4.27,False,,,,31.0,13.0,1.39,11.3,55.4,10.7,63.5,,7.3,4.9,6.0,2.6,97.4,0.0,97.0,415.0,92.0,51.0
2015,Donatella Luckett,WR,Harding,72.0,211.0,4.4,34.0,118.0,17.0,7.51,4.5,False,,,,31.0,,,,,,,,,,,,,,,,,
2015,Vince Mayle,WR,Washington State,74.0,224.0,4.67,35.5,117.0,,6.93,4.13,True,4.0,123.0,,31.75,12.0,2.69,14.0,65.0,9.8,104.9,,15.2,7.8,25.0,0.7,99.3,0.0,95.2,551.0,163.0,106.0
2015,Tre McBride,WR,William & Mary,72.0,210.0,4.41,38.0,122.0,16.0,6.96,4.08,True,7.0,245.0,,32.12,,,,,,,,,,,,,,,,,
2015,Ty Montgomery,WR,Stanford,72.0,221.0,4.55,40.5,121.0,,6.97,4.21,True,3.0,94.0,,31.0,11.0,2.16,9.9,62.2,6.5,68.6,,7.6,7.2,16.0,21.6,77.4,0.3,95.9,280.0,98.0,61.0
2015,Keith Mumphery,WR,Michigan State,72.0,215.0,4.54,32.5,121.0,,7.07,4.25,True,5.0,175.0,,31.12,13.0,2.14,19.0,60.5,16.1,114.0,,7.1,5.5,4.0,20.3,78.9,0.0,97.5,231.0,43.0,26.0
2015,J.J. Nelson,WR,Ala-Birmingham,70.0,156.0,4.28,36.0,127.0,,7.02,4.15,True,5.0,159.0,,31.12,12.0,2.42,17.9,56.3,15.6,98.8,,12.2,9.5,5.0,22.9,76.8,0.0,95.4,267.0,64.0,36.0
