Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,interceptions,pass_break_ups,coverage_snaps_per_target,INT_rate,PBU_rate
2015,Hau'oli Kikaha,OLB,Washington,6-2,253.0,4.93,,,,,,True,2.0,44.0,,32.5,20.2,15.5,353.0,5.9,10.0,3.5,383.0,0.0,0.2,0.0,225.0,38.9,0.0,0.0,11.0,0.0,0.0
2015,Lorenzo Mauldin,OLB,Louisville,6-4,259.0,4.85,32.0,23.0,112.0,7.47,4.58,True,3.0,82.0,,33.0,23.7,15.3,378.0,10.9,6.8,1.7,307.0,1.0,0.5,0.0,26.0,6.4,0.0,0.0,12.5,0.0,0.0
2015,Benardrick McKinney,ILB,Mississippi State,6-4,246.0,4.66,40.5,16.0,121.0,7.21,4.27,True,2.0,43.0,,33.0,8.7,4.8,66.0,10.9,7.0,3.0,251.0,0.0,0.8,2.9,317.0,82.8,0.0,1.0,9.1,0.0,0.0031545741324921135
2015,Mark Nzeocha,OLB,Wyoming,6-2,232.0,4.56,,24.0,,,,True,7.0,236.0,,33.0,16.7,8.7,25.0,6.2,13.3,4.2,232.0,1.0,0.5,17.6,194.0,88.6,0.0,3.0,11.2,0.0,0.015463917525773196
2015,Denzel Perryman,ILB,Miami (FL),5-11,236.0,4.78,32.0,27.0,113.0,,,True,2.0,48.0,,31.88,7.1,6.8,50.0,11.3,11.5,3.1,364.0,2.0,1.0,5.8,311.0,86.1,1.0,3.0,5.8,0.003215434083601286,0.00964630225080386
2015,Hayes Pullard,ILB,USC,6-0,240.0,4.78,31.0,19.0,110.0,7.07,4.39,True,7.0,219.0,,31.25,0.0,0.0,38.0,7.2,5.5,5.3,345.0,0.0,1.1,4.8,529.0,93.3,1.0,3.0,7.9,0.001890359168241966,0.005671077504725898
2015,Edmond Robinson,OLB,Newberry,6-3,245.0,4.61,37.0,20.0,121.0,7.49,4.38,True,7.0,232.0,,34.0,,,,,,,,,,,,,,,,,
2015,Jake Ryan,OLB,Michigan,6-2,240.0,4.65,34.5,20.0,120.0,7.11,4.2,True,4.0,129.0,,31.0,11.5,6.3,67.0,14.6,9.1,2.3,354.0,3.0,0.6,3.8,316.0,82.5,1.0,1.0,11.8,0.0031645569620253164,0.0031645569620253164
2015,Martrell Spaight,ILB,Arkansas,6-0,236.0,4.81,35.0,25.0,120.0,7.66,,True,5.0,141.0,,32.75,12.5,3.4,30.0,11.7,8.3,4.6,348.0,2.0,1.2,2.3,367.0,92.4,1.0,1.0,8.0,0.0027247956403269754,0.0027247956403269754
2015,J.R. Tavai,OLB,USC,6-2,249.0,4.91,30.5,20.0,112.0,,,False,,,,31.5,11.1,10.2,248.0,7.1,10.0,2.7,247.0,1.0,0.3,14.3,124.0,33.3,0.0,1.0,16.6,0.0,0.008064516129032258
2015,Shaq Thompson,OLB,Washington,6-0,228.0,4.64,33.5,,117.0,6.99,4.08,True,1.0,25.0,,33.0,11.1,9.5,21.0,7.3,5.4,4.0,266.0,2.0,0.4,0.0,405.0,95.1,1.0,0.0,12.8,0.0024691358024691358,0.0
2015,Davis Tull,OLB,Tenn-Chattanooga,6-2,246.0,4.57,42.5,26.0,132.0,,,True,5.0,148.0,,31.25,,,,,,,,,,,,,,,,,
2015,Max Valles,OLB,Virginia,6-5,251.0,4.83,36.5,,121.0,7.59,4.37,True,6.0,179.0,,32.62,13.4,8.6,371.0,6.4,13.3,2.8,363.0,0.0,0.8,0.0,87.0,19.0,1.0,0.0,14.0,0.011494252873563218,0.0
2015,Tony Washington,OLB,Oregon,6-4,247.0,4.99,32.5,17.0,110.0,7.2,4.31,False,,,,35.5,14.1,7.3,205.0,8.3,4.5,1.8,295.0,0.0,0.3,5.9,193.0,48.5,0.0,1.0,11.2,0.0,0.0051813471502590676
2015,Damien Wilson,ILB,Minnesota,6-0,245.0,4.77,37.0,22.0,119.0,7.21,4.2,True,4.0,127.0,,33.75,26.3,12.0,53.0,9.2,5.3,4.4,386.0,1.0,0.5,3.6,379.0,87.7,1.0,1.0,13.0,0.002638522427440633,0.002638522427440633
2015,Ramik Wilson,ILB,Georgia,6-2,237.0,4.77,35.0,23.0,111.0,,4.51,True,4.0,118.0,,33.0,11.1,11.8,51.0,9.7,6.0,3.7,342.0,1.0,1.1,2.8,276.0,84.4,0.0,1.0,7.4,0.0,0.0036231884057971015
2016,Dominique Alexander,ILB,Oklahoma,6-0,232.0,4.64,28.5,17.0,104.0,,,False,,,,32.25,6.7,7.7,40.0,9.9,9.2,2.7,457.0,0.0,0.3,8.3,472.0,92.2,1.0,2.0,18.7,0.00211864406779661,0.00423728813559322
2016,Devante Bond,OLB,Oklahoma,6-1,235.0,4.7,37.5,21.0,121.0,7.07,4.36,True,6.0,183.0,,32.38,16.3,10.1,105.0,8.5,5.6,5.2,237.0,0.0,0.4,28.6,89.0,45.9,0.0,2.0,12.1,0.0,0.02247191011235955
2016,Kentrell Brothers,OLB,Missouri,6-0,245.0,4.89,28.5,19.0,110.0,6.99,4.11,True,5.0,160.0,,30.75,19.2,12.7,58.0,15.8,8.3,3.3,411.0,1.0,0.7,11.4,359.0,86.1,2.0,3.0,7.7,0.005571030640668524,0.008356545961002786
2016,Beniquez Brown,OLB,Mississippi State,6-1,229.0,4.77,31.0,18.0,110.0,7.07,4.28,False,,,,31.38,16.1,13.6,91.0,7.9,10.8,3.2,371.0,0.0,1.1,2.9,331.0,78.4,1.0,1.0,9.4,0.0030211480362537764,0.0030211480362537764
2016,De'Vondre Campbell,OLB,Minnesota,6-4,232.0,4.58,34.0,16.0,116.0,,,True,4.0,115.0,,33.62,24.0,18.2,68.0,7.2,6.3,4.4,354.0,0.0,0.4,19.0,239.0,77.6,1.0,4.0,10.9,0.0041841004184100415,0.016736401673640166
2016,Su'A Cravens,OLB,USC,6-1,226.0,4.58,27.0,16.0,114.0,,,True,2.0,53.0,,32.12,15.6,7.5,109.0,6.9,9.4,6.3,398.0,0.0,0.6,6.1,341.0,75.8,2.0,2.0,9.8,0.005865102639296188,0.005865102639296188
2016,Steven Daniels,ILB,Boston Col.,5-11,243.0,4.86,32.0,16.0,112.0,7.33,4.54,True,7.0,232.0,,32.62,22.0,15.1,98.0,15.2,9.2,1.9,337.0,0.0,0.6,6.9,300.0,75.4,1.0,2.0,9.8,0.0033333333333333335,0.006666666666666667
