Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,is_center,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate
2016,Austin Blythe,C,Iowa,6-2,298.0,5.36,27.5,29.0,99.0,7.52,4.53,True,7.0,248.0,,,1,0.043689320388349516,0.009708737864077669,206.0,480.0,95.4,0.256,0.61,0.004373177842565598
2016,Evan Boehm,C,Missouri,6-2,302.0,5.33,28.5,24.0,96.0,7.52,4.69,True,4.0,128.0,,,1,0.06875,0.0125,160.0,326.0,77.0,0.267,0.531,0.00411522633744856
2016,Jake Brendel,C,UCLA,6-3,303.0,5.01,28.0,25.0,108.0,7.31,4.27,False,,,,,1,0.037037037037037035,0.0,216.0,413.0,80.5,0.409,0.47700000000000004,0.003179650238473768
2016,Joseph Cheek,OG,Texas A&M,6-6,295.0,5.27,,20.0,,,,False,,,,32.75,0,0.09941520467836257,0.011695906432748537,171.0,393.0,76.8,0.349,0.486,0.0017730496453900709
2016,Joshua Garnett,OG,Stanford,6-4,312.0,5.32,29.0,30.0,99.0,7.62,4.64,True,1.0,28.0,,33.88,0,0.06470588235294118,0.01764705882352941,170.0,557.0,96.3,0.7490000000000001,0.185,0.002751031636863824
2016,Graham Glasgow,C,Michigan,6-6,307.0,5.13,25.0,23.0,106.0,7.63,4.63,True,3.0,95.0,,,1,0.03932584269662921,0.0,178.0,419.0,85.5,0.632,0.198,0.0016750418760469012
2016,Darrell Greene,OG,San Diego State,6-3,321.0,5.2,21.5,28.0,98.0,8.07,4.98,False,,,,31.62,0,0.03125,0.0,32.0,329.0,94.3,0.599,0.225,0.0
2016,Nila Kasitati,OG,Oklahoma,6-3,317.0,5.32,27.5,12.0,107.0,8.3,4.83,False,,,,32.0,0,0.07751937984496124,0.0,129.0,411.0,86.5,0.382,0.418,0.001851851851851852
2016,Ryan Kelly,C,Alabama,6-4,311.0,5.03,30.0,26.0,103.0,7.58,4.59,True,1.0,18.0,,,1,0.06140350877192982,0.0,114.0,519.0,81.4,0.358,0.545,0.0
2016,Nick Martin,C,Notre Dame,6-4,299.0,5.22,28.0,28.0,97.0,7.57,4.72,True,2.0,50.0,,,1,0.018867924528301886,0.0,159.0,393.0,90.2,0.366,0.491,0.005434782608695652
2016,Connor McGovern,OG,Missouri,6-4,306.0,5.11,33.0,33.0,109.0,7.5,4.65,True,5.0,144.0,,32.88,0,0.0783132530120482,0.012048192771084338,166.0,342.0,78.7,0.292,0.506,0.003937007874015748
2016,Alex Redmond,OG,UCLA,6-5,294.0,5.3,28.0,30.0,111.0,7.75,4.9,False,,,,33.25,0,0.06741573033707865,0.0,178.0,346.0,85.2,0.442,0.46,0.009541984732824428
2016,Isaac Seumalo,OG,Oregon State,6-4,303.0,5.19,26.0,,105.0,7.4,4.52,True,3.0,79.0,,33.0,0,0.017241379310344827,0.0,116.0,401.0,94.4,0.284,0.551,0.0038684719535783366
2016,Matt Skura,C,Duke,6-3,305.0,5.39,24.0,27.0,103.0,7.89,4.76,False,,,,,1,0.03225806451612903,0.0,217.0,466.0,93.3,0.23,0.47,0.0
2016,Sebastian Tretola,OG,Arkansas,6-4,314.0,5.45,23.5,22.0,90.0,7.94,5.02,True,6.0,193.0,,31.5,0,0.06896551724137931,0.020689655172413793,145.0,468.0,92.0,0.534,0.233,0.0
2016,Max Tuerk,C,USC,6-5,298.0,5.12,,22.0,,,,True,3.0,66.0,,,1,0.015625,0.015625,64.0,99.0,88.1,0.495,0.485,0.012269938650306749
2016,Landon Turner,OG,North Carolina,6-4,330.0,5.58,19.0,30.0,88.0,,,False,,,,32.88,0,0.05185185185185185,0.007407407407407408,135.0,446.0,92.0,0.321,0.511,0.0
2016,Christian Westerman,OG,Arizona State,6-3,298.0,5.12,,34.0,98.0,7.69,4.71,True,5.0,161.0,,33.5,0,0.0319634703196347,0.0,219.0,484.0,78.6,0.397,0.49,0.0
2017,Isaac Asiata,OG,Utah,6-3,323.0,5.34,25.5,35.0,102.0,7.83,4.93,True,5.0,164.0,5.44,33.75,0,0.03205128205128205,0.019230769230769232,156.0,507.0,81.9,0.444,0.501,0.0030165912518853697
2017,Erik Austell,OG,Charleston Southern,6-3,301.0,5.23,27.5,24.0,107.0,8.13,4.9,False,,,,32.0,0,,,,,,,,
