rank,Player,School,Pos,Year,actual_round,actual_pick,predicted_round,Height,Weight,arm_length_inches,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,RAS,speed_score,explosive_score,agility_score,p4_conference,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,interceptions,pass_break_ups,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate,arm_33_plus,arm_34_plus,is_center,btt_rate,twp_rate,ypa,qb_rating,pressure_to_sack_rate,sack_percent,epa,positive_epa_percent,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,yards_after_contact,yco_attempt,elusive_rating,mtf_per_attempt,breakaway_percent,explosive_rate,targets_per_route,fumble_rate
15,Jahdae Barron,Texas,CB,2025,1,20,2.2825,70.75,194.0,29.5,4.39,35.0,123.0,,,,8.64,104.46568217840361,-0.5466954749020507,,1.0,0.5,14.7,541.0,96.3,7.6,0.0092421441774491,0.0166358595194085,34.2,54.4,2.0,9.7,4.8,409.0,0.0,5.0,9.0,0.0,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,
16,Jonah Savaiinaea,Arizona,OT,2025,2,37,2.335,76.125,324.0,33.88,4.95,29.0,106.0,,,4.66,,107.93299047744324,,0.49547192173159915,1.0,,,,,,,,,,,,,,,,,,,,0.0526315789473684,0.0157894736842105,190.0,260.0,64.2,0.465,0.485,0.0022222222222222,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Dont'e Thornton Jr.,Tennessee,WR,2025,4,108,2.3357,76.625,205.0,32.12,4.3,33.0,126.0,,,,9.85,119.92508484699754,-0.7161983263637726,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,3.72,25.5,76.5,16.5,145.2,75.0,7.1,10.7,2.0,4.3,95.7,0.0,95.2,,,,,,,,
18,Shemar Stewart,Texas A&M,ED,2025,1,17,2.3509,77.0,267.0,34.12,4.59,40.0,131.0,,,,10.0,120.30689407057672,4.053645963239957,,1.0,,,,,,,,,,5.5,,,,,,,21.9,12.4,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Andrew Mukuba,Texas,S,2025,2,64,2.4146,71.25,186.0,30.0,4.45,,,,,,5.11,94.86431955785575,0.0,,1.0,0.2,26.1,401.0,98.3,16.6,0.0124688279301745,0.0149625935162094,12.1,43.5,5.0,18.0,5.8,304.0,1.0,5.0,6.0,50.0,28.6,7.0,,,,,,,,,,,,,,,,,,,,,,,,11.7,,,,,,,,,,,,,,,,,
20,Landon Jackson,Arkansas,ED,2025,3,72,2.4178,78.0,264.0,33.25,4.68,40.5,129.0,,7.13,,9.78,110.0653224480891,3.891860897209863,,1.0,,,,,,,,,,9.3,,,,,,,21.7,11.2,362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Harold Fannin Jr,Bowling Green,TE,2025,3,67,2.4382,75.25,241.0,32.25,4.71,34.0,118.0,22.0,6.97,4.39,7.77,97.94074646736463,0.22012163625641243,,0.0,,,,,,,,,,,,,,,,,,,,,,,263.0,75.2,,,,,,,,,,,,,,,13.0,3.77,13.3,78.0,7.5,123.8,54.5,3.3,7.5,34.0,31.7,26.2,38.3,94.1,,,,,,,,
22,Jared Wilson,Georgia,IOL,2025,3,95,2.4784,75.0,310.0,,4.84,32.0,112.0,,,4.56,9.84,112.98225614454482,,1.1012736166963055,1.0,,,,,,,,,,,,,,,,,,,,0.0055865921787709,0.0,179.0,299.0,76.0,0.361,0.528,0.00418410041841,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Tyler Warren,Penn State,TE,2025,1,14,2.4998,77.5,256.0,31.75,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,407.0,52.8,,,,,,,,,,,,,,,16.0,2.78,11.8,77.0,6.9,120.9,61.9,2.8,6.7,19.0,47.3,14.0,33.1,90.9,,,,,,,,
24,Donovan Ezeiruaku,Boston College,ED,2025,2,44,2.5391,74.0,248.0,34.0,4.62,35.5,119.0,,6.94,4.19,8.14,108.87139163371842,0.8209712128121167,,1.0,,,,,,,,,,10.1,,,,,,,25.3,17.9,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Kurtis Rourke,Indiana,QB,2025,7,227,2.634,76.25,220.0,30.25,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,2.6,9.4,122.5,26.7,5.6,0.37,57.2,12.0,,,,10.4,,,,,,,,,,,,,,,,,
26,Carson Schwesinger,UCLA,LB,2025,2,33,2.6469,74.4,242.0,31.62,,39.5,127.0,20.0,7.05,4.25,9.86,,2.8746671402598603,,1.0,0.9,4.7,376.0,85.8,8.3,0.0053191489361702,0.0053191489361702,,,11.0,8.0,4.5,267.0,0.0,2.0,2.0,29.4,25.4,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Kelvin Banks Jr,Texas,OT,2025,1,9,2.7286,77.125,315.0,33.5,5.16,32.0,104.0,,7.81,4.66,8.34,88.86725037357962,,0.5764759443135371,1.0,,,,,,,,,,,,,,,,,,,,0.0272108843537414,0.0,147.0,397.0,81.0,0.451,0.4629999999999999,0.0073529411764705,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Mason Graham,Michigan,DT,2025,1,5,2.7357,75.0,296.0,32.0,4.97,31.0,105.5,,,,,97.02779272852004,0.5630963048686362,,1.0,,,,,,,,,,12.0,,,,,,,21.5,13.8,338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Kenneth Grant,Michigan,DT,2025,1,13,2.7528,75.0,331.0,33.5,5.11,,,,,,7.18,97.08997491977206,0.0,,1.0,,,,,,,,,,7.9,,,,,,,14.2,9.4,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Cam Skattebo,Arizona State,RB,2025,4,105,2.7947,69.5,219.0,,4.65,39.5,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,1.95,,,,,,,,103.0,,,,,1202.0,4.09,140.3,0.3503401360544217,34.9,0.1530612244897959,0.1863799283154122,0.0118343195266272
