rank,Player,School,Pos,Year,actual_round,actual_pick,predicted_round,Height,Weight,arm_length_inches,40yd,Vertical,Broad Jump,Bench,3Cone,Shuttle,RAS,speed_score,explosive_score,agility_score,p4_conference,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,interceptions,pass_break_ups,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,true_pass_set_pressure_rate,true_pass_set_sack_rate,snap_counts_pass_block,snap_counts_run_block,grades_run_block,gap_rate,zone_rate,penalty_rate,arm_33_plus,arm_34_plus,is_center,btt_rate,twp_rate,ypa,qb_rating,pressure_to_sack_rate,sack_percent,epa,positive_epa_percent,player_game_count,yprr,yards_per_reception,caught_percent,avg_depth_of_target,targeted_qb_rating,contested_catch_rate,drop_rate,yards_after_catch_per_reception,avoided_tackles,slot_rate,wide_rate,inline_rate,route_rate,yards_after_contact,yco_attempt,elusive_rating,mtf_per_attempt,breakaway_percent,explosive_rate,targets_per_route,fumble_rate
60,Lathan Ransom,Ohio State,S,2025,4,122,3.771,72.25,206.0,30.5,,,,,,,8.85,,0.0,,1.0,0.6,10.0,449.0,97.0,14.2,0.0022271714922048,0.0022271714922048,95.4,70.0,5.3,11.9,4.1,360.0,3.0,1.0,1.0,0.0,44.4,14.0,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,,,,,,,,,,,,
61,Jack Nelson,Wisconsin,OT,2025,7,218,3.868,79.0,314.0,33.5,,,,,,,,,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0476190476190476,0.0068027210884353,147.0,359.0,75.2,0.37,0.565,0.0098814229249011,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Marques Sigle,Kansas State,S,2025,5,160,3.9251,71.375,199.0,30.75,4.37,38.0,130.0,,,,9.64,109.13330916833587,2.104191026593597,,1.0,1.0,7.3,441.0,97.1,7.5,0.0068027210884353,0.0068027210884353,88.8,58.2,6.0,15.9,5.2,309.0,0.0,3.0,3.0,25.0,9.1,13.0,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,,,,,,,,,,,,
63,Jayden Higgins,Iowa State,WR,2025,2,34,3.944,76.125,214.0,33.12,4.47,39.0,128.0,,,,9.63,107.20466313325164,1.1456773897443944,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.67,13.6,67.4,12.1,106.9,58.3,2.2,3.8,12.0,29.1,70.9,0.0,93.7,,,,,,,,
64,DJ Giddens,Kansas State,RB,2025,5,151,3.9525,72.25,212.0,,4.43,39.5,,,,4.33,9.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,1.11,,,,,,,,55.0,,,,,857.0,4.16,117.8,0.2669902912621359,54.9,0.174757281553398,0.1373390557939914,0.0088495575221238
65,John Williams,Cincinnati,OT,2025,7,250,4.036,76.125,322.0,33.88,5.17,,,29.0,7.93,4.72,,90.14127465609033,,-0.10110205905081382,1.0,,,,,,,,,,,,,,,,,,,,0.0214285714285714,0.0,140.0,365.0,65.2,0.247,0.6679999999999999,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Maxwell Hairston,Kentucky,CB,2025,1,30,4.068,71.25,183.0,31.0,4.28,39.5,129.0,,,,9.63,109.07017484741961,2.1386926370096018,,1.0,1.9,18.2,142.0,97.3,6.1,0.0070422535211267,0.028169014084507,78.2,54.5,1.3,44.4,5.4,151.0,1.0,1.0,4.0,0.0,33.3,4.0,,,,,,,,,,,,,,,,,,,,,,,,16.1,,,,,,,,,,,,,,,,,
67,Emeka Egbuka,Ohio State,WR,2025,1,19,4.0711,72.875,202.0,31.5,,,,,,,9.72,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,2.51,12.5,76.4,7.9,121.2,59.1,5.8,5.9,10.0,81.1,16.5,1.9,95.0,,,,,,,,
68,Danny Stutsman,Oklahoma,LB,2025,4,112,4.0792,75.2,233.0,32.12,4.52,34.0,119.0,,,,9.62,111.64317464788655,-0.08776142673313074,,1.0,0.7,0.0,310.0,80.9,11.8,0.0,0.0,,,15.5,9.6,2.2,326.0,0.0,0.0,0.0,20.6,11.6,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Francisco Mauigoa,Miami,LB,2025,5,162,4.1093,73.4,233.0,31.75,4.6,35.0,121.0,,7.15,4.24,9.14,104.07695798685685,0.5387293244421225,,1.0,1.0,15.9,350.0,80.8,7.5,0.0028571428571428,0.0171428571428571,,,12.7,12.3,2.2,274.0,0.0,1.0,6.0,15.4,7.7,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Savion Williams,TCU,WR,2025,3,87,4.1624,75.875,222.0,32.5,4.48,,,,,,,110.2226667233379,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.1,10.2,72.3,6.6,112.1,88.9,11.8,6.9,18.0,22.9,70.9,0.0,95.1,,,,,,,,
71,Jaylen Reed,Penn State,S,2025,6,187,4.171,71.625,211.0,30.38,4.49,33.5,,19.0,,,9.07,103.83101200397141,-0.6300774636085343,,1.0,0.8,5.3,465.0,91.9,11.7,0.0064516129032258,0.0043010752688172,108.8,84.2,5.1,11.4,6.0,396.0,0.0,3.0,2.0,38.9,27.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,
72,Jordan Burch,Oregon,ED,2025,3,78,4.1775,76.0,279.0,33.0,4.67,35.0,,,,,,117.31854729842647,0.5055688749668469,,1.0,,,,,,,,,,2.9,,,,,,,22.9,15.7,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Will Campbell,LSU,OT,2025,1,4,4.1789,77.875,319.0,32.62,4.98,32.0,113.0,,,,9.91,103.72974438292576,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0524017467248908,0.0,229.0,308.0,69.7,0.3379999999999999,0.591,0.0037243947858473,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Demetrius Knight Jr,South Carolina,LB,2025,2,49,4.1796,73.5,235.0,32.62,4.58,31.5,118.0,22.0,7.12,4.25,8.17,106.81591029045464,-1.009627552043394,,1.0,0.4,8.3,289.0,90.6,11.6,0.0034602076124567,0.0034602076124567,,,8.8,6.9,4.3,253.0,1.0,1.0,1.0,22.2,14.8,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Nick Martin,Oklahoma State,LB,2025,3,75,4.1995,71.5,221.0,32.5,4.53,38.0,123.0,,,,8.55,104.96136290292812,1.7738408253400124,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Alfred Collins,Texas,DT,2025,2,43,4.2093,77.0,332.0,34.62,,26.0,96.0,,,,,,-2.6498340115979238,,1.0,,,,,,,,,,7.4,,,,,,,14.3,6.9,305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Kain Medrano,UCLA,LB,2025,6,205,4.2387,74.4,222.0,32.0,4.46,38.0,125.0,,,,9.83,112.21309351700394,2.0960212016539472,,1.0,0.9,9.5,370.0,85.3,8.4,0.0054054054054054,0.0054054054054054,,,9.2,19.4,3.0,265.0,0.0,2.0,2.0,23.5,7.1,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Mason Taylor,LSU,TE,2025,2,42,4.2395,77.125,251.0,32.25,,,,,,,8.89,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,306.0,59.1,,,,,,,,,,,,,,,12.0,1.23,9.9,69.6,8.6,92.1,50.0,1.8,4.6,5.0,44.6,9.0,45.1,79.7,,,,,,,,
79,T.J. Sanders,South Carolina,DT,2025,2,41,4.2539,76.0,297.0,33.12,4.95,31.5,112.0,,7.7,4.67,9.38,98.93857460432298,1.802271167828854,,1.0,,,,,,,,,,8.8,,,,,,,21.4,12.6,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Bhayshul Tuten,Virginia Tech,RB,2025,4,104,4.2604,69.25,206.0,,4.32,40.5,,,,4.41,9.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,0.43,,,,,,,,61.0,,,,,818.0,4.47,143.2,0.3333333333333333,54.0,0.1857923497267759,0.1436170212765957,0.0194174757281553
81,Jarquez Hunter,Auburn,RB,2025,4,117,4.2734,69.375,204.0,,4.44,33.5,,21.0,,,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,0.73,,,,,,,,59.0,,,,,762.0,4.1,142.5,0.3172043010752688,48.0,0.2258064516129032,0.1273584905660377,0.0144927536231884
82,Oronde Gadsden II,Syracuse,TE,2025,5,165,4.2765,76.625,243.0,33.38,,34.0,114.0,,,,7.95,,0.22012163625641243,,1.0,,,,,,,,,,,,,,,,,,,,,,,246.0,66.0,,,,,,,,,,,,,,,13.0,1.89,12.8,70.9,10.3,113.5,60.7,3.9,3.5,5.0,58.3,8.7,32.6,87.9,,,,,,,,
83,Matthew Golden,Texas,WR,2025,1,23,4.2816,71.0,191.0,30.62,4.29,,,,,,,112.78054635906297,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,2.1,17.0,69.9,13.5,120.9,61.1,6.5,5.2,8.0,23.9,76.1,0.0,94.9,,,,,,,,
84,Jack Bech,TCU,WR,2025,2,58,4.3131,73.25,214.0,31.5,,34.5,125.0,,6.84,4.21,,,-0.2507293973367308,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.44,16.7,68.1,13.3,130.0,65.0,1.6,5.5,17.0,26.8,71.8,1.4,95.3,,,,,,,,
85,Darius Alexander,Toledo,DT,2025,3,65,4.3152,76.0,305.0,34.0,4.95,31.5,111.0,,7.6,,9.17,101.60358671487712,1.6368870540786629,,0.0,,,,,,,,,,7.9,,,,,,,22.8,12.9,327.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Xavier Watts,Notre Dame,S,2025,3,96,4.328,71.75,204.0,31.5,,,,,,,5.79,,0.0,,0.0,0.4,15.6,505.0,97.3,14.9,0.0118811881188118,0.0079207920792079,30.1,53.1,3.6,12.3,7.8,451.0,1.0,6.0,4.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,
87,Colston Loveland,Michigan,TE,2025,1,10,4.3364,77.75,248.0,32.75,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,140.0,53.3,,,,,,,,,,,,,,,10.0,2.67,10.4,68.3,7.1,78.4,20.0,3.4,5.2,3.0,47.6,18.6,32.5,94.4,,,,,,,,
88,Tez Johnson,Oregon,WR,2025,7,235,4.3365,69.875,154.0,29.38,4.51,37.0,131.0,,6.65,4.15,7.3,74.44654528547949,0.5250521510416721,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.6,11.0,81.2,5.9,120.2,33.3,3.5,7.4,17.0,79.3,16.0,0.8,95.3,,,,,,,,
89,Thomas Fidone II,Nebraska,TE,2025,7,219,4.3672,77.0,243.0,34.0,4.7,35.5,126.0,,7.01,4.29,9.49,99.59667445474406,0.7200589118218249,,1.0,,,,,,,,,,,,,,,,,,,,,,,171.0,56.8,,,,,,,,,,,,,,,13.0,1.41,10.4,76.6,6.8,90.1,50.0,2.7,4.5,8.0,35.1,3.4,61.5,82.3,,,,,,,,
90,RJ Harvey,UCF,RB,2025,2,60,4.3796,68.0,205.0,,4.4,38.0,,16.0,,4.34,8.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Chimere Dike,Florida,WR,2025,4,103,4.3854,72.625,196.0,32.12,4.34,38.5,128.0,,6.82,4.27,9.72,110.49106227853035,0.9905210800687139,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.3,18.6,64.6,14.9,97.1,58.3,8.7,6.0,3.0,59.3,39.9,0.6,95.8,,,,,,,,
92,Quinshon Judkins,Ohio State,RB,2025,2,36,4.3913,71.625,221.0,,4.48,38.5,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,1.13,,,,,,,,43.0,,,,,587.0,3.04,69.3,0.2227979274611398,41.2,0.1450777202072538,0.1830985915492957,0.0046511627906976
93,Tate Ratledge,Georgia,IOL,2025,2,57,4.3982,78.5,308.0,32.25,4.97,32.0,113.0,,7.38,,9.96,100.96135189318977,,1.466470405844364,1.0,,,,,,,,,,,,,,,,,,,,0.0427350427350427,0.0085470085470085,117.0,189.0,74.7,0.344,0.55,0.0032679738562091,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Kyle Williams,Washington State,WR,2025,3,69,4.4054,70.625,190.0,30.0,4.4,36.5,119.0,,,,6.34,101.38480978075265,0.3698958413659916,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.71,17.1,69.3,11.5,132.3,62.5,6.7,8.4,20.0,25.3,74.1,0.0,93.8,,,,,,,,
95,Jaylin Lane,Virginia Tech,WR,2025,4,128,4.4319,69.75,191.0,31.75,4.34,40.0,132.0,14.0,6.75,4.12,9.57,107.67241273060866,1.4559900090957556,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.71,12.3,65.5,7.5,94.5,16.7,7.3,8.3,13.0,84.5,13.7,0.7,93.8,,,,,,,,
96,Tahj Brooks,Texas Tech,RB,2025,6,193,4.4409,69.25,214.0,,4.52,35.0,,16.0,6.9,4.06,8.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,,0.71,,,,,,,,58.0,,,,,872.0,3.04,67.5,0.2020905923344947,38.9,0.1428571428571428,0.1218637992831541,0.0063492063492063
97,Jonas Sanker,Virginia,S,2025,3,93,4.4562,72.375,206.0,32.25,4.48,36.5,128.0,12.0,,,7.05,102.27869074327751,1.2810712102993909,,1.0,0.6,15.4,433.0,95.4,10.5,0.0023094688221709,0.0115473441108545,87.6,61.5,4.8,13.0,7.4,342.0,0.0,1.0,5.0,28.6,16.7,21.0,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,
98,Oluwafemi Oladejo,UCLA,ED,2025,2,52,4.4599,75.0,259.0,33.38,4.7,36.5,120.0,,,,,106.15448018015931,1.2788578048683763,,1.0,,,,,,,,,,9.3,,,,,,,14.8,10.6,325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Dorian Strong,Virginia Tech,CB,2025,6,177,4.46,73.0,185.0,30.75,4.5,36.0,116.0,15.0,,,8.34,90.23014784331657,-1.435935151985015,,1.0,1.0,12.1,408.0,99.5,6.7,0.0049019607843137,0.0147058823529411,61.6,46.6,0.3,11.1,19.8,338.0,0.0,2.0,6.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,,,,,,,,,,,,
100,Mykel Williams,Georgia,ED,2025,1,11,4.4787,77.0,260.0,34.38,4.73,35.5,125.0,,,,,103.88642006066941,1.7587192817518542,,1.0,,,,,,,,,,7.6,,,,,,,10.5,11.1,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Carson Vinson,Alabama A&M,OT,2025,5,141,4.4879,79.125,314.0,34.5,5.12,28.5,111.0,,7.51,,8.09,91.38602763414383,,1.0452131946056433,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Dylan Sampson,Tennessee,RB,2025,4,126,4.491,68.125,200.0,,,35.0,,13.0,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,0.84,,,,,,,,70.0,,,,,929.0,3.6,107.5,0.2713178294573643,30.4,0.1472868217054263,0.1470588235294117,0.014388489208633
103,Tetairoa McMillan,Arizona,WR,2025,1,8,4.53,76.125,219.0,31.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.87,15.7,64.6,13.7,105.8,60.0,7.7,5.1,29.0,21.6,78.1,0.2,94.6,,,,,,,,
104,Wyatt Milum,West Virginia,IOL,2025,3,89,4.5314,78.5,313.0,32.12,5.27,30.0,108.0,,,4.69,9.14,81.15810022225884,,0.357878185261322,1.0,,,,,,,,,,,,,,,,,,,,0.0254237288135593,0.0,118.0,349.0,89.2,0.481,0.43,0.006423982869379,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Isaac TeSlaa,Arkansas,WR,2025,3,70,4.6369,75.625,214.0,31.12,4.43,39.5,129.0,17.0,6.85,4.05,9.93,111.12937302232874,1.300833699420075,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.98,19.0,77.8,14.3,146.5,71.4,0.0,6.0,4.0,79.0,20.6,0.4,95.7,,,,,,,,
106,Damien Martinez,Miami,RB,2025,7,223,4.6661,71.625,217.0,,4.51,35.0,,,,,8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,0.98,,,,,,,,42.0,,,,,714.0,4.46,126.1,0.2625,37.4,0.15,0.1009615384615384,0.0056497175141242
107,Justin Walley,Minnesota,CB,2025,3,80,4.6735,70.125,190.0,30.625,4.4,,,,,,5.97,101.38480978075265,0.0,,1.0,1.3,18.2,320.0,95.5,5.5,0.00625,0.015625,57.8,41.8,2.8,19.0,6.2,213.0,0.0,2.0,5.0,50.0,15.4,15.0,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,
108,Jordan James,Oregon,RB,2025,5,147,4.7473,69.5,205.0,,4.55,,,,,,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,0.9,,,,,,,,58.0,,,,,740.0,3.18,80.9,0.2489270386266094,18.4,0.167381974248927,0.1441048034934497,0.0
109,Marcus Harris,California,CB,2025,6,183,4.7682,70.75,189.0,29.625,4.45,,,,,,6.86,96.39438922814374,0.0,,1.0,0.9,11.9,490.0,99.8,7.0,0.0040816326530612,0.0122448979591836,82.9,55.2,2.3,6.7,5.1,311.0,0.0,2.0,6.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
110,Pat Bryant,Illinois,WR,2025,3,74,4.7889,74.25,204.0,31.12,4.61,37.5,124.0,,,,7.08,90.33508583022707,0.6802084607173527,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2.83,18.2,69.2,14.4,140.8,69.2,1.8,6.9,14.0,21.4,76.8,1.6,91.8,,,,,,,,
111,Will Johnson,Michigan,CB,2025,2,47,4.8662,73.75,194.0,30.125,,,,,,,,,0.0,,1.0,1.1,7.7,182.0,97.8,6.7,0.0109890109890109,0.0109890109890109,52.6,61.5,4.4,20.0,9.8,93.0,0.0,2.0,2.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,
112,Quincy Riley,Louisville,CB,2025,4,131,4.8889,70.625,194.0,31.0,4.48,,,,,,,96.32070875823221,0.0,,1.0,1.4,18.5,336.0,98.2,4.8,0.0059523809523809,0.0267857142857142,73.0,47.7,1.0,45.5,1.3,212.0,0.0,2.0,9.0,50.0,33.3,6.0,,,,,,,,,,,,,,,,,,,,,,,,12.4,,,,,,,,,,,,,,,,,
113,Dominic Lovett,Georgia,WR,2025,7,244,4.9198,70.0,185.0,31.38,4.4,33.5,120.0,,,,6.66,98.71678847073285,-0.561042016688092,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.59,10.2,64.8,7.2,92.0,47.1,7.8,6.1,15.0,86.5,11.3,2.0,93.1,,,,,,,,
114,TreVeyon Henderson,Ohio State,RB,2025,2,38,4.924,70.125,202.0,,4.43,38.5,,,,,8.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,1.18,,,,,,,,37.0,,,,,643.0,4.43,108.9,0.2551724137931034,53.9,0.2206896551724138,0.1255230125523012,0.0
115,Cody Simon,Ohio State,LB,2025,4,115,4.9369,74.1,229.0,31.25,4.59,33.5,120.0,,7.19,4.3,8.35,103.18456457738603,-0.07882642600682241,,1.0,1.0,9.3,371.0,81.0,8.0,0.0,0.0080862533692722,,,7.4,12.7,3.2,344.0,0.0,0.0,3.0,20.0,15.9,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Teddye Buchanan,California,LB,2025,4,129,4.9429,73.7,233.0,31.38,4.6,40.0,125.0,26.0,,,9.42,104.07695798685685,2.7046419513765843,,1.0,0.6,6.3,437.0,81.8,12.9,0.0,0.0045766590389016,,,8.5,8.5,4.1,337.0,1.0,0.0,2.0,6.3,4.3,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Malachi Moore,Alabama,S,2025,4,130,5.0016,71.25,196.0,29.62,,,,,,,6.11,,0.0,,1.0,0.3,23.3,423.0,95.3,13.4,0.0047281323877068,0.0165484633569739,51.0,43.3,2.7,6.5,10.9,343.0,2.0,2.0,7.0,0.0,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,
118,Cody Lindenberg,Minnesota,LB,2025,7,222,5.0101,74.1,236.0,32.75,4.71,36.5,118.0,,,,8.17,95.90878077302098,0.5119243222631976,,1.0,0.9,11.1,325.0,83.8,8.6,0.003076923076923,0.0123076923076923,,,8.0,13.0,4.0,300.0,0.0,1.0,4.0,15.8,10.7,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Cameron Williams,Texas,OT,2025,6,207,5.026,77.75,317.0,34.5,,,,,,,,,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0884353741496598,0.0340136054421768,147.0,414.0,70.8,0.466,0.452,0.0124777183600713,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Benjamin Morrison,Notre Dame,CB,2025,2,53,5.0296,72.25,193.0,30.375,,,,,,,,,0.0,,0.0,0.8,11.1,168.0,98.2,6.0,0.0,0.0119047619047619,58.4,44.4,2.8,10.0,5.1,143.0,0.0,0.0,2.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,
121,Jalen McLeod,Auburn,LB,2025,6,194,5.0303,73.4,241.0,32.0,4.65,31.5,,,,,,103.09443590693644,-0.7625801488619588,,1.0,0.6,9.1,123.0,37.4,10.2,0.0,0.008130081300813,,,8.3,10.2,2.3,269.0,0.0,0.0,1.0,19.7,18.8,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Billy Bowman Jr.,Oklahoma,S,2025,4,118,5.0469,69.875,192.0,28.5,4.42,35.5,123.0,17.0,,,7.58,100.61023119333602,0.13985174796541983,,1.0,0.3,9.4,403.0,99.3,11.9,0.0049627791563275,0.0049627791563275,79.6,56.3,2.7,27.8,7.5,339.0,0.0,2.0,2.0,,33.3,3.0,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,,,,,,,,,,,,,,,
123,Caleb Rogers,Texas Tech,IOL,2025,3,98,5.0513,76.625,312.0,32.38,5.1,34.0,111.0,,7.43,4.49,9.68,92.2367273344872,,2.7897100313652325,1.0,,,,,,,,,,,,,,,,,,,,0.0558659217877094,0.0167597765363128,179.0,415.0,69.5,0.407,0.561,0.0067340067340067,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Luke Lachey,Iowa,TE,2025,7,255,5.0691,77.75,251.0,32.12,,35.0,120.0,,7.18,4.47,7.42,,0.5534131533000207,,1.0,,,,,,,,,,,,,,,,,,,,,,,295.0,51.3,,,,,,,,,,,,,,,12.0,1.12,8.3,71.8,6.3,65.2,50.0,3.4,3.5,7.0,29.4,6.8,63.8,88.1,,,,,,,,
125,Carson Bruener,Washington,LB,2025,7,226,5.0803,72.7,227.0,31.75,4.58,33.5,119.0,,,,8.85,103.17962398269448,-0.2399166141637899,,1.0,1.0,11.1,277.0,86.8,7.4,0.0108303249097472,0.0144404332129963,,,9.5,12.3,3.4,320.0,0.0,3.0,4.0,11.1,7.3,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Myles Hinton,Michigan,OT,2025,6,191,5.0914,78.75,323.0,34.12,,31.5,,,,4.96,,,,-0.96399975104275,1.0,,,,,,,,,,,,,,,,,,,,0.0754716981132075,0.0094339622641509,106.0,313.0,66.0,0.546,0.412,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Graham Mertz,Florida,QB,2025,6,197,5.0959,75.375,212.0,31.25,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.3,8.4,113.4,14.3,3.7,0.13,53.3,5.0,,,,7.6,,,,,,,,,,,,,,,,,
128,Bilhal Kone,Western Michigan,CB,2025,6,178,5.1404,73.25,190.0,30.75,4.43,,124.0,,,,7.81,98.66626576748813,-0.0015780452292121563,,0.0,1.1,17.4,367.0,97.9,7.5,0.0027247956403269,0.0163487738419618,79.3,45.7,2.6,16.7,9.7,392.0,0.0,1.0,6.0,33.3,12.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,15.1,,,,,,,,,,,,,,,,,
129,Devin Neal,Kansas,RB,2025,6,184,5.179,71.125,213.0,,4.58,37.5,,,,,6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,1.3,,,,,,,,47.0,,,,,814.0,3.73,85.7,0.2155963302752293,37.1,0.1605504587155963,0.1519607843137254,0.0040983606557377
130,Upton Stout,Western Kentucky,CB,2025,3,100,5.1832,73.0,181.0,30.0,4.44,37.5,128.0,21.0,,4.29,7.61,93.14867681269142,1.2423853276615335,,0.0,0.7,5.9,234.0,86.3,13.1,0.0042735042735042,0.0042735042735042,96.0,70.6,4.7,4.7,5.9,362.0,0.0,1.0,1.0,18.8,17.1,37.0,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,
131,Branson Taylor,Pittsburgh,OT,2025,6,199,5.2224,78.0,321.0,32.75,,,,,,,8.52,,,-0.0,1.0,,,,,,,,,,,,,,,,,,,,0.0576923076923076,0.0,52.0,113.0,57.9,0.3979999999999999,0.5489999999999999,0.006060606060606,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
