Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,interceptions,pass_break_ups,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,avg_depth_of_target
2018,Troy Apke,S,Penn State,6-2,198.0,4.34,41.0,16.0,131.0,6.56,4.03,True,4.0,109.0,9.94,32.38,0.0,0.0,18.0,3.8,13.8,6.7,272.0,0.0,0.4,17.9,415.0,95.8,1.0,3.0,14.1,0.0024096385542168677,0.007228915662650603,90.9,67.9,9.4
2018,Jessie Bates,S,Wake Forest,6-2,195.0,4.5,35.5,,117.0,6.78,4.26,True,2.0,54.0,7.2,31.62,,0.0,3.0,5.2,16.1,8.4,352.0,1.0,0.7,11.9,422.0,99.3,1.0,5.0,9.7,0.002369668246445498,0.011848341232227487,84.1,59.5,7.7
2018,Quin Blanding,S,Virginia,6-2,215.0,4.63,31.5,,122.0,,,False,,,7.34,31.75,0.0,0.0,10.0,6.2,9.2,6.4,470.0,0.0,0.8,12.5,408.0,97.6,4.0,4.0,12.1,0.00980392156862745,0.00980392156862745,66.1,65.6,11.6
2018,Sean Chandler,S,Temple,6-0,190.0,4.65,34.5,16.0,119.0,,4.62,False,,,2.48,30.75,25.0,12.5,8.0,1.3,4.7,12.7,408.0,1.0,0.8,9.1,456.0,98.3,3.0,4.0,9.6,0.006578947368421052,0.008771929824561403,77.4,59.1,12.3
2018,Dane Cruikshank,S,Arizona,6-1,206.0,4.41,38.5,25.0,121.0,6.89,4.24,True,5.0,152.0,,31.0,12.5,7.0,61.0,6.7,11.8,6.7,427.0,2.0,0.8,10.0,443.0,87.9,3.0,4.0,7.1,0.006772009029345372,0.009029345372460496,71.6,65.0,6.3
2018,Terrell Edmunds,S,Virginia Tech,6-2,220.0,4.47,41.5,,134.0,,,True,1.0,28.0,9.89,32.75,100.0,12.5,8.0,3.8,9.1,5.6,297.0,0.0,1.3,14.3,298.0,97.4,2.0,4.0,8.1,0.006711409395973154,0.013422818791946308,102.4,60.0,15.0
2018,Deshon Elliott,S,Texas,6-2,205.0,4.58,36.0,15.0,121.0,,,True,6.0,190.0,5.19,32.25,14.3,7.3,43.0,3.1,7.0,8.0,367.0,0.0,0.7,24.3,434.0,91.0,6.0,9.0,11.3,0.013824884792626729,0.020737327188940093,65.8,54.1,12.3
2018,Tre Flowers,S,Oklahoma State,6-3,200.0,4.45,34.5,18.0,122.0,,,True,5.0,146.0,8.55,33.88,,,,3.5,7.1,7.0,346.0,1.0,0.7,29.4,465.0,100.0,2.0,9.0,12.8,0.004301075268817204,0.01935483870967742,82.0,55.9,11.0
2018,Marcell Harris,S,Florida,6-0,208.0,,,16.0,,,,True,6.0,184.0,,32.0,0.0,0.0,8.0,4.3,12.5,7.7,286.0,1.0,0.3,9.5,269.0,97.1,2.0,1.0,12.1,0.007434944237918215,0.0037174721189591076,40.5,57.1,7.0
2018,Ronnie Harrison,S,Alabama,6-3,214.0,,34.0,,120.0,,,True,3.0,93.0,7.49,33.38,10.0,7.1,14.0,3.8,12.2,5.9,370.0,0.0,0.3,22.2,470.0,97.1,3.0,3.0,25.1,0.006382978723404255,0.006382978723404255,38.9,55.6,7.1
