Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush,stop_percent,missed_tackle_rate,avg_depth_of_tackle,snap_counts_run,forced_fumbles,yards_per_coverage_snap,forced_incompletion_rate,snap_counts_coverage,coverage_percent,interceptions,pass_break_ups,coverage_snaps_per_target,INT_rate,PBU_rate,qb_rating_against,catch_rate,avg_depth_of_target
2020,A.J. Terrell,CB,Clemson,6-1,195.0,4.42,34.5,15.0,129.0,,,True,1.0,16.0,8.73,,11.1,5.3,19.0,1.2,35.0,6.0,341.0,0.0,0.9,13.6,426.0,95.7,2.0,4.0,9.4,0.004694835680751174,0.009389671361502348,86.6,52.3,13.8
2020,Stantley Thomas-Oliver,CB,Florida International,6-0,192.0,4.48,34.0,,127.0,,,True,7.0,221.0,8.24,,,0.0,3.0,1.2,16.7,11.3,426.0,0.0,1.3,17.5,408.0,99.3,1.0,7.0,6.6,0.0024509803921568627,0.01715686274509804,99.3,61.4,11.9
2020,Kindle Vildor,CB,Georgia Southern,5-10,191.0,4.44,39.5,22.0,133.0,7.14,4.28,True,5.0,163.0,7.61,,,,,,,,,,,,,,,,,,,,,
2021,Paulson Adebo,CB,Stanford,6-1,198.0,4.45,36.5,18.0,121.0,6.69,4.13,True,3.0,76.0,9.55,,,,,,,,,,,,,,,,,,,,,
2021,Dicaprio Bootle,CB,Nebraska,5-9,180.0,4.38,36.5,16.0,126.0,6.77,4.03,False,,,8.23,,0.0,0.0,6.0,0.8,28.6,4.0,256.0,0.0,0.9,17.2,276.0,97.9,1.0,3.0,9.1,0.0036231884057971015,0.010869565217391304,91.9,55.2,15.4
2021,Kimere Brown,CB,Temple,5-11,175.0,4.57,32.5,,124.0,7.37,4.32,False,,,2.6,,,,,0.0,,,32.0,0.0,0.3,40.0,29.0,100.0,0.0,2.0,5.6,0.0,0.06896551724137931,39.6,20.0,25.0
2021,Shakur Brown,CB,Michigan St.,5-9,185.0,4.61,35.5,17.0,116.0,7.08,4.23,False,,,2.73,,0.0,33.3,3.0,1.9,0.0,10.3,213.0,0.0,1.2,11.9,274.0,98.9,5.0,4.0,6.0,0.01824817518248175,0.014598540145985401,52.4,61.9,8.6
2021,Tre Brown,CB,Oklahoma,5-9,185.0,4.42,38.0,13.0,123.0,7.11,4.27,True,4.0,137.0,6.34,,,25.0,5.0,0.6,16.7,13.8,168.0,0.0,0.9,20.5,329.0,98.5,3.0,5.0,6.9,0.00911854103343465,0.015197568389057751,46.2,47.7,11.7
2021,Lorenzo Burns,CB,Arizona,5-10,183.0,4.56,33.5,14.0,123.0,7.55,4.51,False,,,2.47,,,,,2.5,26.7,4.6,160.0,0.0,0.3,6.7,126.0,100.0,0.0,0.0,7.6,0.0,0.0,59.0,53.3,10.8
2021,Camryn Bynum,CB,California,6-0,196.0,4.58,34.0,,129.0,6.99,4.1,True,4.0,125.0,7.8,,,,,3.7,25.0,3.8,136.0,0.0,0.9,10.0,125.0,100.0,1.0,1.0,12.1,0.008,0.008,104.6,70.0,15.0
2021,Mallory Claybourne,CB,Coastal Carolina,5-9,191.0,4.57,33.0,12.0,116.0,7.37,4.32,False,,,,,,,,,,,,,,,,,,,,,,,,
2021,Mark Gilbert,CB,Duke,6-0,186.0,4.47,36.0,13.0,130.0,7.05,4.37,False,,,7.18,,,0.0,1.0,0.0,25.0,19.5,46.0,0.0,1.8,0.0,58.0,98.3,1.0,0.0,6.9,0.017241379310344827,0.0,105.2,62.5,19.3
2021,Darren Hall,CB,San Diego St.,5-11,188.0,4.47,38.5,16.0,132.0,7.07,4.28,True,4.0,108.0,8.01,,,,,2.5,0.0,4.0,208.0,0.0,1.2,10.4,317.0,100.0,3.0,4.0,6.4,0.00946372239747634,0.012618296529968454,76.4,64.6,14.9
2021,Thomas Graham Jr.,CB,Oregon,5-10,192.0,4.49,34.5,13.0,121.0,7.08,4.21,False,,,5.63,,,,,,,,,,,,,,,,,,,,,
2021,Kary Vincent Jr.,CB,LSU,5-9,185.0,4.36,35.5,8.0,117.0,,,True,7.0,237.0,,,,,,,,,,,,,,,,,,,,,,
2021,Cameron Kinley,CB,Navy,6-0,197.0,4.52,33.0,10.0,116.0,7.06,4.25,False,,,,,0.0,0.0,3.0,1.6,25.0,7.8,246.0,0.0,1.3,10.8,189.0,98.4,1.0,3.0,4.9,0.005291005291005291,0.015873015873015872,90.4,64.9,10.9
2021,Deommodore Lenoir,CB,Oregon,5-10,199.0,4.48,34.5,15.0,121.0,7.02,4.35,True,5.0,172.0,7.58,,,,1.0,1.3,5.9,8.1,234.0,1.0,0.8,9.1,250.0,99.6,1.0,0.0,7.3,0.004,0.0,90.3,54.5,12.2
2021,Nick McCloud,CB,Notre Dame,6-0,193.0,4.45,34.0,12.0,,6.88,4.16,False,,,8.34,,0.0,0.0,1.0,0.8,14.3,8.6,238.0,0.0,1.1,12.5,385.0,99.7,1.0,5.0,6.6,0.0025974025974025974,0.012987012987012988,93.6,53.6,11.9
2021,Corey Straughter,CB,La-Monroe,5-10,184.0,4.62,35.0,11.0,117.0,7.37,4.58,False,,,,,100.0,50.0,2.0,0.0,0.0,10.5,112.0,0.0,3.4,11.1,45.0,95.7,0.0,1.0,4.6,0.0,0.022222222222222223,155.8,88.9,14.2
