Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season
2011,Ryan Winterswyk,DE,Boise State,6-4,268.0,4.96,30.0,18.0,111.0,7.01,4.37,False,,,,,,,,
2012,Frank Alexander,DE,Oklahoma,6-4,270.0,4.8,,,,,,True,4.0,103.0,,,,,,
2012,Jake Bequette,DE,Arkansas,6-5,274.0,4.75,34.0,,113.0,6.9,4.07,True,3.0,90.0,,,,,,
2012,Jamie Blatnick,DE,Oklahoma State,6-3,263.0,4.81,32.5,28.0,112.0,7.22,4.2,False,,,,,,,,
2012,Andre Branch,DE,Clemson,6-4,259.0,4.67,32.5,19.0,120.0,7.19,4.25,True,2.0,38.0,,,,,,
2012,Quinton Coples,DE,North Carolina,6-6,284.0,4.69,31.5,25.0,109.0,7.57,4.78,True,1.0,16.0,,,,,,
2012,Jack Crawford,DE,Penn State,6-5,274.0,4.74,33.0,,116.0,7.15,4.25,True,5.0,158.0,,,,,,
2012,Tyrone Crawford,DE,Boise State,6-4,275.0,4.82,33.0,28.0,113.0,7.09,4.44,True,3.0,81.0,,,,,,
2012,Jared Crick,DE,Nebraska,6-4,279.0,4.91,31.0,,104.0,7.47,4.4,True,4.0,126.0,,,,,,
2012,Vinny Curry,DE,Marshall,6-3,266.0,4.87,32.0,,110.0,6.9,4.4,True,2.0,59.0,,,,,,
2012,Justin Francis,DE,Rutgers,6-2,268.0,4.9,32.0,23.0,109.0,7.05,4.35,False,,,,,,,,
2012,Trevor Guyton,DE,California,6-3,285.0,5.01,31.0,,105.0,7.45,4.53,True,7.0,219.0,,,,,,
2012,Malik Jackson,DE,Tennessee,6-5,284.0,4.85,28.0,25.0,105.0,7.38,4.41,True,5.0,137.0,,,,,,
2012,Jamaar Jarrett,DE,Arizona State,6-5,265.0,4.96,30.0,21.0,114.0,,4.34,False,,,,,,,,
2012,Cam Johnson,DE,Virginia,6-3,268.0,4.75,35.0,,105.0,7.2,4.38,True,7.0,237.0,,,,,,
2012,Chandler Jones,DE,Syracuse,6-5,266.0,4.77,35.0,22.0,120.0,7.07,4.38,True,1.0,21.0,,,,,,
2012,Whitney Mercilus,DE,Illinois,6-4,261.0,4.68,32.0,27.0,118.0,7.17,4.53,True,1.0,26.0,,,,,,
2012,Donte Paige-Moss,DE,North Carolina,6-3,268.0,4.67,,26.0,,,,False,,,,,,,,
2012,Nick Perry,DE,USC,6-3,271.0,4.55,38.5,35.0,124.0,7.25,4.66,True,1.0,28.0,,,,,,
2012,Derrick Shelby,DE,Utah,6-3,266.0,4.87,35.5,26.0,116.0,7.09,4.5,False,,,,,,,,
2012,Jacquies Smith,DE,Missouri,6-3,253.0,4.75,31.5,21.0,110.0,7.25,4.31,False,,,,,,,,
2012,Scott Solomon,DE,Rice,6-3,262.0,4.88,35.0,34.0,124.0,7.17,4.25,True,7.0,211.0,,,,,,
2012,Courtney Upshaw,DE,Alabama,6-2,272.0,4.74,,22.0,,,,True,2.0,35.0,,,,,,
2012,Olivier Vernon,DE,Miami (FL),6-2,261.0,4.73,34.5,31.0,122.0,7.39,4.5,True,3.0,72.0,,,,,,
2012,Billy Winn,DE,Boise State,6-4,294.0,4.86,27.0,24.0,107.0,7.37,4.44,True,6.0,205.0,,,,,,
2013,Ziggy Ansah,DE,BYU,6-5,271.0,4.56,34.5,21.0,118.0,7.11,4.26,True,1.0,5.0,,,,,,
2013,David Bass,DE,Missouri Western State,6-4,262.0,4.84,30.5,20.0,111.0,7.07,4.33,True,7.0,233.0,,,,,,
2013,Armonty Bryant,DE,East Central (OK),6-4,263.0,4.86,31.5,,118.0,7.32,5.0,True,7.0,217.0,,,,,,
2013,Michael Buchanan,DE,Illinois,6-5,255.0,4.78,33.0,22.0,113.0,6.91,4.44,True,7.0,226.0,,,,,,
2013,Tank Carradine,DE,Florida State,6-4,276.0,4.9,,28.0,,,,True,2.0,40.0,,,,,,
2013,Lavar Edwards,DE,LSU,6-4,277.0,4.8,33.0,,119.0,7.03,4.51,True,5.0,142.0,,,,,,
2013,William Gholston,DE,Michigan State,6-6,281.0,4.96,28.5,23.0,110.0,7.2,4.59,True,4.0,126.0,,,,,,
2013,Malliciah Goodman,DE,Clemson,6-4,276.0,4.87,31.5,26.0,114.0,,,True,4.0,127.0,,,,,,
2013,Margus Hunt,DE,SMU,6-8,277.0,4.62,34.5,38.0,121.0,7.07,4.51,True,2.0,53.0,,,,,,
2013,Brandon Jenkins,DE,Florida State,6-2,251.0,5.07,,18.0,,,,True,5.0,162.0,,,,,,
2013,Datone Jones,DE,UCLA,6-4,283.0,4.8,31.5,29.0,112.0,7.32,4.32,True,1.0,26.0,,,,,,
2013,Joe Kruger,DE,Utah,6-6,269.0,4.83,34.0,24.0,117.0,7.17,4.46,True,7.0,212.0,,,,,,
2013,Corey Lemonier,DE,Auburn,6-3,255.0,4.6,33.0,27.0,119.0,7.14,4.4,True,3.0,88.0,,,,,,
2013,Stansly Maponga,DE,TCU,6-2,256.0,4.78,,30.0,,,,True,5.0,153.0,,,,,,
2013,Sam Montgomery,DE,LSU,6-3,262.0,4.81,34.5,,114.0,7.18,4.51,True,3.0,95.0,,,,,,
2013,Damontre Moore,DE,Texas A&M,6-4,250.0,4.95,35.5,12.0,122.0,,,True,3.0,81.0,,,,,,
2013,Alex Okafor,DE,Texas,6-4,264.0,4.78,,21.0,,,,True,4.0,103.0,,,,,,
2013,Quanterus Smith,DE,Western Kentucky,6-5,250.0,4.74,,,,,,True,5.0,146.0,,,,,,
2013,Damion Square,DE,Alabama,6-2,293.0,5.23,,,,,,False,,,,,,,,
2013,Walter Stewart,DE,Cincinnati,6-4,246.0,4.69,,,,,,False,,,,,,,,
2013,Devin Taylor,DE,South Carolina,6-7,266.0,4.72,35.0,14.0,128.0,6.89,4.3,True,4.0,132.0,,,,,,
2013,Cornelius Washington,DE,Georgia,6-4,265.0,4.55,39.0,36.0,128.0,,,True,6.0,188.0,,,,,,
2013,Bjoern Werner,DE,Florida State,6-3,266.0,4.83,31.0,25.0,111.0,7.3,4.4,True,1.0,24.0,,,,,,
2013,Tourek Williams,DE,Florida International,6-3,260.0,4.92,33.0,25.0,112.0,,,True,6.0,179.0,,,,,,
2014,Will Clarke,DE,West Virginia,6-6,271.0,4.77,32.0,22.0,112.0,7.26,4.57,True,3.0,88.0,,,,,,
2014,Jadeveon Clowney,DE,South Carolina,6-5,266.0,4.53,37.5,21.0,124.0,7.27,4.43,True,1.0,1.0,,,,,,
2014,Scott Crichton,DE,Oregon State,6-3,273.0,4.84,31.5,24.0,108.0,7.19,4.29,True,3.0,72.0,,,,,,
2014,Kony Ealy,DE,Missouri,6-4,273.0,4.92,31.0,22.0,114.0,6.83,4.45,True,2.0,60.0,,,,,,
2014,I.K. Enemkpali,DE,Louisiana Tech,6-1,261.0,4.86,34.0,28.0,112.0,7.67,4.65,True,6.0,210.0,,,,,,
2014,Dee Ford,DE,Auburn,6-2,252.0,,,,,,,True,1.0,23.0,,,,,,
2014,James Gayle,DE,Virginia Tech,6-4,259.0,4.7,37.0,26.0,122.0,7.19,4.27,False,,,,,,,,
2014,Taylor Hart,DE,Oregon,6-6,281.0,4.92,,21.0,,,,True,5.0,141.0,,,,,,
2014,Jackson Jeffcoat,DE,Texas,6-3,247.0,4.63,36.0,18.0,123.0,6.97,4.18,False,,,,,,,,
2014,Demarcus Lawrence,DE,Boise State,6-3,251.0,4.8,34.5,20.0,113.0,7.46,4.31,True,2.0,34.0,,,,,,
2014,Aaron Lynch,DE,South Florida,6-5,249.0,4.76,,18.0,,,,True,5.0,150.0,,,,,,
2014,Cassius Marsh,DE,UCLA,6-4,252.0,4.89,32.0,14.0,108.0,7.08,4.25,True,4.0,108.0,,,,,,
2014,Kareem Martin,DE,North Carolina,6-6,272.0,4.72,35.5,22.0,129.0,7.2,4.33,True,3.0,84.0,,,,,,
