Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Sacks_cumulative,TFL_cumulative,QB_Hurry_cumulative,Sacks_final_season,TFL_final_season,QB_Hurry_final_season
2017,Charles Walker,DT,Oklahoma,6-2,310.0,4.96,28.0,25.0,107.0,7.89,4.96,False,,,0.0,2.0,2.0,0.0,2.0,2.0
2017,Carlos Watkins,DT,Clemson,6-3,309.0,,,25.0,,,,True,4.0,142.0,10.5,13.5,4.0,10.5,13.5,4.0
2017,Chris Wormley,DT,Michigan,6-5,298.0,,,23.0,,,,True,3.0,74.0,6.0,8.0,6.0,6.0,8.0,6.0
2018,John Atkins,DT,Georgia,6-4,321.0,5.38,24.0,,89.0,7.95,4.75,False,,,0.0,2.5,1.0,0.0,1.0,0.0
2018,Taven Bryan,DT,Florida,6-4,291.0,4.98,35.0,30.0,119.0,7.12,4.48,True,1.0,29.0,5.0,9.0,5.0,4.0,6.0,3.0
2018,Foley Fatukasi,DT,Connecticut,6-4,318.0,5.29,30.0,33.0,112.0,7.44,4.53,False,,,,,,,,
2018,Joshua Frazier,DT,Alabama,6-4,321.0,,,21.0,,,,True,7.0,246.0,1.0,3.5,1.0,0.0,2.5,1.0
2018,Zaycoven Henderson,DT,Texas A&M,6-0,298.0,5.16,29.5,20.0,105.0,7.33,4.58,False,,,5.5,15.0,5.0,2.5,5.0,3.0
2018,B.J. Hill,DT,North Carolina State,6-4,311.0,4.99,26.5,35.0,101.0,7.28,4.53,True,3.0,69.0,,,,,,
2018,Maurice Hurst,DT,Michigan,6-2,292.0,,,,,,,True,5.0,140.0,10.0,24.5,8.0,5.5,13.5,2.0
2018,Justin Jones,DT,North Carolina State,6-2,309.0,5.09,29.0,24.0,104.0,7.82,4.74,True,3.0,84.0,,,,,,
2018,Lowell Lotulelei,DT,Utah,6-2,315.0,,,28.0,,,,False,,,5.0,11.5,2.0,1.5,3.5,1.0
2018,R.J. McIntosh,DT,Miami (FL),6-4,286.0,,,,,,,True,5.0,139.0,,,,,,
2018,Kahlil McKenzie,DT,Tennessee,6-5,314.0,5.15,29.5,26.0,105.0,7.94,4.68,True,6.0,198.0,,,,,,
2018,Bilal Nichols,DT,Delaware,6-4,306.0,4.95,,29.0,,,,True,5.0,145.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,Derrick Nnadi,DT,Florida State,6-1,317.0,5.38,27.0,25.0,96.0,8.15,5.02,True,3.0,75.0,9.5,20.5,4.0,3.5,10.0,2.0
2018,Kendrick Norton,DT,Miami (FL),6-3,314.0,5.25,,30.0,,,,True,7.0,242.0,4.0,16.5,2.0,2.0,6.5,1.0
2018,Daron Payne,DT,Alabama,6-2,311.0,4.95,28.5,27.0,107.0,7.58,4.71,True,1.0,13.0,,,,,,
2018,Harrison Phillips,DT,Stanford,6-4,307.0,5.21,32.0,42.0,103.0,7.28,4.5,True,3.0,96.0,13.5,24.5,8.0,7.0,15.0,5.0
2018,Deadrin Senat,DT,South Florida,6-0,314.0,5.16,26.0,35.0,100.0,7.77,4.79,True,3.0,90.0,7.0,17.5,1.0,6.0,10.5,1.0
2018,Tim Settle,DT,Virginia Tech,6-3,329.0,5.37,23.5,,96.0,7.95,4.83,True,5.0,163.0,4.0,19.5,4.0,4.0,12.5,2.0
2018,Nathan Shepherd,DT,Fort Hays State,6-5,315.0,5.09,31.0,,112.0,7.5,4.53,True,3.0,72.0,,,,,,
2018,Breeland Speaks,DT,Mississippi,6-3,283.0,4.87,32.5,,110.0,7.63,4.65,True,2.0,46.0,8.0,9.5,16.0,7.0,8.0,8.0
2018,Taylor Stallworth,DT,South Carolina,6-2,312.0,5.28,23.5,18.0,101.0,7.95,4.75,False,,,1.0,5.5,12.0,0.0,2.5,10.0
2018,Trenton Thompson,DT,Georgia,6-4,288.0,5.06,32.5,,111.0,7.68,4.56,False,,,5.0,13.0,0.0,0.0,3.5,0.0
2018,Vita Vea,DT,Washington,6-4,347.0,5.1,,41.0,,,,True,1.0,12.0,8.5,12.0,2.0,3.5,5.5,0.0
2018,Eddy Wilson,DT,Purdue,6-4,301.0,5.37,,26.0,96.0,,,False,,,3.5,8.5,3.0,1.0,2.5,3.0
