Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,attempts,yards,yards_after_contact,yco_attempt,ypa,touchdowns,total_touches,explosive,first_downs,fumbles,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,elusive_rating,elu_rush_mtf,mtf_per_attempt,explosive_rate,yprr,targets,routes,targets_per_route,fumble_rate
2017,Kareem Hunt,RB,Toledo,,216.0,4.62,36.5,18.0,119.0,,,True,3.0,86.0,5.15,,261.0,1473.0,904.0,3.46,5.6,10.0,302.0,49.0,81.0,0.0,76.0,19.0,29.3,431.0,112.4,76.0,0.29118773946360155,0.18773946360153257,2.14,43.0,188.0,0.22872340425531915,0.0
2017,Rushel Shell III,RB,West Virginia,,227.0,4.74,32.5,21.0,,,,False,,,2.79,,113.0,514.0,293.0,2.59,4.5,5.0,125.0,15.0,26.0,1.0,17.0,5.0,19.3,99.0,43.6,17.0,0.1504424778761062,0.13274336283185842,0.87,15.0,115.0,0.13043478260869565,0.008
2017,Aaron Jones,RB,Texas-El Paso,,208.0,4.56,37.5,16.0,127.0,6.82,4.2,True,5.0,182.0,9.21,,228.0,1766.0,907.0,3.98,7.7,17.0,256.0,44.0,66.0,3.0,41.0,28.0,56.4,996.0,73.0,41.0,0.17982456140350878,0.19298245614035087,1.33,35.0,175.0,0.2,0.01171875
2017,Alvin Kamara,RB,Tennessee,,214.0,4.56,39.5,15.0,131.0,,,True,3.0,67.0,8.08,,103.0,596.0,389.0,3.78,5.8,9.0,143.0,19.0,32.0,2.0,26.0,12.0,47.7,284.0,132.1,26.0,0.2524271844660194,0.18446601941747573,2.39,49.0,163.0,0.3006134969325153,0.013986013986013986
2017,T.J. Logan,RB,North Carolina,,196.0,4.37,33.5,17.0,121.0,,,True,5.0,179.0,7.56,,119.0,630.0,349.0,2.93,5.3,7.0,149.0,22.0,35.0,2.0,26.0,12.0,41.1,259.0,66.9,26.0,0.2184873949579832,0.18487394957983194,1.63,35.0,160.0,0.21875,0.013422818791946308
2017,Marlon Mack,RB,South Florida,,213.0,4.5,35.5,15.0,125.0,,,True,4.0,143.0,8.78,,,,,,,,,,,,,,,,,,,,,,,,
2017,Christian McCaffrey,RB,Stanford,,202.0,4.48,37.5,10.0,121.0,6.57,4.22,True,1.0,8.0,8.52,,252.0,1590.0,830.0,3.29,6.3,13.0,290.0,38.0,74.0,3.0,44.0,16.0,37.9,602.0,73.8,44.0,0.1746031746031746,0.15079365079365079,1.66,46.0,191.0,0.24083769633507854,0.010344827586206896
2017,Elijah McGuire,RB,Louisiana,,214.0,4.53,36.0,15.0,120.0,7.26,4.56,True,6.0,188.0,4.62,,,,,,,,,,,,,,,,,,,,,,,,
2017,Jeremy McNichols,RB,Boise State,,214.0,4.49,35.5,,121.0,6.93,4.28,True,5.0,162.0,8.39,,312.0,1698.0,1104.0,3.54,5.4,23.0,351.0,33.0,90.0,4.0,62.0,20.0,38.5,653.0,66.5,62.0,0.1987179487179487,0.10576923076923077,1.88,44.0,257.0,0.17120622568093385,0.011396011396011397
2017,Dare Ogunbowale,RB,Wisconsin,,213.0,4.65,35.0,14.0,120.0,6.99,4.34,False,,,4.47,,91.0,506.0,236.0,2.59,5.6,5.0,115.0,13.0,20.0,0.0,17.0,9.0,41.5,210.0,49.6,17.0,0.18681318681318682,0.14285714285714285,1.26,29.0,165.0,0.17575757575757575,0.0
2017,Samaje Perine,RB,Oklahoma,,233.0,4.65,33.0,30.0,116.0,7.26,4.37,True,4.0,114.0,4.94,,196.0,1063.0,639.0,3.26,5.4,12.0,206.0,29.0,54.0,2.0,31.0,16.0,36.4,387.0,55.4,31.0,0.15816326530612246,0.14795918367346939,1.13,11.0,94.0,0.11702127659574468,0.009708737864077669
2017,Donnel Pumphrey,RB,San Diego State,,176.0,4.48,33.5,5.0,117.0,,,True,4.0,132.0,4.01,,350.0,2132.0,1188.0,3.39,6.1,17.0,377.0,59.0,96.0,2.0,74.0,38.0,47.0,1003.0,68.4,74.0,0.21142857142857144,0.16857142857142857,1.17,39.0,201.0,0.19402985074626866,0.005305039787798408
2017,Devine Redding,RB,Indiana,,205.0,4.76,30.5,16.0,116.0,7.18,4.46,False,,,1.11,,253.0,1113.0,705.0,2.79,4.4,7.0,280.0,35.0,56.0,4.0,40.0,15.0,29.9,333.0,46.8,40.0,0.15810276679841898,0.1383399209486166,0.77,36.0,189.0,0.19047619047619047,0.014285714285714285
2017,De'Veon Smith,RB,Michigan,,223.0,,29.0,22.0,108.0,7.3,4.56,False,,,0.79,,181.0,846.0,549.0,3.03,4.7,10.0,197.0,23.0,50.0,1.0,42.0,11.0,34.9,295.0,75.4,42.0,0.23204419889502761,0.1270718232044199,0.41,20.0,161.0,0.12422360248447205,0.005076142131979695
2017,Jahad Thomas,RB,Temple,,190.0,4.62,32.0,11.0,116.0,,,False,,,1.24,,207.0,954.0,591.0,2.86,4.6,13.0,239.0,28.0,54.0,2.0,26.0,11.0,28.8,275.0,37.0,25.0,0.12077294685990338,0.13526570048309178,1.94,41.0,216.0,0.18981481481481483,0.008368200836820083
2017,Jamaal Williams,RB,BYU,,212.0,4.59,30.0,,123.0,7.25,4.53,True,4.0,134.0,4.55,,,,,,,,,,,,,,,,,,,,,,,,
2017,Joe Williams,RB,Utah,,210.0,4.41,35.0,14.0,125.0,7.19,4.19,True,4.0,121.0,7.78,,210.0,1389.0,718.0,3.42,6.6,10.0,219.0,36.0,62.0,5.0,31.0,22.0,48.2,670.0,54.6,31.0,0.14761904761904762,0.17142857142857143,0.79,13.0,135.0,0.0962962962962963,0.0228310502283105
2017,Stanley Williams,RB,Kentucky,,190.0,4.51,36.0,18.0,121.0,6.86,4.18,False,,,7.63,,173.0,1174.0,530.0,3.06,6.8,7.0,181.0,34.0,44.0,3.0,28.0,20.0,51.7,607.0,52.5,28.0,0.16184971098265896,0.19653179190751446,0.54,11.0,103.0,0.10679611650485436,0.016574585635359115
2018,Josh Adams,RB,Notre Dame,,213.0,,,18.0,,,,False,,,9.52,,206.0,1431.0,1019.0,4.95,6.9,9.0,219.0,29.0,56.0,0.0,44.0,17.0,56.0,802.0,106.2,44.0,0.21359223300970873,0.1407766990291262,0.48,20.0,212.0,0.09433962264150944,0.0
2018,Kalen Ballage,RB,Arizona State,,228.0,4.46,33.5,15.0,122.0,6.91,4.35,True,4.0,131.0,9.12,,157.0,669.0,387.0,2.46,4.3,6.0,177.0,15.0,37.0,0.0,13.0,9.0,26.0,174.0,25.1,13.0,0.08280254777070063,0.09554140127388536,0.41,32.0,224.0,0.14285714285714285,0.0
2018,Saquon Barkley,RB,Penn State,,233.0,4.4,41.0,29.0,,,4.24,True,1.0,2.0,9.97,,218.0,1272.0,772.0,3.54,5.8,18.0,272.0,29.0,59.0,0.0,39.0,19.0,56.6,720.0,69.0,39.0,0.17889908256880735,0.13302752293577982,1.95,65.0,321.0,0.20249221183800623,0.0
2018,Nick Chubb,RB,Georgia,,227.0,4.52,38.5,29.0,128.0,7.09,4.25,True,2.0,35.0,9.15,,223.0,1344.0,839.0,3.76,6.0,15.0,227.0,42.0,61.0,0.0,53.0,23.0,45.8,615.0,91.2,53.0,0.23766816143497757,0.18834080717488788,0.45,5.0,67.0,0.07462686567164178,0.0
2018,Lavon Coleman,RB,Washington,,215.0,4.65,33.0,23.0,120.0,,,False,,,5.34,,89.0,405.0,262.0,2.94,4.6,4.0,102.0,13.0,19.0,2.0,16.0,5.0,31.6,128.0,72.2,16.0,0.1797752808988764,0.14606741573033707,1.41,14.0,110.0,0.12727272727272726,0.0196078431372549
2018,Justin Crawford,RB,West Virginia,,199.0,4.64,33.5,11.0,122.0,,,False,,,3.34,,191.0,1057.0,505.0,2.64,5.5,7.0,199.0,35.0,59.0,3.0,22.0,15.0,32.5,343.0,31.9,22.0,0.11518324607329843,0.18324607329842932,0.22,11.0,171.0,0.06432748538011696,0.01507537688442211
2018,Chase Edmonds,RB,Fordham,,205.0,4.55,34.0,19.0,122.0,6.79,4.07,True,4.0,134.0,7.89,,,,,,,,,,,,,,,,,,,,,,,,
2018,Donnie Ernsberger,RB,Western Michigan,,241.0,4.78,31.0,15.0,114.0,7.09,4.34,False,,,5.56,,,,,,,,,,,,,,,,,,,,,,,,
2018,Dimitri Flowers,RB,Oklahoma,,248.0,4.83,30.5,17.0,109.0,7.45,4.53,False,,,3.24,,14.0,22.0,18.0,1.29,1.6,4.0,40.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,2.92,28.0,159.0,0.1761006289308176,0.0
2018,Jarvion Franklin,RB,West. Michigan,,239.0,4.63,30.0,18.0,109.0,6.93,4.31,False,,,5.24,,235.0,1222.0,679.0,2.89,5.2,11.0,240.0,32.0,66.0,2.0,47.0,16.0,37.0,452.0,56.6,47.0,0.2,0.13617021276595745,0.21,6.0,169.0,0.03550295857988166,0.008333333333333333
2018,Royce Freeman,RB,Oregon,,229.0,4.54,34.0,17.0,118.0,6.9,4.16,True,3.0,71.0,8.26,,243.0,1472.0,823.0,3.39,6.1,16.0,258.0,50.0,82.0,2.0,53.0,22.0,37.2,547.0,78.8,53.0,0.21810699588477367,0.205761316872428,1.03,18.0,160.0,0.1125,0.007751937984496124
2018,Derrius Guice,RB,LSU,,224.0,4.49,31.5,15.0,,,,True,2.0,59.0,7.37,,237.0,1255.0,758.0,3.2,5.3,11.0,255.0,27.0,65.0,2.0,44.0,13.0,29.6,371.0,60.2,44.0,0.18565400843881857,0.11392405063291139,1.28,21.0,97.0,0.21649484536082475,0.00784313725490196
