Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,true_pass_set_pass_rush_win_rate,pass_rush_win_rate,snap_counts_pass_rush
2022,Sam Williams,EDGE,Mississippi,6-4,261.0,4.46,32.5,,123.0,,,True,2.0,56.0,9.72,24.6,15.7,451.0
2022,Alex Wright,DE,Alabama-Birmingham,6-5,271.0,,,15.0,,,,True,3.0,78.0,,37.0,21.9,276.0
2023,Adetomiwa Adebawore,DE,Northwestern,6-2,282.0,4.49,37.5,27.0,125.0,,,True,4.0,110.0,,17.6,11.6,305.0
2023,MJ Anderson,DE,Iowa St.,6-3,269.0,,33.0,,,,,False,,,3.42,9.8,10.0,192.0
2023,Felix Anudike-Uzomah,EDGE,Kansas St.,6-3,255.0,,,,,,,True,1.0,31.0,8.73,30.1,14.3,388.0
2023,Habakkuk Baldonado,EDGE,Pittsburgh,6-4,251.0,4.78,35.0,21.0,120.0,7.11,4.44,False,,,8.13,16.9,13.1,208.0
2023,Robert Beal,EDGE,Georgia,6-4,247.0,4.48,30.0,,123.0,,,True,5.0,173.0,7.43,16.5,10.8,259.0
2023,Brenton Cox,EDGE,Florida,6-4,250.0,4.82,33.0,24.0,115.0,,,False,,,6.32,25.0,11.9,182.0
2023,YaYa Diaby,DE,Louisville,6-3,263.0,4.51,37.0,,120.0,,,True,3.0,82.0,9.87,17.4,10.3,279.0
2023,Ikenna Enechukwu,DE,Rice,6-4,264.0,4.7,31.5,,120.0,,,False,,,7.72,15.7,10.8,308.0
2023,Isaiah Foskey,EDGE,Notre Dame,6-5,264.0,4.58,34.0,22.0,125.0,7.28,4.41,True,2.0,40.0,9.61,18.9,11.1,311.0
2023,Ali Gaye,EDGE,LSU,6-6,263.0,,,,,,,False,,,,12.1,6.6,273.0
2023,Derick Hall,EDGE,Auburn,6-3,254.0,4.55,33.5,,127.0,,,True,2.0,37.0,9.4,21.4,14.0,349.0
2023,Nick Hampton,EDGE,Appalachian St.,6-2,236.0,4.58,35.5,,120.0,,,True,5.0,161.0,,,,
2023,Zach Harrison,EDGE,Ohio St.,6-6,274.0,,,25.0,,,,True,3.0,75.0,8.72,22.9,12.5,255.0
2023,KJ Henry,EDGE,Clemson,6-4,251.0,4.63,31.5,,112.0,,,False,,,8.39,22.1,12.0,380.0
2023,Nick Herbig,EDGE,Wisconsin,6-2,240.0,4.65,,25.0,,,,True,4.0,132.0,7.75,35.7,20.7,192.0
2023,Dylan Horton,EDGE,TCU,6-4,257.0,,34.0,18.0,120.0,,,True,4.0,109.0,7.01,18.5,12.5,417.0
2023,Andre Carter II,EDGE,Army,6-7,256.0,,30.0,11.0,109.0,,4.36,False,,,6.29,28.6,21.3,163.0
2023,Thomas Incoom,EDGE,Central Michigan,6-2,262.0,4.66,30.5,23.0,118.0,,,False,,,8.54,20.9,14.2,385.0
2023,Will McDonald IV,EDGE,Iowa St.,6-4,239.0,,36.0,,132.0,,,False,,,9.66,39.6,13.9,260.0
2023,DJ Johnson,EDGE,Oregon,6-4,260.0,4.49,32.0,28.0,110.0,,,False,,,,19.8,12.6,222.0
2023,Andre Jones Jr.,EDGE,Louisiana,6-5,248.0,,29.0,,116.0,,,False,,,,,,
2023,Viliami Fehoko Jr.,DE,San Jose St.,6-4,276.0,,,24.0,,,,False,,,5.34,30.1,18.4,332.0
2023,Will Anderson Jr.,EDGE,Alabama,6-4,253.0,4.6,,,,,,True,1.0,3.0,,27.1,16.4,382.0
2023,Tyler Lacy,DE,Oklahoma St.,6-4,279.0,5.11,28.5,30.0,116.0,7.6,,True,4.0,130.0,,14.0,10.3,268.0
2023,Isaiah Land,EDGE,Florida A&M,6-4,236.0,4.62,34.5,21.0,126.0,7.2,4.56,False,,,,,,
2023,Eku Leota,EDGE,Auburn,6-3,252.0,,,,,,,False,,,,30.6,17.1,135.0
2023,Ochaun Mathis,EDGE,Nebraska,6-5,250.0,4.74,33.5,21.0,118.0,,4.38,True,6.0,189.0,,23.0,15.0,299.0
2023,Isaiah McGuire,DE,Missouri,6-4,268.0,4.76,36.5,,122.0,7.39,,True,4.0,126.0,9.54,24.7,16.9,267.0
2023,Mike Morris,DE,Michigan,6-5,275.0,4.95,28.5,22.0,110.0,,,True,5.0,151.0,4.78,31.8,17.1,218.0
2023,Caleb Murphy,EDGE,Ferris St.,6-3,254.0,4.81,28.5,,119.0,7.28,4.45,False,,,,,,
2023,Myles Murphy,EDGE,Clemson,6-5,268.0,,,25.0,,,,True,1.0,28.0,9.71,14.3,11.0,355.0
2023,Lukas Van Ness,EDGE,Iowa,6-5,272.0,4.58,31.0,17.0,118.0,7.02,4.32,False,,,9.39,23.7,13.5,271.0
2023,BJ Ojulari,EDGE,LSU,6-2,248.0,,32.5,,126.0,,,True,2.0,41.0,4.93,22.5,14.1,329.0
2023,Lonnie Phelps,EDGE,Kansas,6-2,244.0,4.55,,31.0,,,,False,,,8.45,22.4,15.8,282.0
2023,Jose Ramirez,EDGE,Eastern Michigan,6-2,242.0,4.73,34.5,21.0,118.0,6.95,4.3,False,,,8.1,30.2,19.2,335.0
2023,Tavius Robinson,EDGE,Mississippi,6-6,257.0,4.66,33.5,23.0,120.0,,4.62,False,,,8.77,9.2,7.9,371.0
2023,Nolan Smith,EDGE,Georgia,6-2,238.0,4.39,41.5,,128.0,,,True,1.0,30.0,9.23,24.3,16.3,102.0
2023,Noah Taylor,EDGE,North Carolina,6-4,238.0,,,22.0,,,,False,,,,,,
2023,Tuli Tuipulotu,EDGE,USC,6-3,266.0,,,,,,,True,2.0,54.0,,15.4,14.4,404.0
2023,Tyrus Wheat,EDGE,Mississippi St.,6-2,263.0,4.65,28.5,,113.0,,4.54,False,,,,,,
2023,Keion White,EDGE,Georgia Tech,6-5,285.0,,34.0,30.0,117.0,,,True,2.0,46.0,,,,
2023,Tyree Wilson,EDGE,Texas Tech,6-6,271.0,,,23.0,,,,True,1.0,7.0,,33.7,19.4,257.0
2023,Colby Wooden,DE,Auburn,6-4,273.0,4.79,,23.0,115.0,,4.52,True,4.0,116.0,,12.7,8.4,371.0
2023,Byron Young,EDGE,Tennessee,6-2,250.0,4.43,38.0,22.0,132.0,7.19,,True,3.0,77.0,9.22,16.1,9.1,389.0
