Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,RAS,arm_length_inches,player_game_count,btt_rate,twp_rate,ypa,qb_rating,pressure_to_sack_rate,sack_percent,epa,positive_epa_percent,avg_depth_of_target,attempts,dropbacks
2022,Malik Willis,QB,Liberty,73.0,219.0,,,,,,,True,3.0,86.0,,,,,,,,,,,,,,
2022,Bailey Zappe,QB,Western Kentucky,73.0,215.0,4.88,30.0,,109.0,7.19,4.4,True,4.0,137.0,5.97,,14.0,6.5,3.0,8.6,118.5,16.0,2.1,0.33,52.2,8.6,691.0,730.0
2023,Tyson Bagent,QB,Shepherd,75.0,213.0,4.79,36.0,,120.0,6.95,4.36,False,,,9.01,,,,,,,,,,,,,
2023,Stetson Bennett,QB,Georgia,71.0,192.0,4.67,33.5,,118.0,,4.2,True,4.0,128.0,8.2,,15.0,5.9,2.4,9.1,110.1,12.2,2.3,0.35,55.3,9.4,454.0,479.0
2023,Malik Cunningham,QB,Louisville,72.0,192.0,4.53,,,,,,False,,,,,10.0,3.0,3.2,7.2,86.7,21.2,6.7,0.0,44.2,9.2,218.0,269.0
2023,Max Duggan,QB,TCU,74.0,207.0,4.52,30.5,,116.0,7.26,4.45,True,7.0,239.0,,,15.0,4.8,3.0,8.8,109.2,18.5,6.2,0.17,42.2,9.7,420.0,481.0
2023,Jake Haener,QB,Fresno St.,72.0,207.0,,35.0,,114.0,7.01,,True,4.0,127.0,,,10.0,4.3,2.2,8.2,110.8,21.5,6.6,0.21,50.6,8.7,355.0,393.0
2023,Jaren Hall,QB,BYU,72.0,207.0,,,,,,,True,5.0,164.0,7.96,,,,,,,,,,,,,
2023,Hendon Hooker,QB,Tennessee,75.0,217.0,,,,,,,True,3.0,68.0,,,11.0,4.6,1.1,9.5,123.9,29.0,6.9,0.32,53.2,11.7,331.0,394.0
2023,Will Levis,QB,Kentucky,76.0,229.0,,34.0,,124.0,,,True,2.0,33.0,,,11.0,2.3,3.6,8.4,99.1,26.8,10.1,0.03,42.6,8.6,286.0,336.0
2023,Tanner McKee,QB,Stanford,78.0,231.0,,33.0,,114.0,7.22,4.41,True,6.0,188.0,8.81,,12.0,3.3,1.5,6.8,83.8,27.0,8.0,-0.1,41.1,7.8,433.0,499.0
2023,Aidan O'Connell,QB,Purdue,75.0,213.0,,,,,,,True,4.0,135.0,,,12.0,4.0,4.4,7.0,88.1,16.3,4.1,0.08,45.0,8.3,499.0,533.0
2023,Anthony Richardson,QB,Florida,76.0,244.0,4.43,40.5,,129.0,,,True,1.0,4.0,10.0,,12.0,5.5,3.3,7.7,84.3,9.2,3.4,0.18,40.2,11.5,330.0,378.0
2023,C.J. Stroud,QB,Ohio St.,75.0,214.0,,,,,,,True,1.0,2.0,,,13.0,7.0,3.6,9.4,125.0,14.1,3.3,0.32,52.5,10.7,390.0,423.0
2023,Dorian Thompson-Robinson,QB,UCLA,74.0,203.0,4.56,32.5,,121.0,7.28,4.44,True,5.0,140.0,7.72,,13.0,2.8,3.9,8.2,106.7,11.0,3.6,0.31,55.0,7.0,384.0,447.0
2023,Clayton Tune,QB,Houston,75.0,220.0,4.64,37.5,,122.0,6.89,4.25,True,5.0,139.0,9.83,,13.0,5.8,3.0,8.2,110.7,16.7,4.5,0.24,51.3,9.7,496.0,579.0
2023,Bryce Young,QB,Alabama,70.0,204.0,,,,,,,True,1.0,1.0,,,12.0,5.7,2.0,8.8,114.9,12.5,4.2,0.32,51.5,10.0,380.0,429.0
